	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d1_0	0	0.0112031	0.00774329	0.0045764	0.0047592	0.0030078	0.00459601	0.00317084	0.00264046	0.00138971	0.00180095	0.000526106	2.97815e-05	0.000595587	0.000178676	0.000129046	0	0.000347425	0.000148897
d1_1	0.0293269	0.00684813	0.00616877	0.00610915	0.00387569	0.00411957	0.00483423	0.00506749	0.00350406	0.00218385	0.00236251	0.00128052	0.00052611	0.000605519	0.000248163	0.00061544	0.000545952	0.000198529	7.87029e-10
d1_2	0.0267761	0.00466976	0.00445704	0.00279931	0.00385151	0.00447686	0.00386141	0.0013401	0.00213846	0.0026603	0.00252133	0.00299779	0.00252132	0.00327006	0.00151875	0.000853677	0.00143934	0.0012408	0.00208454
d1_3	0.0220705	0.00559359	0.00316656	0.00246178	0.00268016	0.00237243	0.00455624	0.00263052	0.00291839	0.00362387	0.00116141	0.0019853	0.00248587	0.00157831	0.00164779	0.00107206	0.00371248	0.00216396	0.00411945
d1_4	0.0194107	0.00358205	0.00334522	0.00159817	0.00193566	0.00198955	0.00366286	0.00170168	0.00343455	0.00224338	0.00179669	0.00338492	0.00314668	0.00235256	0.000853676	0.00226322	0.00243197	0.00168749	0.00417901
d1_5	0.0185371	0.00384226	0.00252132	0.00125074	0.000982723	0.0017272	0.00208456	0.0020647	0.00231285	0.000724633	0.00166764	0.00180661	0.00135993	0.00333527	0.00162793	0.00122095	0.00291836	0.00297792	0.00352387
d1_6	0.0151181	0.00353383	0.00320624	0.00302756	0.00146912	0.00295807	0.00392093	0.00166764	0.00283895	0.00148897	0.00178676	0.00178676	0.00201506	0.00222352	0.00367277	0.00218381	0.00169742	0.00310697	0.00469519
d1_7	0.0146614	0.00328565	0.00199521	0.00327572	0.0019158	0.0013897	0.00158823	0.00136985	0.00213418	0.0010522	0.00251138	0.000595585	0.000923156	0.00306726	0.000744481	0.00414923	0.00151874	0.00345439	0.00491357
d1_8	0.0112566	0.00402021	0.00220367	0.0029524	0.00241212	0.00115147	0.00156837	0.000843746	9.92658e-05	0.00253123	0.0021285	0.00216396	0.00213418	0.00166763	0.00144925	0.00238233	0.00277939	0.00521136	0.0046654
d1_9	0.0108	0.00326581	0.00151875	0.00269006	0.00192573	0.0014989	0.00117132	0.000972788	0.000665072	0.00168749	0.00192572	0.00178675	0.0005261	0.000496321	0.0010919	0.00138969	0.00216395	0.00312681	0.00784185
d1_10	0.0110226	0.00337498	0.00219374	0.00209447	0.00136985	0.000277941	0.00047647	0.00208454	0.00148896	0.00136984	0.000297792	0.000893375	0.000893375	0.00119117	0.00117131	0.00258086	0.00114154	0.0017669	0.00660105
d1_11	0.00765329	0.00647202	0.00338491	0.00305733	0.00134006	0.00196543	0.00165204	0.00198528	0.00143933	0.00277939	0.000228308	0.000397055	0.00181653	0.00104227	0.00186616	0.00183638	0.00158822	0.00218381	0.00595583
d1_12	0.0065557	0.00416909	0.00201507	0.00340475	0.000843746	0.00266027	0.00102242	0.000694847	0.00171727	0.000943007	0.001618	0.00136984	0.00143933	0.00141947	0.00153859	0.00258086	0.00169741	0.00208454	0.00883448
d1_13	0.00621395	0.00323601	0.00183638	0.0013897	0.0033849	0.00168749	0.00159815	0.0010919	0.0010919	0.000744479	0.00178675	0.000595583	0.00268012	0.00198528	0.000545952	0.00193565	0.00213417	0.00191579	0.00660104
d1_14	0.00455622	0.00320623	0.0033849	0.000674996	0.000843746	0.0028588	0.0010522	0.00049632	0.00148896	0.000397055	0.0024816	0.00148896	0.00114153	0.0012408	0.000397057	0.00049632	0.00134006	0.0023327	0.0103234
d1_15	0.00422865	0.00094301	0.00233271	0.00163785	0.00049632	0.00148896	0.00158822	0.00163785	0.00129043	0.00148896	0.00203491	0.00129043	0.00178675	0.000843743	0.00138969	0.000992638	0.00208454	0.00178675	0.00645215
d1_16	0.00386137	0.0026305	0.00228307	0.000694848	0.0010919	0.00168749	0.00158822	0.000545952	0.0012408	0.00198528	0.00163785	0.00158822	0.0035735	0.00148896	0.000595583	0.000595583	0.00129043	0.00258086	0.0094797
d1_17	0.00168749	0.000843744	0.00119117	8.71716e-10	0.0010919	0.00168749	0.00129043	0.00129043	0.00168748	0.00193564	0.000694847	0.000148897	0.00178675	0.0024816	0.00188601	0.000992638	0.000992639	0.00188601	0.0108198
d1_18	0.000198528	7.9412e-05	0.000297791	0.000297791	0	0	9.92638e-05	0.000347424	0.000297791	0.000297791	0.00163785	0.00188601	0.00263049	0.00119117	0.00138969	0.00317644	0.00228307	0.00268012	0.0120109
d1_19	0.000178675	0.000297792	0	0	4.96322e-05	0.000397055	0	0.000496319	0.000893374	0	0.00158822	0.00148896	0.0021838	0.00119117	0.00198528	0.0021838	0.0024816	0.0035735	0.00804037
