	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d3_0	0	0.113601	0.0266839	0.00787782	0.00195154	0.000749352	0.000175894	0.00011378	0.000319067	0	2.58712e-05	0	0	0	0	0	0	0	0	0
d3_1	0.116011	0.0596759	0.0273161	0.0130395	0.00635654	0.0019685	0.00112855	0.000431963	2.59553e-05	6.77578e-06	0	7.90508e-05	0	0	0	0	0	0	0	0
d3_2	0.0297241	0.0334146	0.027255	0.017125	0.00914898	0.00440738	0.00226716	0.00164724	0.000491395	0.000584013	6.45582e-05	0	7.11457e-05	0	0	0	0	0	0	0
d3_3	0.00899909	0.0170698	0.0160259	0.012526	0.0102032	0.00630408	0.00373565	0.0026235	0.0020995	0.000387778	0.000160078	1.31751e-05	1.97627e-05	0	0	0	0	0	0	0
d3_4	0.0029062	0.00757828	0.0115596	0.0103828	0.00863958	0.00757602	0.00378478	0.00341333	0.00316789	0.000807204	0.000688777	0.000375835	0.000189722	0	0	0	0	0	0	0
d3_5	0.00138305	0.00347092	0.00505788	0.00610228	0.00873352	0.00690306	0.00523017	0.0038811	0.00233861	0.00216154	0.000447014	0.000501682	0.000140974	0	0.000118576	0	0	0	0	0
d3_6	0.000551592	0.00185533	0.00370629	0.00533667	0.00571456	0.00420943	0.00555511	0.00488211	0.00209299	0.00210123	0.00168695	0.000635121	0.000464321	0.000347824	9.09084e-05	0	0	0	0	0
d3_7	5.86293e-05	0.000987956	0.00127951	0.00280859	0.00342848	0.00568692	0.00480448	0.00384855	0.00268058	0.00339205	0.00228531	0.0012785	0.000666662	0.000661971	0.000239129	7.28397e-05	1.18576e-05	0	0	0
d3_8	0	0.000102705	0.000533153	0.00157515	0.00367726	0.00276434	0.00362017	0.00475645	0.00357911	0.00311242	0.00113352	0.00160765	0.00125794	0.0010494	0.000355729	3.95254e-05	0.000177864	0	0.000118576	0
d3_9	6.49346e-05	4.23486e-06	0.000337204	0.0010464	0.00196899	0.00125748	0.00259767	0.00294196	0.0027665	0.00415504	0.00333256	0.00237302	0.00119536	0.000621866	0.000511854	0.000395254	0.000229247	0	0	0
d3_10	0	8.9633e-06	1.68454e-05	0.00030354	0.00108865	0.00162745	0.00169188	0.00210771	0.00316344	0.00380305	0.00390229	0.00237943	0.00186428	0.00124674	0.000841891	0.000723315	0.000118576	0	0	0
d3_11	0	1.79661e-05	7.50983e-05	0.000275084	0.000341612	0.000597013	0.000721533	0.00201627	0.00293703	0.00229077	0.00303405	0.00160784	0.00193439	0.00204346	0.000545451	0.000776392	0.000577071	9.88135e-05	0	0
d3_12	0	0.000197627	0	0.000185393	0.000114341	0.000509775	0.00183935	0.0014859	0.0015797	0.000986159	0.00253461	0.00238573	0.00264792	0.00194399	0.00112422	0.00148616	0.000810271	0.000158102	0	0
d3_13	0	0	0	1.97627e-05	0	0.000197627	0.000687177	0.000285242	0.00138875	0.00187887	0.00243909	0.00163682	0.00230998	0.00218943	0.00274278	0.00187125	0.00101976	0.000652169	0.000355729	0
d3_14	0	0	0	5.92881e-05	0	0	0.000438732	0.000375491	0.000653863	0.0010846	0.0011835	0.000999146	0.00267615	0.00238244	0.00161828	0.00207904	0.00205532	0.00110671	0.000355729	0.000177864
d3_15	0	0	0	0	0	0.000158102	7.67922e-05	2.54092e-05	0.000519477	0.000209485	0.00115019	0.00109683	0.00144437	0.00181422	0.00219931	0.00220552	0.00112647	0.000652169	0.00051383	0.000276678
d3_16	0	0	0	0	0	0	3.95254e-05	0.00024901	0.000124223	0.000335966	0.000546768	0.0013162	0.00139525	0.000612644	0.00301184	0.00260868	0.00192884	0.0024822	0.00110671	0.000158102
d3_17	0	0	0	0	0	0	0	0	0	3.95254e-05	0.000276678	0.00108695	0.000873511	0.00100564	0.00177638	0.00266796	0.00214228	0.0026482	0.00294464	0.000652169
d3_18	0	0	0	0	0	0	0	0	0	3.95254e-05	0.000237152	0.000118576	0.000335966	0.000517783	0.00102766	0.00152173	0.00223319	0.00328061	0.00339128	0.00142291
d3_19	0	0	0	0	0	0	0	0	0	0	0	3.95254e-05	0.000118576	0.000118576	0.000197627	0.000909084	0.00102766	0.00152173	0.00254939	0.00173912
d3_20	0	0	0	0	0	0	0	0	0	0	0	0.000118576	0	0	0	0.000237152	0.000158102	0.00189722	0.00379444	0.0041304
