	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41
d3_0	0	0.136768	0.0474679	0.0226195	0.00978309	0.00466095	0.00275062	0.0013503	0.00060419	0.000294264	0.000413366	7.90393e-05	6.26097e-05	0.000210172	6.48024e-05	2.16008e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_1	0.0684414	0.046858	0.0306932	0.0195324	0.0142701	0.00998433	0.00552854	0.00376854	0.002914	0.00157039	0.000873828	0.000742985	0.000340942	5.0593e-05	0.000108168	0.000107904	2.41723e-05	7.71457e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_2	0.0111509	0.0156525	0.0176894	0.0155096	0.0148482	0.0106835	0.00860874	0.00589475	0.00496017	0.0032334	0.0019529	0.00155864	0.00186888	0.000575813	0.000239529	0.000279938	0.000156006	0	3.00011e-06	0	0	1.80007e-05	0	0	6.48024e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_3	0.0023562	0.00489831	0.00671583	0.00750751	0.00677491	0.00818996	0.00742481	0.00740172	0.00440466	0.00460871	0.00352633	0.00312794	0.00210968	0.001241	0.00137938	0.000182176	0.000697232	0.000180521	2.28009e-05	3.31649e-05	0.000102004	0.000135005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_4	0.000515692	0.00125786	0.00259762	0.00305836	0.00542805	0.00609952	0.00438663	0.00559269	0.00407991	0.0053648	0.00351271	0.00271865	0.00300328	0.00154066	0.001284	0.00150675	0.00100709	0.000888883	0.00025381	0.000544649	0.000581422	0.000330012	1.80007e-05	0	3.60013e-05	1.80007e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_5	0.000111546	0.000332509	0.000882596	0.00153281	0.0019246	0.00295525	0.00298395	0.00328722	0.00398005	0.00375634	0.00402823	0.00298167	0.00211693	0.00292937	0.00214542	0.00147761	0.0012192	0.00122327	0.000617244	0.000634481	0.000352299	0.00010569	0.000192607	0.000443074	0.000113147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_6	6.53426e-05	4.86262e-05	0.000320991	0.000339239	0.00061198	0.00120641	0.00175628	0.00275904	0.00340507	0.00204181	0.00322376	0.00237472	0.00249987	0.00263138	0.00251631	0.00245413	0.00129268	0.00228128	0.000752372	0.000997593	0.00104883	0.000208808	0.000241209	8.61461e-05	0.000316812	0.000162006	3.60013e-05	0	4.8859e-05	5.14305e-06	0	0	0	0	0	0	0	0	0	0	0	0
d3_7	0	7.55633e-06	8.54043e-05	0.000171589	0.00053628	0.000685625	0.000981092	0.00103105	0.00164649	0.00152083	0.00244708	0.00195675	0.00270644	0.0020886	0.00193833	0.00136357	0.00141187	0.00216599	0.00182065	0.00159425	0.00117483	0.00100632	0.000594186	0.00115137	0.000593422	3.90872e-05	0.000190807	0.000126005	0	0	0	0	0	0	0.000108004	0	0	0	0	0	0	0
d3_8	2.16008e-06	0	1.00032e-05	0.000104854	0.000119712	0.000241296	0.00038488	0.000237855	0.00131203	0.000607072	0.00140632	0.00193846	0.00300708	0.00141818	0.00185831	0.0013965	0.00202423	0.00163415	0.00154146	0.00158835	0.00117116	0.00117604	0.000945978	0.000989201	0.000679046	0.000249952	5.19448e-05	0.000360013	0.000234009	3.60013e-05	0	0	0.000108004	0	0	0	0	0	0	0	0	0
d3_9	0	3.60013e-05	1.20004e-06	1.35005e-05	8.84618e-06	0	0.000201078	0.000117004	0.000324947	0.000802597	0.00107249	0.000722955	0.0017007	0.0014341	0.0010983	0.00177998	0.000904504	0.00180137	0.00142847	0.00191021	0.00138847	0.00116567	0.000926178	0.000510362	0.00123305	0.000640824	0.00102724	0.000342013	0.000241209	2.52009e-05	0.000144005	0.000226809	0.00027001	0	0	0	0	0	0	0	0	0
d3_10	0	0	0	0	8.60902e-06	0	3.08583e-05	8.75098e-05	0.000217551	5.82022e-05	0.000166806	0.00031049	0.000968729	0.000671873	0.00173082	0.000582464	0.00198041	0.000946399	0.00137028	0.00178652	0.00197365	0.00165195	0.00125773	0.00102544	0.00108724	0.00137885	0.000597622	0.00127985	0.000552364	0.000399615	0.000187207	0.000162006	5.4002e-05	0.000144005	0	0	0	0	0	0	0	0
