	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d2_0	0	0.0170017	0.00557372	0.00123029	0.00042908	2.37438e-05	6.33919e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0438738	0.0214706	0.00977433	0.00358454	0.00157671	0.000249747	1.2062e-05	8.85479e-08	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0238686	0.023783	0.0118803	0.00709363	0.00367851	0.000271418	0.000190558	1.42793e-05	1.93395e-05	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0172333	0.0178561	0.0123781	0.00731973	0.00256625	0.00182678	0.000461183	0.000282167	3.74851e-05	0	9.61518e-06	0	0	0	0	0	0	0	0	0
d2_4	0.00761925	0.0142307	0.0141743	0.0100259	0.0053436	0.00173495	0.000934247	0.000195939	1.49218e-05	4.69324e-06	0	0	0	0	0	0	0	0	0	0
d2_5	0.00568871	0.0112823	0.0131433	0.00941965	0.00545287	0.00274925	0.00125566	0.00052792	0.000108918	0.000162266	4.82592e-05	0	0	0	0	0	0	0	0	0
d2_6	0.00262147	0.0116854	0.00889539	0.00833887	0.0056557	0.00366499	0.00152434	0.00130919	0.000924689	5.18024e-05	4.76704e-06	0	0	0	0	0	0	0	0	0
d2_7	0.00175719	0.00637907	0.00655383	0.00830964	0.00624232	0.00517339	0.00380628	0.00204704	0.000723403	0.000219946	0.000157091	0	0	0	0	0	0	0	0	0
d2_8	0.00181327	0.0048581	0.0070511	0.00909436	0.00572486	0.00490533	0.00448033	0.00150235	0.00182817	0.000547732	0.000150839	4.56639e-05	2.56142e-05	0	0	0	0	0	0	0
d2_9	0.000775294	0.00302248	0.0048042	0.00584204	0.00677463	0.00595435	0.00458164	0.00328327	0.000402441	0.0009737	9.36057e-05	8.55018e-05	0.00012143	0	0	0	0	0	0	0
d2_10	0.000383586	0.0012933	0.00433176	0.00531121	0.00508602	0.00553283	0.00296168	0.00256529	0.00160725	0.000814489	0.000279349	0.000182145	1.42329e-05	0	0	0	0	0	0	0
d2_11	0.000217105	0.000806798	0.00289752	0.00305381	0.00627718	0.00389411	0.00376839	0.00388479	0.00243008	0.00111087	0.000720302	0.000139455	1.70761e-05	0	0	0	0	0	0	0
d2_12	1.61958e-05	0.000526724	0.00166358	0.00248097	0.00439219	0.00331312	0.00319738	0.00336085	0.00175909	0.00226368	0.000542773	0.000112486	0	4.55364e-05	0	0	0	0	0	0
d2_13	7.14326e-05	0.000373548	0.000929455	0.00252058	0.00446404	0.00378225	0.00433722	0.00195701	0.00266829	0.00198031	0.00110177	0.00020776	0.000167509	1.70761e-05	0	0	0	0	0	0
d2_14	0	6.72753e-05	0.00113903	0.0016761	0.00211536	0.00327117	0.00306464	0.00584033	0.00327491	0.00148358	0.00158321	0.000679791	0.000232967	0	0	0	0	0	0	0
d2_15	0	3.39366e-05	0.000203952	0.00119214	0.00266648	0.00429132	0.0034972	0.00487376	0.00265253	0.00234688	0.00230506	0.00102321	0.000121972	3.14753e-05	8.53807e-05	4.88434e-06	0	0	0	0
d2_16	0	2.56142e-05	0.000561415	0.000977725	0.00142344	0.00227344	0.00261602	0.00277366	0.00445791	0.00253287	0.00211962	0.0014446	0.00085584	0.000372886	6.09862e-06	0	0	0	0	0
d2_17	0	0.000288191	4.45877e-05	0.0006685	0.00122824	0.00249885	0.0024699	0.00416606	0.00271693	0.0028483	0.00338621	0.00172021	0.00115792	0.000327293	0.000426903	0	0	0	0	0
d2_18	0	2.79747e-06	0.000199589	0.000241629	0.000710026	0.00211434	0.00188664	0.00342221	0.00497912	0.00262908	0.00231588	0.00264671	0.00101318	0.000589127	0.000102457	8.53807e-05	0.000170761	0	0	0
d2_19	0	0	0	0.000409014	0.000316459	0.00138425	0.000949364	0.00119274	0.00323372	0.00262173	0.00146231	0.00241871	0.00107824	0.000662717	8.53807e-05	0	6.09862e-06	0	0	0
d2_20	0	0	0.000175505	0.000193719	0.000559176	0.000534202	0.00116888	0.001622	0.00210062	0.00283695	0.00311062	0.00215301	0.000972391	0.000947319	0.000477183	0.000170761	0.000190277	0	0	0
d2_21	0	0	1.42301e-05	0.000227682	0.000411318	0.000700122	0.00152253	0.00147858	0.00181197	0.00292927	0.00218582	0.00200848	0.000919429	0.000474879	0.000609422	0.000398443	0.000102457	0.000256142	0	0
d2_22	0	0	0	1.13841e-05	0.000102457	5.69205e-05	0.000645098	0.00122298	0.00227506	0.00140492	0.00256193	0.00297435	0.00115169	0.000717198	0.000905442	5.69205e-05	0.000273218	0	0	0
d2_23	0	0	0	0.000227682	0	0.000108149	0.000324447	0.0012239	0.00277067	0.00171882	0.0026342	0.00386458	0.00241503	0.00105213	0.00166777	0.000199222	1.95156e-05	0.000227682	0	0
d2_24	0	0	0	0	8.53807e-05	0.00059631	0.000341523	0.000961549	0.00133478	0.0021337	0.00214831	0.00231951	0.00268665	0.00167265	0.00135145	0.000462953	0.000193936	0	0.000170761	0
d2_25	0	0	0	0	0	5.69205e-05	0.000417417	0.000554974	0.0012162	0.00155542	0.00186064	0.00317535	0.001571	0.00149376	0.00114085	0.000736713	0.000569205	0.000256142	0	0
d2_26	0	0	0	0	0	0	0	5.97665e-05	0.000665563	0.00155962	0.00176169	0.001571	0.00264965	0.00226543	0.00200645	0.00128071	0.000639949	5.69205e-05	0	0
d2_27	0	0	0	0	0	0	0	4.55364e-05	0.000203907	0.000887959	0.00104164	0.00134956	0.0036112	0.00145391	0.00190968	0.000711506	0.00110995	0.000170761	0	0
d2_28	0	0	0	0	0	0	0	0	5.69205e-05	0.000736713	0.000939187	0.000687746	0.000697534	0.00202637	0.00166777	0.00186699	0.000700122	0.000341523	0	0
d2_29	0	0	0	0	0	0	0	4.55364e-05	2.84602e-05	0.000352907	0.00110995	0.000498054	0.00151408	0.000967648	0.0018613	0.00133763	0.000426903	0.000626125	0	0
d2_30	0	0	0	0	0	0	0	5.69205e-05	0	0.000301678	0.000369983	0.00135715	0.00136609	0.000956264	0.000796886	0.0027208	0.000853807	0.000825347	5.69205e-05	0
d2_31	0	0	0	0	0	0	0	0	0	0.000170761	0.000398443	0.000785502	0.000927806	0.000700122	0.00183853	0.00175315	0.00204914	0.000654585	0.000199222	0
d2_32	0	0	0	0	0	0	0	0	0	0	0.000654585	0.000102457	0.00134587	0.00158239	0.00170761	0.00330708	0.00228251	0.00101318	0.000853807	0
d2_33	0	0	0	0	0	0	0	0	0	0	0.000182145	0.000910727	0.000483824	0.00196376	0.00142301	0.000700122	0.00244758	0.00232235	0.00176453	0.000569205
d2_34	0	0	0	0	0	0	0	0	0	0	0	0.000244758	0.000768426	0.00116687	0.00110995	0.00110995	0.00165069	0.00113841	0.00147993	0.000170761
d2_35	0	0	0	0	0	0	0	0	0	0	0	0.000341523	0.000398443	0.000170761	0.00110995	0.00152547	0.00142301	0.00133763	0.00321601	5.69205e-05
d2_36	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000284602	0.000626125	0.000626125	0.00173607	0.00239066	0.00204914	0.000569205
d2_37	0	0	0	0	0	0	0	0	0	0	0	0	8.53807e-05	0.000170761	0.000455364	0.000882267	0.00202068	0.0026468	0.001719	0.000284602
d2_38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000170761	0.000683045	0.00113841	0.000967648	0.00187837	0.00391613
d2_39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000967648	0.00130917	0.00173607	0.00341523	0.00159377
d2_40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000170761	0.000170761	0.000683045	0.00165069	0.00455364
d2_41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000170761	0.000170761	0.00119533	0.000569205	0.00313062
