	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d1_0	0	0.0779947	0.0573866	0.0447934	0.0272071	0.0237394	0.0173273	0.0126272	0.00932834	0.00730255	0.00530184	0.00292059	0.0027453	0.00361987	0.000920408	0.00106451	0.000736393	0.000336505	0
d1_1	0.0296671	0.00647711	0.00508681	0.00465102	0.00433748	0.00405469	0.00407931	0.00218509	0.00175597	0.00201444	0.00220783	0.00167588	0.000482966	0.000630563	0.00100769	0.000802325	4.03345e-05	0.000220879	0.000215117
d1_2	0.0245503	0.00633514	0.00453028	0.00465172	0.00278347	0.00347252	0.00244891	0.00170086	0.00232542	0.00107992	0.00188064	0.000877737	0.00102295	0.000203977	0.000857396	0.000110089	0.000731399	0.000258141	0.000215117
d1_3	0.0216925	0.00421639	0.00565836	0.00426224	0.00219904	0.00359358	0.0029302	0.00135529	0.00269832	0.00191298	0.00125695	0.00183351	0.00138974	0.000531411	0.000207947	0.000382345	0.000324597	0.000197639	0.000268897
d1_4	0.0154341	0.00368882	0.00249772	0.00471568	0.00321672	0.00438322	0.00162263	0.00222008	0.00160826	0.00136692	0.0021546	0.000994361	0.001482	0.00039451	0.00085586	0.000397102	0.000921931	0.000275619	0.000341743
d1_5	0.0166744	0.00283389	0.00339909	0.00248819	0.00218527	0.00198865	0.00320895	0.00356213	0.00222141	0.00142691	0.00241333	0.00133627	0.000702046	0.000647389	0.000763771	0.000924236	0.000457124	0.000349566	0.000215117
d1_6	0.0112108	0.00280227	0.00312498	0.00264157	0.00166612	0.00219991	0.00239012	0.00205281	0.00148435	0.0010163	0.00106878	0.00145704	0.00146885	0.000731399	0.000435473	0.000439646	0.000649834	0.000484014	0.000645352
d1_7	0.0106753	0.00265984	0.0033222	0.00305816	0.002971	0.00238082	0.00215269	0.0018531	0.00142156	0.00175401	0.00196688	0.00115651	0.000862518	0.000734156	0.00080669	0.0010003	0.00156229	0.000215117	0.000860469
d1_8	0.00750033	0.00254487	0.00226708	0.00240759	0.00162993	0.00192022	0.00259463	0.00255468	0.00268018	0.00174761	0.00101899	0.001754	0.00131233	0.000878012	0.0002228	0.000795934	0.00115626	8.0669e-05	0.00087353
d1_9	0.00591646	0.00290534	0.00163127	0.00180693	0.000695245	0.00130496	0.00205224	0.00124774	0.001925	0.00109887	0.00182902	0.000899	0.000722436	0.00052372	0.00103663	0.00159955	0.00057069	0.000376455	0.00080669
d1_10	0.00467669	0.00154636	0.00176435	0.00256091	0.00151001	0.000969197	0.00178072	0.00112937	0.00238395	0.00103782	0.00146433	0.00128115	0.00179161	0.000802336	0.000177472	0.000537793	0.000556232	0.000661486	0.000968028
d1_11	0.00353079	0.000632419	0.00298115	0.00107033	0.000625474	0.00103961	0.00229252	0.00238622	0.00095772	0.00154531	0.00167306	0.00188458	0.0017812	0.000680309	0.000795282	0.000376455	0.000785178	0.000510904	0.00102181
d1_12	0.00360744	0.00109796	0.00243266	0.00152462	0.00156283	0.00136596	0.00107879	0.00133416	0.00147476	0.00171404	0.00105146	0.000537793	0.00202734	0.00191764	0.00193874	0.00136241	0.0010994	0.000457124	0.00117239
d1_13	0.00246872	0.00126533	0.00138045	0.000656017	0.000733359	0.000781802	0.00197198	0.00192949	0.00093881	0.00108017	0.000462886	0.000952414	0.00112516	0.000795934	0.000626913	0.000376455	0.000979168	0.0002228	0.000957272
d1_14	0.00147071	0.000639966	0.000866105	0.00144481	0.00102091	0.00122207	0.000486345	0.00130542	0.00201843	0.00109671	0.00172973	0.00229483	0.00144052	0.000934864	0.000626145	0.000430235	0.000855091	0.000812068	0.00343112
d1_15	0.000927524	0.000891741	0.00189655	0.00041949	0.0014859	0.000377724	0.00147675	0.000820379	0.00190289	0.000959449	0.00086239	0.0011455	0.000792861	0.00238242	0.000873914	0.00180161	0.000330359	0.00110248	0.0012423
d1_16	0.00119095	0.000691845	0.000678389	0.000339649	0.000657311	0.000692528	0.00149816	0.00118814	0.00078966	0.00166178	0.00246732	0.000688375	0.00130684	0.00113205	0.000607706	0.000994918	0.00161338	0.00156728	0.00228562
d1_17	0.000487023	0.000355436	0.000876079	0.000212852	0.000898243	0.000399376	0.000720131	0.000844336	0.00162761	0.000852836	0.00142948	0.000489392	0.000952643	0.00170749	0.000916317	0.000876603	0.00118315	0.0012907	0.00255452
d1_18	0.000303908	0.000739096	0.000204361	0.000742155	0.000636901	0.000659245	0.000372486	0.00117469	0.00163489	0.00104793	0.000704509	0.000921931	0.00139519	0.00110248	0.00173707	0.00139288	0.00101105	0.000914249	0.00231251
d1_19	5.42485e-05	0.000685302	0.000738313	0.000759697	0.000454737	0.00288757	0.00137099	0.000967644	0.00242417	0.00227709	0.00252071	0.00244696	0.00390438	0.0037538	0.00317836	0.00557154	0.00549317	0.00642663	0.0213665
