	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d3_0	0	0.0881282	0.06663	0.0481555	0.0304325	0.0262917	0.0220721	0.0172139	0.0128964	0.00962953	0.00786597	0.00396878	0.00367361	0.0020496	0.00184301	0.00108978	0.00120338	0.000353261	0.000456693
d3_1	0.0176853	0.00343471	0.0035435	0.00305705	0.00332765	0.00171214	0.0020799	0.00161499	0.00236354	0.00142776	0.00145061	0.000958602	0.000493192	0.000929951	0.000356444	0.00049011	0.000104626	0.000596725	0.00049011
d3_2	0.0163286	0.00536016	0.00350578	0.00365924	0.0018022	0.00274854	0.00203982	0.00180988	0.00375086	0.001154	0.00128563	0.000708526	0.00145079	0.00117109	0.000505426	0.000701748	0.000462263	0.000529096	0.00108351
d3_3	0.0156469	0.00281838	0.00284399	0.00251087	0.0020192	0.00167105	0.00281126	0.00128517	0.00116241	0.00166041	0.00131926	0.000457489	0.00229592	0.000786881	0.000382523	0.000941234	0.000178222	0.000278472	0.000334166
d3_4	0.012241	0.00288104	0.00330374	0.00390752	0.00257209	0.00212421	0.00201279	0.00188844	0.0015191	0.00166595	0.00131629	0.000554665	0.00196535	0.000806242	0.000657193	0.000639159	0.000668332	0.000278472	0.000278472
d3_5	0.00980196	0.00323577	0.00347649	0.00335928	0.00111595	0.0024565	0.00191811	0.00206556	0.00197642	0.000995368	0.00157758	0.00154812	0.000933543	0.000804157	0.000826663	0.000751873	0.0010025	0.000167083	0.000501249
d3_6	0.00796529	0.00208502	0.00218308	0.0018382	0.00200087	0.00119307	0.00303258	0.000543071	0.00225753	0.000998107	0.00175871	0.00116897	0.000731485	0.0014096	0.000395285	0.000768582	0.000434416	0.000278472	0.000167083
d3_7	0.00750873	0.00267979	0.00196671	0.00265002	0.00275876	0.0024449	0.00140068	0.00176099	0.00135496	0.0007547	0.000713496	0.000769928	0.000538468	0.000927057	0.000781951	0.00134724	0.000672973	0.000183791	0.000843371
d3_8	0.00712788	0.00235373	0.00188966	0.00162	0.00203332	0.00244752	0.00124277	0.0023076	0.00222606	0.000915741	0.00161584	0.00149188	0.000749089	0.00079011	0.000185648	5.56943e-05	0.000766195	0.000509205	0.000835415
d3_9	0.00652483	0.00175019	0.00206911	0.00189975	0.00110363	0.00188704	0.00274981	0.000941229	0.000612801	0.000652013	0.000910325	0.00113916	0.00122995	0.000602957	0.000667801	0.000550446	0.000448339	0.000222777	0.000935665
d3_10	0.00542001	0.0017638	0.00252978	0.0018863	0.0015775	0.00185121	0.00131089	0.00240467	0.00154158	0.00325289	0.00135178	0.00155845	0.000648196	0.00122992	0.0010025	0.000517957	0.000881827	0.000222777	0.000724026
d3_11	0.00460476	0.000809337	0.00118536	0.00146818	0.00101525	0.00124695	0.00185659	0.00122852	0.00103194	0.000721241	0.000777864	0.000807965	0.00146993	0.00132485	0.000662365	0.000974651	0.000887927	0.000334166	0.00104705
d3_12	0.00414975	0.00186204	0.00170447	0.00101628	0.00105563	0.00109836	0.00113055	0.00149293	0.00150623	0.000807611	0.00226766	0.00172046	0.000868831	0.0012493	0.00135455	0.000726811	0.00058479	0.000863262	0.00146476
d3_13	0.00285151	0.00075327	0.00129796	0.00174737	0.00162372	0.00148628	0.000801854	0.00114299	0.00112916	0.000801782	0.00126547	0.00122927	0.000859802	0.00170345	0.00126651	0.00118097	0.000860477	0.00125312	0.000863262
d3_14	0.00329118	0.00101002	0.00165137	0.00195621	0.00042159	0.00196373	0.000982517	0.00116998	0.0011668	0.00103563	0.00153145	0.00049621	0.00131706	0.000311888	0.000646054	0.000537848	0.000640485	0.000414923	0.000863262
d3_15	0.0031269	0.000809231	0.00160421	0.00136223	0.0011206	0.00155921	0.00098783	0.00207592	0.00128679	0.00104056	0.00115271	0.00119186	0.0010383	0.00103034	0.000369969	0.00114969	0.000863262	0.000517957	0.000751873
d3_16	0.00176883	0.000999871	0.0011225	0.000970088	0.000960249	0.000958325	0.00189484	0.000499923	0.00118349	0.00126876	0.000971468	0.000824276	0.00159577	0.00068504	0.00121135	0.00156965	0.000501249	0.00049011	0.00155944
d3_17	0.00107359	0.000503987	0.00101759	0.00172659	0.000364301	0.00103379	0.00160031	0.000625102	0.00102877	0.00135762	0.00112097	0.000696179	0.00162295	0.000451124	0.000535879	0.000509205	0.000183791	0.000640485	0.00199386
d3_18	0.00212114	0.00066753	0.000588276	0.00149987	0.000732459	0.00195194	0.00105279	0.00113296	0.000840984	0.000801192	0.00218817	0.000493382	0.000445555	0.00135019	0.000511062	0.00138639	0.000852123	0.001604	0.00126983
d3_19	0.0014107	0.00115791	0.000467037	0.000648839	0.000485867	0.00119675	0.000275289	0.000709705	0.000840984	0.000773753	0.000921343	0.00101921	0.00087997	0.000462263	0.00163184	0.000963512	0.000807568	0.000601499	0.00150375
d3_20	0.00155224	0.000248532	0.00179999	0.00130173	0.00203595	0.00222617	0.0025203	0.00210773	0.00347744	0.0034895	0.003365	0.00572538	0.00492338	0.00488665	0.00346061	0.00514059	0.00880209	0.00701748	0.0252741
