	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d2_0	0	0.0253494	0.0194317	0.0150808	0.00999884	0.00725661	0.00621	0.0039685	0.00339879	0.00263956	0.00157554	0.00155322	0.000805143	0.000452541	0.000588476	0.000392306	1.80261e-05	0.000126502	0.000109728	0
d2_1	0.0624278	0.00471532	0.00411848	0.00384242	0.00324716	0.00269895	0.0012584	0.00118285	0.00108892	0.00137829	0.000824833	0.000551607	0.000200901	0.000558062	0.000225774	0.000241775	0.00011311	0.00014241	1.87793e-05	0
d2_2	0.0474412	0.00440333	0.00403174	0.00317098	0.00227792	0.00246423	0.00201357	0.00137174	0.00102446	0.000823378	0.000603254	0.00087047	0.000375386	0.000295065	0.000106699	2.97149e-05	5.93374e-05	4.98434e-05	6.64578e-05	0
d2_3	0.0389374	0.00398641	0.00377722	0.00294049	0.00236029	0.00164261	0.00172151	0.0011627	0.00107642	0.00115028	0.000546634	0.000846059	0.000356115	8.39499e-05	3.12921e-05	0.000138002	2.39784e-05	3.89828e-05	0	0.00026291
d2_4	0.0310872	0.0037744	0.00327897	0.00261935	0.00217584	0.00130814	0.00280256	0.00191491	0.00164869	0.000589632	0.00154763	0.000238007	0.000596853	0.000211693	0.000484635	2.74031e-05	6.90471e-05	0.000151695	0	0.000244131
d2_5	0.0252233	0.00383551	0.00363649	0.00239959	0.00158606	0.00191834	0.000972795	0.00110325	0.00122421	0.00109259	0.00101006	0.00095826	0.000830652	0.000359415	7.86644e-05	0.000562726	0.00018988	0.000152119	0	0
d2_6	0.0208064	0.00291367	0.00310823	0.00301974	0.00174116	0.00155212	0.00166791	0.000826763	0.00160905	0.000926097	0.00134088	0.000182133	0.000178088	0.000192747	0.000233311	0.000359903	2.13615e-05	5.45904e-05	0.00018988	3.05164e-05
d2_7	0.0173825	0.0026654	0.00272538	0.00199215	0.00297343	0.00215244	0.00181287	0.000975128	0.00107322	0.00114079	0.000902506	0.000496087	0.000467578	0.000849866	0.000395787	2.29438e-05	3.47547e-05	0.000265708	5.69639e-05	8.54458e-05
d2_8	0.0147383	0.00185826	0.0025287	0.00266021	0.0019486	0.00252587	0.00148841	0.00145361	0.000995438	0.00121805	0.000579885	0.00055239	0.00044321	0.000918751	0.000119014	0.000335454	6.78141e-06	0.000121274	0.00014241	0.000446217
d2_9	0.0123071	0.00205718	0.00264247	0.00255221	0.00156072	0.00153723	0.00227023	0.00106966	0.00117508	0.00119651	0.0010363	0.00092123	0.00054222	0.000550604	0.000396374	0.00037681	0.000244131	0.000320422	0	0
