	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d2_0	0	0.0276217	0.00570442	0.00186371	0.000166462	0.000113832	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.063946	0.0308599	0.011124	0.00384241	0.00109969	0.000620308	3.15425e-05	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0348493	0.0252889	0.0133395	0.00635933	0.00185894	0.000915562	0.000104477	0.000343643	1.56325e-05	0	0	1.66095e-05	0	0	0	0	0	0	0
d2_3	0.018779	0.0196226	0.0158256	0.00769525	0.00345724	0.0011847	0.000719634	0.000213736	4.04624e-05	0.000239759	0	0	0	0	0	0	0	0	0
d2_4	0.0103111	0.0174261	0.0133772	0.00944165	0.00508495	0.00231256	0.00124143	0.000298929	6.23116e-06	1.504e-05	1.77959e-05	0	0	0	0	0	0	0	0
d2_5	0.00870327	0.0112894	0.0138569	0.008416	0.00597636	0.00253696	0.00118088	0.000595311	0.000344771	4.37799e-05	3.57926e-05	0	0	0	0	0	0	0	0
d2_6	0.0035521	0.00784257	0.0110736	0.0101675	0.0068945	0.00361217	0.00168778	0.000329754	0.000151267	7.52172e-05	0	0	0	0	0	0	0	0	0
d2_7	0.00310259	0.00503632	0.00782411	0.00898795	0.00533222	0.00394869	0.00199969	0.00116018	0.000543813	3.76086e-05	9.96569e-05	0.000239177	0	0	0	0	0	0	0
d2_8	0.00151615	0.00338557	0.00678078	0.00809148	0.00685792	0.00239388	0.00258621	0.00121563	0.000304458	0.000339241	4.81675e-05	0	0	1.45598e-06	0	0	0	0	0
d2_9	0.000642594	0.0031518	0.00530198	0.00681653	0.00658229	0.00307197	0.00373645	0.00199856	0.00072315	0.000873349	6.10992e-05	0.000146994	0	0	0	0	0	0	0
d2_10	0.000304452	0.00143316	0.00351116	0.00504348	0.00555498	0.00567205	0.00322337	0.00337346	0.00134975	0.000611939	6.64197e-05	0.000122436	2.24228e-05	7.24777e-06	0	0	0	0	0
