	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d2_0	0	0.0286505	0.00720037	0.00119252	0.000864284	6.26e-05	0.00011201	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.063012	0.0314305	0.0116853	0.00381709	0.000949469	0.000219086	0.000108344	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0331428	0.0253307	0.0160509	0.00527328	0.00234772	0.000457035	9.24476e-05	0.000171857	1.49016e-07	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.018045	0.020399	0.0135263	0.00909469	0.00344878	0.00151478	0.000882393	0.000406333	0.000277129	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.0105785	0.0164847	0.0137663	0.0087251	0.0049148	0.00295494	0.00136899	0.000297689	0.000280732	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00649628	0.0129656	0.0132782	0.0100025	0.00492572	0.00249172	0.0019783	0.000530992	7.21361e-05	7.20556e-05	2.23621e-05	0	0	0	0	0	0	0	0	0
d2_6	0.0035717	0.00895839	0.0100374	0.00960762	0.00548914	0.00428611	0.00197202	0.000965466	0.000167671	9.44177e-05	0.00011357	0	0	0	0	0	0	0	0	0
d2_7	0.00230743	0.00545895	0.00809172	0.00601171	0.00724611	0.00426517	0.00216566	0.00152467	0.0007916	0.000345245	0	0	0	0	0	0	0	0	0	0
d2_8	0.00208352	0.00369401	0.00481461	0.00618362	0.00589845	0.00421041	0.00286064	0.00152285	0.00118755	0.000571434	0.000365819	3.72701e-05	0	0	0	0	0	0	0	0
d2_9	0.000704005	0.00268605	0.00358342	0.0062907	0.00677689	0.00470852	0.00311687	0.00239814	0.00164735	0.00062104	0.000235661	0.000198774	0	4.96935e-05	0	0	0	0	0	0
d2_10	0.000276997	0.00203905	0.00281187	0.00537282	0.00588564	0.00658929	0.00243057	0.00205711	0.00146695	0.000966146	0.000158813	5.96322e-05	9.9387e-05	0	0	0	0	0	0	0
