	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d3_0	0	0.0149588	0.010268	0.0079891	0.00684361	0.00626928	0.00304713	0.0028816	0.00181792	0.00164721	0.000801325	0.000332945	0.000403548	0.000179497	5.80014e-05	4.22872e-05	8.51007e-06	9.3575e-08	2.25485e-08	0
d3_1	0.16282	0.0126249	0.00979712	0.00852106	0.00640531	0.00440602	0.00334298	0.00313912	0.00186805	0.00141839	0.00141521	0.000880314	0.000421108	0.000323115	0.000277269	0.000343564	0.000327908	0.000120068	2.25424e-05	5.94336e-06
d3_2	0.0701377	0.010672	0.00783092	0.0072502	0.00572458	0.005385	0.00434365	0.00257994	0.00315469	0.00182987	0.00180769	0.00045612	0.000648528	0.000995567	0.000274504	0.000173977	6.15244e-05	0.000325718	7.38006e-05	0
d3_3	0.0391042	0.00799941	0.00714247	0.00481034	0.00485093	0.00582048	0.00386778	0.00374619	0.00264188	0.00171031	0.00165723	0.00141515	0.000631135	0.00156526	0.00019431	0.00033395	9.28293e-05	7.62236e-05	0	1.63442e-05
d3_4	0.0259686	0.00705415	0.00684472	0.0052004	0.00479	0.00402903	0.00427334	0.0030838	0.00237977	0.00233504	0.00220266	0.00193431	0.00135389	0.00106161	0.000857454	0.000105586	0.000259465	0.000233956	0.000138109	0.000266878
d3_5	0.0138812	0.00560006	0.00533429	0.00462057	0.00476291	0.00329603	0.00265447	0.00261658	0.00247836	0.00179075	0.0017008	0.00127823	0.00125464	0.00260233	0.000889583	0.000575004	0.000380776	0.000429504	0.000327702	6.37426e-05
d3_6	0.0110413	0.0051335	0.00271077	0.0027637	0.00427472	0.00312182	0.00299716	0.00422756	0.00197347	0.00272767	0.00266984	0.00196761	0.00123908	0.00116733	0.000728367	0.000989867	0.000700019	0.000381988	0.000285791	0.000536558
d3_7	0.00639911	0.00233192	0.00403695	0.00394074	0.00280363	0.00256238	0.00260604	0.00286235	0.00245449	0.00289704	0.00316215	0.00248464	0.00124986	0.00130169	0.00193887	0.000552903	0.00121753	0.000409073	0.000252168	0.000154103
d3_8	0.00431263	0.00177172	0.00118702	0.00270248	0.00276773	0.00223682	0.0026007	0.00284368	0.00178283	0.00210702	0.00252565	0.00187912	0.000589677	0.00146073	0.000557339	0.00122433	0.00087862	0.000472133	0.000801685	0.000187725
d3_9	0.00207596	0.00195606	0.00166373	0.001994	0.00276907	0.0019082	0.00196211	0.00155854	0.00151077	0.00178644	0.00116756	0.00134385	0.00178012	0.00228156	0.00117644	0.000566328	0.00114176	0.000534457	0.000940728	0.000747399
d3_10	0.00116091	0.000743907	0.000820383	0.00180498	0.00203731	0.00195475	0.00268104	0.00132318	0.00251446	0.00196164	0.00177918	0.00258893	0.00198548	0.00174416	0.00149117	0.00203543	0.00170354	0.00068821	0.000594931	0.000919014
d3_11	0.000715196	0.000966518	0.000406972	0.0013352	0.000727786	0.00115075	0.00200299	0.00166513	0.00132599	0.00152632	0.00147215	0.000602402	0.00140864	0.0011936	0.00149153	0.00143386	0.00158306	0.000919364	0.00153472	0.000833557
d3_12	0.00013449	0.000480521	0.000362842	0.000912009	0.000850368	0.000399267	0.000950885	0.000600301	0.00188286	0.00165753	0.00139183	0.0013505	0.00184363	0.00129937	0.00146328	0.00178199	0.00143666	0.00091411	0.00123563	0.00233886
d3_13	0.000137292	0.000235357	0.000431488	0.000806238	0.000514844	0.00157395	0.000801335	0.000710975	0.00173576	0.0021906	0.00197357	0.00127975	0.00178689	0.00136066	0.00119675	0.000990461	0.00197112	0.00229473	0.00136311	0.00192699
d3_14	0.000355487	2.45164e-05	0.000196131	0.000372649	0.000563877	0.000521849	0.000495231	0.000760008	0.000931622	0.00153472	0.00159847	0.000652136	0.0017897	0.00141915	0.00137992	0.0022457	0.000740394	0.000661942	0.00214763	0.00346171
d3_15	9.80655e-06	3.15211e-05	0.000171615	0	0.000382455	0.000603103	0.00144647	0.00053936	0.000343229	0.000661942	0.00053936	0.000970848	0.000779621	0.000701168	0.0013484	0.00125034	0.00156625	0.00210561	0.00187795	0.00308906
d3_16	0.000147098	0	0	0.000196131	0	0.000196131	0.000147098	0.000774717	0.000441295	0.000931622	0.0010444	0.00122582	0.000652136	0.000897299	0.00115227	0.00128956	0.00153472	0.00181421	0.00166711	0.00469734
d3_17	0	0	0	4.90327e-05	4.90327e-05	0	0.000343229	0	0.000603103	0.000588393	0.000367746	0.000637426	0.00125034	0.00117679	0.0016426	0.0010542	0.00100517	0.00129937	0.00161808	0.00495231
d3_18	0	0	0.000147098	0	0	0	0.000147098	0	0	0.000465811	0	0.000882589	0.000392262	0.000588393	0.000833557	0.000637426	0.00129937	0.000833557	0.00122582	0.0070362
d3_19	0	0	0	0.000147098	0.000147098	0	0	0	0.000147098	0.000441295	9.80655e-05	0	0.000294196	0.000490327	7.35491e-05	0.00112775	0.000490327	0.00112775	0.00147098	0.0121601
d3_20	0	0	0	0	0	0	0	0	0	0	0.000147098	0.000294196	0.000343229	0.000147098	0.000735491	0.000441295	0.000465811	0.000294196	0.000490327	0.00147098
