	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d2_0	0	0.0279183	0.0143573	0.0109755	0.00805399	0.00787329	0.00552324	0.00356462	0.00358981	0.00243199	0.00181563	0.000711679	0.000752511	0.000512149	0.000477597	0.000247048	0.000108506	2.09146e-05	7.07409e-06	0
d2_1	0.0684866	0.00545222	0.00457396	0.00394454	0.00272148	0.00167254	0.00211153	0.00131809	0.00164869	0.00041813	0.00100872	0.000502714	0.000375281	0.000197733	0.000497836	7.75527e-05	5.00273e-05	8.0694e-05	0	0.000270126
d2_2	0.0502919	0.00511867	0.00357902	0.00362013	0.00213635	0.00222741	0.00238571	0.00123351	0.00137024	0.000638829	0.000947242	0.000373628	0.000561709	0.000185731	9.05693e-05	0.000589482	0.000166134	2.41292e-05	3.49961e-05	0
d2_3	0.039297	0.0045799	0.0043318	0.00342402	0.00272821	0.00283406	0.00135848	0.00104035	0.000924523	0.00126758	0.000435007	0.00037069	0.000610114	0.00013113	0.00014092	0.000110183	2.36952e-05	0.000213257	0	0
d2_4	0.0327933	0.00328853	0.00372009	0.00332433	0.00224945	0.0019382	0.00154718	0.0013973	0.00111045	0.00110923	0.00075698	0.000484652	0.000436894	0.000397793	5.34479e-06	0.000172475	0.000189618	1.42171e-05	4.73905e-05	0
d2_5	0.0271049	0.00278888	0.00278383	0.00205122	0.00317078	0.00158522	0.00137104	0.00084019	0.000822927	0.00156226	0.001217	0.000308269	0.000562523	0.000168389	0.000584596	1.58934e-05	0.000226685	2.36952e-05	4.52364e-05	5.41606e-05
d2_6	0.0221351	0.00321792	0.00316912	0.00300127	0.00331834	0.00233396	0.00117269	0.0012961	0.000811645	0.00065569	0.000868681	0.00110726	0.000655746	0.000258073	0.000466114	0.00014489	1.62482e-05	2.36952e-05	0.000189562	2.36952e-05
d2_7	0.0168061	0.00342793	0.00235342	0.0013648	0.00157717	0.00244323	0.00115755	0.0010694	0.00123991	0.00085096	0.00111032	0.000319585	0.000450877	0.000180648	0.000216878	0.000290651	7.10857e-05	0.000186854	0.000106967	6.77007e-06
d2_8	0.0141837	0.00239147	0.0025765	0.00189188	0.00285472	0.00175066	0.00184787	0.00110412	0.000804685	0.000981878	0.000563389	0.000815077	0.00104736	0.000699225	0.000372569	0.000282989	0.000118251	3.2722e-05	0.000258278	0
d2_9	0.0118101	0.00206201	0.00143922	0.00168216	0.00168111	0.00137333	0.00174506	0.00149961	0.00154122	0.00161335	0.000574684	0.000852176	0.00130474	0.000384042	7.24397e-05	0.000493856	0.000509109	3.79124e-05	9.72113e-06	0.000139802
d2_10	0.00933047	0.00220322	0.00181372	0.00176484	0.00186019	0.000746853	0.00123669	0.0015133	0.00113724	0.000953877	0.000599151	0.000624934	0.000322707	0.000505273	0.000422499	0.000352269	0.000134488	0.000466458	5.73199e-05	0
d2_11	0.00836826	0.00178162	0.00235632	0.00246445	0.00105411	0.00189042	0.00182838	0.00148697	0.00125172	0.000626334	0.000755201	0.000406899	0.000738558	0.000894466	0.000736584	0.000366486	0.000428545	0.000426514	0.000117348	4.73905e-05
d2_12	0.00734806	0.00200959	0.0014389	0.00164837	0.00137101	0.00207198	0.00139948	0.00158061	0.00100582	0.00128744	0.000778463	0.000542508	0.000790388	0.000846248	0.000641567	0.000672155	4.73905e-05	0.000144541	7.10857e-05	3.31733e-05
d2_13	0.00558732	0.00212665	0.00207787	0.00128152	0.00169792	0.00133883	0.00119397	0.000866665	0.00119428	0.00131353	0.00112402	0.000537092	0.000681972	0.000668083	0.000118476	0.000537544	0.000344484	0.000189562	0.000459688	0.000485414
d2_14	0.00537961	0.00117215	0.00168478	0.00180558	0.000778442	0.000464229	0.00124384	0.00142741	0.000712586	0.000912718	0.00198374	0.000329241	0.000820974	0.000525245	0.000725413	0.000451789	0.000426514	0.000526034	0.000355429	0.000414667
d2_15	0.00191118	0.00162705	0.00165766	0.000955374	0.000691208	0.00106937	0.00144864	0.000986578	0.00181517	0.000686379	0.00158609	0.000612107	0.0012752	0.000577374	0.000857091	0.000475033	0.000349664	0.000243938	0.000257488	0.000331733
d2_16	0.00283808	0.00126361	0.00146444	0.00129855	0.0013276	0.00159488	0.000851241	0.000950954	0.000714656	0.000962919	0.00105173	0.000537544	0.00110169	0.000819855	0.000331395	0.000748431	0.00094544	0.000334318	0.000644511	0.000502678
