	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d2_0	0	0.00463051	0.00345766	0.00235601	0.00167174	0.0010061	0.00058479	0.000292347	0.000720018	0.000218539	0.000182809	0.000210084	5.0044e-05	7.96311e-07	5.59e-08	9.80979e-08	4.11965e-08	0	0
d2_1	0.0748099	0.00533576	0.00421004	0.0023028	0.00210755	0.00122585	0.000962713	0.00077887	0.000716877	0.000541673	9.12446e-05	0.000106936	0.000359627	7.65346e-05	3.32932e-05	5.96823e-06	1.05643e-07	0	0
d2_2	0.0523876	0.00562636	0.00308473	0.00332602	0.00365735	0.00153164	0.00174021	0.00122794	0.000567569	0.000467555	0.000398022	0.000292959	7.59619e-05	0.000166785	3.25172e-08	3.09059e-05	2.15207e-06	0	0
d2_3	0.0393057	0.00489283	0.00579271	0.00399425	0.00184411	0.00150471	0.00133126	0.00169197	0.00171909	0.000695131	0.000160965	0.00021583	0.000106543	0.000117015	2.48921e-05	0.000132295	1.82672e-06	9.45575e-07	6.39886e-08
d2_4	0.0319315	0.00644681	0.00377643	0.00449974	0.00335364	0.00206588	0.00161504	0.00175506	0.00103445	0.00107162	0.00113054	0.000290094	0.000136921	0.000664669	0.000127258	5.59708e-05	3.57257e-05	6.4466e-06	0
d2_5	0.023176	0.00507938	0.00584547	0.00336558	0.0035341	0.00227559	0.00292272	0.0012305	0.00217973	0.00134726	0.000413304	0.00040213	0.00065919	0.000124095	0.000124024	2.71754e-05	7.92627e-06	3.59319e-06	5.40528e-06
d2_6	0.0198156	0.0047125	0.00476003	0.00545992	0.00294093	0.00228848	0.00158917	0.00132411	0.00145229	0.000741157	0.000491222	0.000173473	0.000611795	3.89252e-05	0.000224539	6.59525e-06	6.77883e-09	0	5.07014e-09
d2_7	0.0132708	0.00494087	0.00498001	0.00274927	0.00282813	0.00283387	0.00306875	0.00127364	0.00153042	0.00113999	0.00118115	0.000849241	0.000245175	0.000116004	9.16651e-05	0.000266289	2.89312e-05	1.33159e-05	0
d2_8	0.0108031	0.0047366	0.00423438	0.00252828	0.00215278	0.00257807	0.00207298	0.00236278	0.0017968	0.0014421	0.00149326	0.000662761	0.000278774	0.000233129	0.000109016	0.000403802	0.000409624	0.000104202	0
d2_9	0.00790952	0.00299097	0.00426455	0.00299792	0.00360133	0.00146329	0.00172067	0.00196247	0.00109725	0.00122285	0.000949308	0.000616048	0.000321798	0.000669667	0.000358152	8.26729e-05	3.59319e-06	0.00012127	0
d2_10	0.00691603	0.00296574	0.00329036	0.00337884	0.00326765	0.00192024	0.00216024	0.00148147	0.00134288	0.00154469	0.000667387	0.00169936	0.000978708	0.000557574	0.000222777	0.000129386	0.000102539	6.91047e-05	1.07209e-08
d2_11	0.00479573	0.00291052	0.00294662	0.00321935	0.00240703	0.0027334	0.00121396	0.00170333	0.00256063	0.000836277	0.00107536	0.000963717	0.00100273	0.0007098	0.000109748	3.86279e-05	0.000150613	0.000315703	3.67223e-05
d2_12	0.00438787	0.00273999	0.0028048	0.00180639	0.0020661	0.00234028	0.00133902	0.00251299	0.00137433	0.000834491	0.00210278	0.000651792	0.000528854	0.000850173	0.000372703	0.000252741	0.000129196	0	0.00027967
d2_13	0.00419389	0.00160141	0.00276312	0.00216012	0.00231478	0.00242519	0.0014522	0.0013486	0.00114833	0.00105802	0.00178823	0.000782793	0.000880622	0.000347888	0.00101526	0.000620614	0.000193262	0	1.61693e-05
d2_14	0.00216761	0.00179418	0.00154192	0.00209465	0.0021583	0.00142589	0.00198342	0.00175106	0.00101318	0.0021087	0.000673994	0.000445705	0.000755242	0.001144	0.000393197	0.000693338	0.000395913	3.14404e-05	0.000161693
d2_15	0.0018061	0.0015875	0.00188809	0.000529866	0.00149367	0.00162198	0.0020215	0.00162398	0.00180008	0.00158585	0.000903932	0.00130476	0.00101651	0.000754172	0.000986288	0.000545278	0.000104716	0.00025024	0.000269489
d2_16	0.00163686	0.000887807	0.00160295	0.000914341	0.0012388	0.00221517	0.0012089	0.00236326	0.00131417	0.000526787	0.000759376	0.00128798	0.000470322	0.000906895	0.000810392	0.000756117	0.000501281	3.71065e-05	0.000234455
d2_17	0.000951605	0.00188798	0.00100264	0.000590232	0.00188721	0.000904239	0.00256011	0.000820145	0.00182327	0.00113379	0.000655435	0.0011206	0.000889313	0.00165586	0.00108577	0.00103281	0.000838624	0.000161693	5.77476e-06
d2_18	0.000577068	0.000509406	0.00140174	0.000823779	0.00106272	0.00175684	0.0014708	0.000905645	0.00174145	0.000473611	0.000778823	0.00121824	0.00092823	0.000694444	0.000917277	0.000849805	0.000211635	0	0.000431182
d2_19	0.000537362	0.000733096	0.000164655	0.000466578	0.00132731	0.00109005	0.00183049	0.00124645	0.00132699	0.00159333	0.00115545	0.0017885	0.001242	0.000751854	0.00172608	0.000829019	0.000128978	0.000199422	0.000420396
d2_20	0.000946034	0.000391004	0.000443618	0.000739415	0.00179291	0.000413983	0.00076507	0.00152403	0.00146024	0.00145307	0.000719815	0.000558503	0.00109402	0.000220596	0.00116291	0.000354482	0.000204812	0.000180313	0.000258709
d2_21	0.000390887	0.000256399	0.000277189	0.000153224	0.00133114	0.00039574	0.00186766	0.000363277	0.000713761	0.00161849	0.00122848	0.00126352	0.000815653	0.000553704	0.00163676	0.00101559	0.00023715	0.000207366	0.001046
d2_22	0.00035303	0.000325183	7.00671e-05	0.000417708	0.00139826	0.00127234	0.00146294	0.00151891	0.000835416	0.00134769	0.000883014	0.00073532	0.00155688	0.000651265	0.000673722	0.000459908	0.000295784	0.00037459	0.00024254
d2_23	0.000541673	9.12412e-05	0.000220981	0.000609045	0.000899195	0.000406158	0.00140406	0.000949776	0.000916262	0.000269489	0.00164183	0.000543469	0.000700671	0.0011049	0.00115611	0.000463521	0.00095938	0.000296438	0.000255393
d2_24	2.87455e-05	0.000247545	0.000876084	0.000876224	0.000721845	0.00124684	0.00102316	0.000683207	0.000508949	0.000465831	0.00119204	0.000796917	0.00161796	0.000571316	0.00151286	0.000415803	0.000269489	0.00107488	0.000498554
d2_25	0.000247545	1.61693e-05	0.000579401	0.000404233	0.000770738	0.000616745	0.00024254	0.00104254	0.000447352	0.000441962	0.00112107	0.00118575	0.000299518	0.00166108	0.000635372	0.000657553	0.00073532	0	0.000929737
d2_26	0.000218286	0.000148219	9.7016e-05	0.000221238	0.000646773	0.000821941	0.000594672	0.000943724	0.000864674	0.00097555	0.00102945	0.000974267	0.000889313	0.000901781	0.000778438	0.000301828	0.00112877	0.000768043	0.000619824
d2_27	0.000323387	0	0.000571316	0.000350336	0.000328776	0.000689892	0.000493165	2.69489e-05	0.000427974	0.00114802	0.000118575	0.000763552	0.000627524	0.000872759	0.00145793	0.00095938	0.000997494	0.000789847	0.000851585
d2_28	9.7016e-05	0.000107796	0	0.000215591	0.000700671	9.16262e-05	0.00024254	0.000424894	0.00101328	0.000258709	0.000907279	0.000853381	0.00098094	0.000843115	0.00106718	0.00101328	0.00173012	0.000312607	0.00152531
d2_29	0.000215591	0	0.000107796	0.000161693	0.000301828	0.000404233	0.000167083	7.2377e-05	0.00105871	0.000377284	0.000528198	0.00097016	0.000169778	0.00111838	0.000528198	0.000546677	0.00106718	0.000808467	0.00188642
d2_30	0	0	0	1.61693e-05	9.7016e-05	0.000172473	0.000544368	0.000172473	0.000215591	7.00671e-05	0.00105101	0.000902403	0.000296438	0.00137131	0.000797687	0.00129355	0.00184869	0.00117728	0.00128277
d2_31	8.08467e-05	0	0	8.08467e-05	0	0.000215591	0.000431182	0.00095938	0.00024254	0.000377284	9.7016e-05	0.000404233	0.0011615	0.000668332	0.00146063	0.000916262	0.00101328	0.000819246	0.00219633
d2_32	0	0	0	0	1.07796e-05	8.08467e-05	8.08467e-05	0.000420403	0	0.000635994	0.000447352	0.00072762	0.000592876	0.000420403	0.00097016	0.00072762	0.00166005	0.000913182	0.00152531
d2_33	0	0	0.000215591	0.000188642	0	0.000123965	0	0.000161693	0.00048508	0.000700671	0.000592876	0.000215591	0.000377284	0.000997109	0.000646773	0.000404233	0.00167083	0.000916262	0.00214513
d2_34	0	0	0	0.000161693	0	0	0	0.000420403	0.000161693	5.38978e-05	0.000323387	0.000269489	0.000862364	0.000808467	0.000743789	0.000296438	0.00112107	0.000808467	0.00265716
d2_35	0	0	0	0	0	0	0.000161693	0	2.69489e-05	0	0.00048508	0.00048508	0	0.000538978	0.000336861	0.000808467	0.000646773	0.00113185	0.00417708
d2_36	0	0	0	0	0	5.38978e-05	0.000377284	0	5.38978e-05	0.00048508	0.000781518	5.38978e-05	0.000808467	0.000377284	0.000916262	0.000420403	0.00177863	0.00114802	0.0035303
d2_37	0	0	0	9.7016e-05	0	0.000323387	0	0	0.000323387	0.000161693	0.000258709	0.000339556	0	0.000296438	0.000862364	0.00102406	0.000188642	0.000862364	0.00482385
d2_38	0	0	0	0	0	0	0	0	0	0	0.00072762	5.38978e-05	0.000161693	0	5.38978e-05	0.000862364	0.000808467	0.00048508	0.00381596
d2_39	0	0	0	0	0	0	0	5.38978e-05	0	0	0.000161693	0.000161693	0.000161693	0	0.00048508	0.000323387	5.38978e-05	0.000808467	0.00393454
d2_40	0	0	0	0	0	0	0.000161693	0	0	0.000161693	0.000161693	0	0	0	0.00048508	0	0.000538978	0.000862364	0.00584791
d2_41	0	0	0	0	0	0	0	0	0	0	0.000161693	0	0	0	0	0	0.000161693	0	0.0109951
