	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d3_0	0	0.0590819	0.0440288	0.0412613	0.0310062	0.0225703	0.0238725	0.0184303	0.0140897	0.0120485	0.00863381	0.00759469	0.00515699	0.00363363	0.00301613	0.00120917	0.00238122	0.00121247	0.00200388
d3_1	0.024125	0.00219184	0.0028922	0.00338962	0.00249585	0.00158639	0.00144672	0.00204562	0.00138218	0.000643811	0.000588288	0.00116777	0.000856602	0.00102102	0.00116741	0.000597335	0.000441299	0	0.000464867
d3_2	0.0225465	0.00329549	0.00357999	0.00183482	0.00223208	0.00204292	0.000807864	0.0026013	0.00128738	0.00161521	0.00149938	0.000937343	0.000852447	0.00100409	0.000401012	0.000589598	0.000306506	0.00028962	0.000923775
d3_3	0.0188346	0.00352116	0.00338369	0.0019065	0.00219156	0.00181444	0.00167703	0.00218511	0.00105515	0.00162421	0.00134084	0.00150107	0.000552846	0.0012237	0.00119395	0.000312892	0.000798193	0.000866163	0.00110257
d3_4	0.0182152	0.00296238	0.00324683	0.00337129	0.00342611	0.00243409	0.00302444	0.00174087	0.00192302	0.00220371	0.000937661	0.00131843	0.000999282	0.000324386	0.000581084	0.000997125	0.000629034	0.000806871	0.00123667
d3_5	0.0134412	0.00200822	0.00193176	0.00226498	0.000838722	0.00183936	0.00117951	0.00126981	0.00142682	0.000987813	0.000823913	0.000869775	0.000578956	0.000244212	0.000770927	0.000479341	0.000715181	0.000869982	0.00176667
d3_6	0.0111829	0.00320265	0.00221643	0.00149014	0.00137071	0.00132487	0.00211074	0.00234398	0.000767671	0.00139451	0.000925508	0.00101012	0.000465818	0.000641829	0.00075988	0.00110853	0.000798193	0.000327791	0.00233328
d3_7	0.00984781	0.00204546	0.00127515	0.00194048	0.00210185	0.000475631	0.0022979	0.00180377	0.00139222	0.00196412	0.000677568	0.00226172	0.000737109	0.00156006	0.000928742	0.000744412	0.00113527	0.00074498	1.78795e-05
d3_8	0.00933666	0.00204457	0.00157945	0.001659	0.00238159	0.00161788	0.00149727	0.00240677	0.00166309	0.0013098	0.00158436	0.00163342	0.00123223	0.00108941	0.000324386	0.00109057	0.000268193	0.000334177	0.0020929
d3_9	0.00751849	0.00226092	0.00121689	0.00151433	0.00157391	0.0016242	0.000706985	0.00105678	0.00121499	0.00138434	0.000664793	0.00121795	0.00104893	0.000383416	0.000951291	0.000938675	0.000607478	0.000286072	0.000834378
d3_10	0.00897508	0.000698959	0.00122876	0.00151971	0.00157458	0.00134038	0.00141323	0.00117042	0.000423876	0.000959454	0.000134961	0.00131485	0.0015548	0.000771374	0.00092037	0.00102112	0.000705815	0.00040385	0.00335539
d3_11	0.00645174	0.000940101	0.00146411	0.00151715	0.00143713	0.000903458	0.000879227	0.00173263	0.000986624	0.00121913	0.00076632	0.000984901	0.000780726	0.000950169	0.00140933	0.000979968	0.00038739	0.00123965	0.00132904
d3_12	0.00816859	0.00130072	0.00120268	0.0017149	0.000839828	0.00160158	0.00115232	0.00211987	0.000991641	0.00082773	0.00142329	0.00224241	0.0010495	0.000481535	0.00148583	0.000598964	0.000268193	0.00108072	0.00194489
d3_13	0.00453804	0.00191341	0.00134694	0.00134237	0.00117879	0.00135643	0.00142072	0.00187395	0.000539955	0.00153067	0.00108798	0.0011752	0.00139772	0.000239507	0.000881631	0.0008756	0.000297992	0.000774779	0.00103247
d3_14	0.0061794	0.000988951	0.00132527	0.00138764	0.000893662	0.000669783	0.000431194	0.000959676	0.000956129	0.00154658	0.000417189	0.00107607	0.00230163	0.000932289	0.000259253	0.000414209	0.000685382	0.00136182	0.00128137
d3_15	0.00394035	0.00147039	0.0011757	0.000577746	0.00102323	0.000472126	0.000819194	0.00131261	0.000393439	0.000716671	0.00114016	0.000565333	0.000726249	0.000593275	0.000512546	0.00130918	0.000636284	0.00035759	0.00226474
d3_16	0.00511053	0.0015665	0.000927818	0.0012392	0.000587671	0.000438913	0.000968635	0.00131539	0.000493597	0.00196634	0.00120146	0.00125701	0.00187437	0.00129311	0.00195653	0.00170877	0.0013946	0.00101317	0.00266064
d3_17	0.00284891	0.00100116	0.000543835	0.000502192	0.00127583	0.000978488	0.00068218	0.00132308	0.000795922	0.000664948	0.000870704	0.00171262	0.000723695	0.00100125	0.000842892	0.000941655	0.000941655	0.00101317	0.00214554
d3_18	0.00264718	0.000297424	0.000447839	0.000906017	0.000327933	0.000905876	0.000677777	0.000898581	0.00147835	0.000801173	0.000568477	0.00190444	0.00074916	0.000590024	0.000913345	0.000714067	0.00179987	0.00126647	0.00204422
d3_19	0.00161559	3.48299e-05	0.000453602	0.000675448	0.00116578	0.000884314	0.000262461	0.00060095	0.00045238	0.000116217	0.00107898	0.00073306	0.000271444	0.000736466	0.00091739	0.00116217	0.00146016	0.000327791	0.00308379
d3_20	0.00274584	0.00161172	0.00166492	0.000762008	0.0016838	0.00176449	0.00189331	0.00351516	0.00273074	0.0034882	0.00323995	0.00467752	0.00582331	0.00316808	0.00589627	0.00700537	0.00499633	0.00676953	0.0335569
