	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d3_0	0	0.0670719	0.024146	0.00814307	0.00218546	0.00113621	0.000331072	7.29942e-05	1.62466e-06	1.27462e-05	0	0	0	0	0	0	0	0	0
d3_1	0.0778977	0.0548364	0.0311769	0.0140938	0.00651379	0.003275	0.00157288	0.000346366	0.000275297	0	0	0	0	0	0	0	0	0	0
d3_2	0.0308262	0.0354456	0.0255838	0.0151991	0.0103299	0.00551306	0.00276338	0.00134956	0.000248081	0.000122682	0.000373887	0	0	0	0	0	0	0	0
d3_3	0.0104527	0.0187816	0.019972	0.0163441	0.00943101	0.00776714	0.00426489	0.00216425	0.00134505	0.000616727	0.00020497	2.20498e-05	8.90208e-06	0	0	0	0	0	0
d3_4	0.00359835	0.00880409	0.0135906	0.0118065	0.0105634	0.00817935	0.00683564	0.00330655	0.00191501	0.000669042	0.000563947	0.000239911	8.35581e-05	0	0	0	0	0	0
d3_5	0.002143	0.00550737	0.0057995	0.00779805	0.00947672	0.0083813	0.00523457	0.00431147	0.00350764	0.00127337	0.00072206	5.95326e-05	2.37018e-05	0	0	0	0	0	0
d3_6	0.000325212	0.00204297	0.00467372	0.0059739	0.00754381	0.00577609	0.00660115	0.00354754	0.00389647	0.00121442	0.00169798	0.00118175	0.00013954	0.000111387	0	0	0	0	0
d3_7	0.000239057	0.00152977	0.00244338	0.00357014	0.00518311	0.00433601	0.00676641	0.00524601	0.00421119	0.00347629	0.00207752	0.00075814	0.000162463	0.000551484	4.67359e-05	0	0	0	0
d3_8	9.55962e-06	0.000405173	0.00134691	0.00197183	0.00336115	0.00507481	0.00401639	0.00579672	0.0040648	0.00349331	0.002685	0.000973877	0.000759458	0.000280415	9.34718e-06	0	9.34718e-06	0	0
d3_9	3.50519e-05	3.03783e-05	0.000873558	0.000786098	0.00190417	0.00290907	0.00475034	0.00388322	0.00488378	0.00336487	0.00271202	0.00199496	0.00158746	0.000468917	0.00023368	0.000303783	0	0	0
d3_10	0	6.67656e-05	0.000620669	0.000308252	0.00129339	0.00124394	0.00307898	0.00309485	0.00407658	0.00180267	0.00432709	0.00225156	0.0019964	0.00139941	0.000894659	0.000257047	0.000140208	0	0
d3_11	0	0.00011684	7.01039e-05	0.00037322	0.000513741	0.00102277	0.00157832	0.00233412	0.00242415	0.00323891	0.00386761	0.00285723	0.00282608	0.00199529	0.000869288	0.000210312	0.000411276	7.01039e-05	0
d3_12	0	0	0	9.89345e-05	0.000335467	0.000751335	0.000941729	0.00140764	0.00224889	0.00275208	0.00261921	0.00357296	0.0025253	0.00256113	0.00167047	0.000701039	0.000490727	0.000224332	0
d3_13	0	0	0	4.67359e-05	0.000128524	0.000693232	0.000258511	0.00079885	0.0019905	0.00281907	0.00276443	0.00234536	0.00338335	0.00210912	0.00180835	0.00122915	0.00128524	0.000420623	0.000224332
d3_14	0	0	0	4.67359e-05	0	0.000179154	0.000142005	0.0010411	0.00152125	0.000465022	0.00273171	0.00227559	0.00335964	0.0028322	0.00296105	0.00187611	0.0012385	0.000280415	0
d3_15	0	0	0	0	0	0	0	0	0.000163576	0.000483717	0.00175727	0.00203735	0.00232044	0.00333227	0.00313598	0.00237418	0.000916024	0.00091135	0.000747774
d3_16	0	0	0	0	0	0	0	0.000186944	0.000401929	0.00059822	0.000210312	0.00153294	0.0027641	0.00203301	0.00300278	0.00252374	0.0029911	0.00107493	0.000327151
d3_17	0	0	0	0	0	0	0	0	0	0.000537463	0.000715059	0.00103286	0.00146283	0.0023368	0.00144881	0.00387908	0.0035753	0.00285089	0.00105156
d3_18	0	0	0	0	0	0	0	0	0.000280415	0	0	0.000574852	0.000514095	0.00135534	0.00195356	0.00214985	0.00309859	0.00343509	0.00244429
d3_19	0	0	0	0	0	0	0	0	0	0	0.000163576	0	0.000514095	0.000514095	0.000677671	0.00147218	0.00294436	0.00329488	0.00399592
d3_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000140208	0.000140208	0.000467359	0.00219659	0.00252374	0.00572515
