	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d3_0	0	0.0729012	0.0226292	0.00895104	0.00316735	0.000830023	0.00062862	9.06083e-05	1.40599e-05	0	0	0	0	0	0	0	0	0	0	0
d3_1	0.0737233	0.0531505	0.03049	0.0163149	0.00772074	0.00262086	0.00136712	0.000609783	9.61876e-05	0.000254623	0.000117166	3.90553e-06	0	0	0	0	0	0	0	0
d3_2	0.0272649	0.0342128	0.0251532	0.0181374	0.0105924	0.00621966	0.00314941	0.0017824	0.000273457	8.23436e-05	5.14586e-05	0.000140599	0	0	0	0	0	0	0	0
d3_3	0.0110136	0.0164229	0.0183844	0.0171732	0.0115844	0.00663358	0.00416989	0.00321953	0.000874457	0.000673722	0.000171972	0	7.98858e-06	0	1.46077e-05	0	0	0	0	0
d3_4	0.00386452	0.00758717	0.0093034	0.013701	0.0113808	0.00689794	0.00539577	0.00464048	0.00186462	0.000886563	0.000435857	2.34332e-05	0.00031088	9.37327e-05	0	0	0	0	0	0
d3_5	0.00164965	0.00480193	0.00587394	0.0091414	0.00842555	0.00940615	0.00708515	0.00494135	0.00219305	0.00167272	0.000654201	0.000571435	6.09262e-05	0	0	0	0	0	0	0
d3_6	0.000440625	0.00210874	0.00461094	0.00593305	0.00630224	0.00589164	0.0057999	0.00390465	0.00251364	0.0025681	0.00230839	0.000786702	0.000605078	5.35615e-05	0.000241027	0	0	0	0	0
d3_7	0.00022506	0.000676442	0.00201334	0.00307826	0.00499296	0.00570273	0.00496701	0.00503363	0.00433386	0.00403537	0.00194651	0.00115927	0.000355849	0.000156221	2.34332e-05	0.000187465	0	0	0	0
d3_8	1.17166e-05	0.000411988	0.000917508	0.00192922	0.00322057	0.00379448	0.00380671	0.00501954	0.00495604	0.00375087	0.00260927	0.00167904	0.00121753	0.000768699	0.000213242	0.000187465	3.74931e-05	0.000328064	0	0
d3_9	2.10899e-05	0.000107831	0.000388785	0.00121845	0.0018997	0.00296405	0.0047534	0.00306713	0.00436973	0.00440868	0.00387908	0.00184562	0.00188023	0.000834221	0.000845937	0.000421797	0	0	0	0
d3_10	0	7.48917e-05	0.000384963	7.54325e-05	0.000405921	0.00174242	0.00206432	0.00338996	0.00389358	0.00377762	0.00305757	0.00339111	0.00299442	0.00181339	0.00106855	0.000187465	7.02995e-05	0.000374931	0	0
d3_11	0	0	0	0.000162916	0.000618402	0.000697974	0.00149515	0.00234028	0.00191025	0.0039893	0.00387239	0.0028035	0.00200668	0.00280417	0.0013849	0.000843594	0.000702995	0	0	0
d3_12	0	0	0.00038686	0	0.000281198	0.00061328	0.000794247	0.00133758	0.00160752	0.00187566	0.00219491	0.00371762	0.00284479	0.00262418	0.00268745	0.00177155	0.000749861	0.000358193	0.000328064	0
d3_13	0	0	0	0	0.000140599	9.37327e-05	0.000227302	0.000337651	0.00098397	0.00178717	0.00238236	0.00203703	0.00275718	0.00246483	0.00219334	0.00172937	0.00124196	0.000398364	0.000140599	0
d3_14	0	0	0	0	2.34332e-05	0.000187465	3.28064e-05	0.000374931	0.000342124	0.00208756	0.0011971	0.000864349	0.00238282	0.00250032	0.00227034	0.00172468	0.00168451	0.00121852	0.000281198	0
d3_15	0	0	0	0	0	4.68663e-05	0	0.000107793	0.000595203	0.000421128	0.000801414	0.000506156	0.00206681	0.00272293	0.00338844	0.00322675	0.00268544	0.00125602	0.00128882	0.000328064
d3_16	0	0	0	0	0	0	7.02995e-05	0.000140599	4.68663e-05	0.000154659	0.000707682	0.00051553	0.0015419	0.00175481	0.00189809	0.0038263	0.00367432	0.000951387	0.00161689	0.000281198
d3_17	0	0	0	0	0	0	0	0	0.000117166	0.000234332	0.000295258	0.000405059	0.00092561	0.0022141	0.00246517	0.00223084	0.00414767	0.00304631	0.00152316	0.00089046
d3_18	0	0	0	0	0	0	0	0	0.000187465	0	0	2.81198e-05	0.000585829	0.000984193	0.00152784	0.00165438	0.00325721	0.00283541	0.00328064	0.00327127
d3_19	0	0	0	0	0	0	0	0	0	0	0.000140599	2.34332e-05	0.000140599	0.000257765	0.000398364	0.00121852	0.00217928	0.00339781	0.00374931	0.00374931
d3_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000140599	0	0.000374931	0.00103106	0.000984193	0.00285885	0.0052959
