	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d1_0	0	0.0808485	0.02785	0.00828441	0.00348807	0.00122325	0.000173614	0.000244335	4.80299e-06	0	0	0	0	0	0	0	0	0	0
d1_1	0.0877202	0.058676	0.0300647	0.0159986	0.00754877	0.00255642	0.00153134	0.000579497	0.000177551	9.41386e-05	0	0	0	0	0	0	0	0	0
d1_2	0.0323855	0.0338569	0.0247808	0.0177013	0.010862	0.00549593	0.00338665	0.00134347	0.00104368	0.00014344	3.58623e-05	0	0	0	0	0	0	0	0
d1_3	0.0110415	0.0168426	0.0182641	0.0154882	0.0108608	0.00675295	0.0037771	0.00196213	0.00202805	0.00056176	0.000264165	4.48279e-05	0	0	0	0	0	0	0
d1_4	0.0038127	0.00954144	0.0101072	0.0123109	0.00912274	0.00701852	0.0058946	0.00287722	0.00133286	0.000994876	0.000239359	0.000139491	0.000372072	6.40399e-06	3.58623e-05	0	0	2.2414e-05	0
d1_5	0.00151121	0.00372784	0.00691181	0.00850362	0.00948049	0.00803068	0.00437768	0.00456461	0.00251702	0.00192423	0.000855777	0.000133416	0.000228943	0	0.000134484	0	4.48279e-05	0	0
d1_6	0.000363477	0.00176337	0.00291894	0.00500804	0.00539575	0.00665438	0.00616393	0.0049879	0.00200665	0.00121783	0.00212071	0.000916614	0.000311234	0	0	0	0	0	0
d1_7	0.000277899	0.000850412	0.00148578	0.00279766	0.00507148	0.00538817	0.00575617	0.00585187	0.00538437	0.00295974	0.00230832	0.00111674	0.000870836	0.000414658	0.000311234	0	0	2.2414e-05	0
d1_8	5.62387e-05	0.000590708	0.000548927	0.00192973	0.00271367	0.00361395	0.00351998	0.00428366	0.00520178	0.00508325	0.00330199	0.00197659	0.0015361	0.000912248	4.48279e-05	1.34484e-05	1.1207e-05	0	0
d1_9	0	0.000139607	0.000710005	0.000711439	0.0011743	0.00337165	0.0035862	0.00563512	0.00318437	0.00445583	0.00261208	0.00256992	0.00172139	0.000924736	0.000291381	4.48279e-05	0.000134484	0	0
d1_10	0	0	0.000230864	0.00033178	0.000452869	0.0014233	0.0026968	0.00300798	0.00297787	0.00439008	0.0025221	0.00418212	0.00248304	0.00188619	0.000667296	0.000409855	0.00022414	6.72419e-05	0
d1_11	0	0	0	8.96558e-05	0.000156898	0.0010396	0.00198716	0.00231099	0.00277732	0.00384656	0.00309837	0.00261048	0.00267366	0.00179696	0.00140311	0.000685867	0.000179312	0.000268967	0
d1_12	0	0	0	4.70693e-05	0.000327244	0.000555866	0.00097458	0.000918215	0.00127696	0.00179845	0.00337788	0.00352988	0.00360833	0.00265381	0.00277634	0.00116553	0.000134484	0.000336209	0
d1_13	0	0	0	0	0	0.000118474	0.000311554	0.000409855	0.00108708	0.000815121	0.00102848	0.00318694	0.00282608	0.00262884	0.00203967	0.00116296	0.000918972	0.000134484	0
d1_14	0	0	0	0	0.000230544	3.58623e-05	0.00022414	6.72419e-05	0.000627591	0.0010557	0.00119498	0.00247151	0.00180881	0.00294692	0.00353244	0.00212933	0.00136725	0.000685867	0.000403451
d1_15	0	0	0	0	0	6.72419e-05	0.000134484	5.82763e-05	0.000315717	0.000268967	0.000268967	0.00125518	0.00257953	0.00216967	0.00163622	0.00280174	0.00200381	0.00189622	0.000932421
d1_16	0	0	0	0	0	0	0	0	0.000201726	4.70693e-05	0.00116553	0.000878627	0.00132242	0.00188021	0.00269864	0.00272554	0.00318278	0.00143449	0.000717247
d1_17	0	0	0	0	0	0	0	0	0	8.96558e-05	0.000358623	0.000627591	0.00103104	0.00108932	0.00226381	0.0030483	0.00307071	0.00396727	0.00237588
d1_18	0	0	0	0	0	0	0	0	0	0	0	0.000134484	0.000448279	0.000336209	0.00147036	0.00197243	0.00219657	0.00342934	0.00479659
d1_19	0	0	0	0	0	0	0	0	0	0	0	4.48279e-05	0	0.000134484	0.000941386	0.000717247	0.00219657	0.00313795	0.00560349
