	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41
d3_0	0	0.0861001	0.0391118	0.0217555	0.011404	0.00581981	0.0034321	0.00222895	0.000878967	0.000484255	0.000358995	0.000123136	2.08616e-05	0.00011635	0	0	0	0	0	0	0	0.000166893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_1	0.0417489	0.0417367	0.034539	0.0226633	0.0153163	0.0127626	0.00754682	0.00403579	0.00281807	0.00215372	0.000916676	0.000801793	0.000430764	0.00024745	5.3616e-05	1.84024e-05	3.12924e-05	2.68221e-05	0	2.98023e-06	0.000104308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_2	0.0100041	0.0157081	0.0182602	0.0174439	0.0141467	0.0107701	0.0101644	0.00615219	0.00536951	0.00325452	0.00269453	0.00210725	0.000710235	0.000840828	0.000556748	0.000139773	0.000175238	0.000284707	2.27581e-05	1.30046e-05	6.25848e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_3	0.00282109	0.00625885	0.00654123	0.00949551	0.0113252	0.00898744	0.00825404	0.00550217	0.00617927	0.00536955	0.00350995	0.00169012	0.00297832	0.00158918	0.00164383	0.000856999	0.000668003	0.000232011	0.000108968	0.000268817	0.000271201	0.000166893	0	0	1.3411e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_4	0.000480501	0.00189787	0.00287091	0.00496357	0.00529709	0.00580569	0.0058366	0.00706023	0.00476325	0.00359949	0.00295459	0.00358398	0.00243071	0.00243388	0.0027383	0.0012044	0.000796823	0.000744477	0.000350963	0.000998973	0	0.000266731	1.43051e-05	0	0	0	4.17232e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_5	0.000144643	0.000364623	0.00109866	0.00200654	0.00237294	0.00262686	0.00413247	0.00451326	0.00363686	0.00467323	0.00398919	0.00363079	0.00317986	0.00186694	0.00249069	0.00227232	0.00187685	0.00097344	0.00105511	0.0004244	0.000342212	0.000581741	0.000389606	0.000356038	0.000104308	0.000239909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_6	1.13158e-05	4.37464e-05	0.000142031	0.000470515	0.00105713	0.00207389	0.00288297	0.00238486	0.00253804	0.00321156	0.0040087	0.00324007	0.00207372	0.00287706	0.0023881	0.00302146	0.00134765	0.00146958	0.0020042	0.00110455	0.00042359	0.000176231	0.000487864	0.000473748	0.000164111	0.000158548	0.000381469	4.17232e-05	0	0.000227581	0	0	0	0	0	0	0	0	0	0	0	0
d3_7	3.21865e-05	4.26163e-05	1.23153e-05	0.000155304	0.000344424	0.000983871	0.00119631	0.000707933	0.00153544	0.00198815	0.0029422	0.00276082	0.00188705	0.00192228	0.00343654	0.00255757	0.00384825	0.00206819	0.00167176	0.00179456	0.00134995	0.00113208	0.00107207	0.000609159	0.000172853	0.000312924	0.000166893	0.000250339	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_8	3.12924e-05	3.66975e-05	0	0.000189212	0.000118675	0.000329525	0.00056426	0.000600206	0.000424891	0.00118241	0.00146165	0.0023847	0.00147574	0.00168584	0.00181788	0.00216349	0.00169369	0.0037817	0.00196126	0.00140565	0.00276328	0.00135511	0.00069499	0.000839829	0.000663399	0.00078996	0.000160336	0.000429749	0	0.000146031	0.000292063	0	0	0	0	0	0	0	0	0	0	0
d3_9	0	0	0	0.000166893	1.53075e-05	4.37635e-05	0.000287518	0.000725242	0.000562816	0.00104352	0.000744526	0.000619411	0.00100333	0.00105614	0.00231642	0.00256836	0.00194025	0.0023222	0.00150849	0.00177411	0.00239491	0.00159591	0.000612735	0.000614821	0.000354051	0.00123292	0.00116408	0.000367164	0.000492334	2.88089e-05	0	0	0.00012517	0	0	0	0	0	0	0	0	0
