	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d3_0	0	0.0568545	0.0209131	0.00922491	0.00425104	0.000863696	0.00059577	5.64465e-05	0	0	0	0	0	0	0	0	0	0	0	0
d3_1	0.05952	0.0474147	0.0282421	0.0151646	0.00818886	0.00380499	0.0010861	0.000580201	0.000292136	1.01795e-05	2.72666e-06	0	0	0	0	0	0	0	0	0
d3_2	0.0252173	0.0285154	0.0242091	0.0182944	0.0121819	0.00654106	0.00390019	0.0020529	0.000533833	0.000443137	0.000220243	0	0	0	0	0	0	0	0	0
d3_3	0.0089232	0.0164074	0.017586	0.0144018	0.0115873	0.00834545	0.00434794	0.00262615	0.00230113	0.000702315	0.00049504	0	0	2.77623e-06	0	0	0	0	0	0
d3_4	0.00343232	0.00760756	0.0142283	0.013684	0.0112279	0.0084813	0.0038969	0.00388291	0.00219715	0.00116918	0.000675866	0.000371552	0.00030793	0	0	0	0	0	0	0
d3_5	0.00124157	0.00353097	0.00698168	0.00994531	0.0100463	0.0103647	0.00808633	0.00483472	0.00342957	0.00209574	0.00129622	0.000568357	0.000267212	2.0359e-05	0	0	0	0	0	0
d3_6	0.000639119	0.00198684	0.00307533	0.00609939	0.00745411	0.00829173	0.00763317	0.00504257	0.00400655	0.00178016	0.00159057	0.00192114	0.00067403	4.07181e-05	0	0	0	0	0	0
d3_7	0.000342815	0.000543956	0.00239201	0.00276867	0.00596356	0.00600867	0.00519772	0.00557701	0.00518904	0.00475918	0.00209513	0.00199155	0.000572466	0.000371552	0.000200561	0.000244308	0	0	0	0
d3_8	0	0.000242978	0.000500779	0.00212998	0.00414571	0.0053697	0.00453023	0.00734218	0.00383741	0.00461252	0.00324907	0.00176892	0.00103237	0.00127923	0.000305386	0.000407181	0	0	0	0
d3_9	2.45399e-05	0.000228554	0.000330085	0.000347437	0.00198181	0.00334617	0.00331127	0.00387514	0.00524305	0.00353294	0.00295666	0.00242188	0.00242129	0.00117101	0.00109139	0.000312657	5.08976e-05	0	0	0
d3_10	0	0	0.000136033	0.00063329	0.00132141	0.00135203	0.00246938	0.00359628	0.00397459	0.00397813	0.00384447	0.00319722	0.00296502	0.00219369	0.000456867	0.00106885	0.000229039	0	0	0
d3_11	0	0.000118761	9.33123e-05	0.000211225	0.000635008	0.00127137	0.00147321	0.00270618	0.00239993	0.00287921	0.00293861	0.00400613	0.00332458	0.00232953	0.00234517	0.00111429	7.63464e-05	0	0	0
d3_12	0	0	0	0.000163357	0.000556965	0.000374461	0.0010863	0.000932274	0.00196876	0.00272376	0.0034369	0.0025342	0.00394747	0.00203798	0.00308185	0.00137424	0.000805879	0.000261759	0	0
d3_13	0	0	0	0	0.000324048	0.000244308	0.000470458	0.000655621	0.00183995	0.0020634	0.00360052	0.0035678	0.00282482	0.00274253	0.0029666	0.00344831	0.000796184	0.000305386	0	0
d3_14	0	0	0	0	0	7.63464e-05	8.36175e-05	0.000437719	0.000977234	0.000951785	0.000972144	0.00248817	0.00256015	0.00341232	0.00326981	0.00217842	0.00174579	0.000101795	0.000229039	0
d3_15	0	0	0	0	0	0	0	0.00020359	0.000371552	0.000702387	0.00127753	0.00174833	0.00207408	0.00283718	0.0039751	0.00342541	0.00245835	0.000905977	0.000610771	0.000152693
d3_16	0	0	0	0	0	0	0	0.00020359	0.000193411	0.000559874	0.000811453	0.00103867	0.00181195	0.00187012	0.00197483	0.00287571	0.00272302	0.00221405	0.00137424	0.000381732
d3_17	0	0	0	0	0	0	0	0	5.08976e-05	0	0.000442809	0.00105867	0.000458078	0.00112702	0.00249907	0.00290625	0.00212752	0.00236674	0.0021377	0.000814362
d3_18	0	0	0	0	0	0	0	0	0	0.000229039	0.00020359	2.54488e-05	0.000865259	0.00110957	0.0019901	0.00295206	0.00261105	0.0030793	0.00274847	0.00234129
d3_19	0	0	0	0	0	0	0	0	0	0	0	0.000279937	0.000152693	0	0.000905977	0.00167962	0.00162872	0.00330834	0.00374097	0.00384277
d3_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00020359	5.08976e-05	0.00117064	0.00165417	0.00106885	0.00335924	0.00544604
