	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d3_0	0	0.0624307	0.0492187	0.0409227	0.0340327	0.023622	0.0223229	0.0185736	0.0162118	0.0132696	0.0114707	0.0104154	0.00457421	0.00545698	0.00378009	0.00443604	0.00214322	0.00277255	0.0017061	0.00260434
d3_1	0.0202544	0.00252899	0.00237306	0.00276036	0.00198851	0.00273898	0.00195363	0.0012018	0.00238443	0.00106704	0.00114534	0.00117624	0.0004743	0.000472677	0.000989624	0.000532844	3.02998e-05	0.000511634	0.000245429	0.000878695
d3_2	0.0192906	0.00117706	0.00317625	0.00145212	0.00152438	0.00141641	0.00240832	0.000592855	0.00192283	0.000418702	0.00042101	0.00110867	0.000444601	0.000886828	0.000510819	0.00138023	0.000438648	0.000557517	0.000344841	0.000454498
d3_3	0.0154559	0.00255479	0.00260169	0.00222343	0.00153703	0.00156824	0.00177637	0.00233024	0.000888056	0.00126514	0.000842335	0.00131844	0.00159294	0.00122693	0.00112831	0.00107895	0.000614077	0.000504276	2.0777e-05	0.000569637
d3_4	0.0144837	0.00181067	0.00170852	0.00257056	0.00176706	0.0013317	0.00111439	0.001427	0.00174946	0.00160743	0.00163398	0.00125411	0.00115217	0.000464174	0.000772213	0.000482043	0.000820426	0.0011423	0.000533277	0.000947952
d3_5	0.0121407	0.00196488	0.00235456	0.00225609	0.00255432	0.00167797	0.0012136	0.000562671	0.00106565	0.0014741	0.000790518	0.00148598	0.00153296	0.000207351	0.000806203	0.000583042	6.40625e-05	0.000591712	3.30544e-06	0.00131155
d3_6	0.0114242	0.00177262	0.00107157	0.00236783	0.00203527	0.00128535	0.00246578	0.00121207	0.000965792	0.00123988	0.00114732	0.00117851	0.00137721	0.000766717	0.000293476	0.000927883	0.000936265	0.000636297	0.000424198	0.00136955
d3_7	0.0103699	0.00264405	0.00163633	0.00148608	0.00086589	0.0010929	0.0016226	0.0010869	0.000657724	0.000657146	0.0025221	0.00101386	0.000716591	0.00122363	0.000844707	0.00050038	0.000170256	0.000457527	0.000372255	0.000666596
d3_8	0.00986779	0.00116989	0.0015093	0.00121892	0.00111594	0.00132185	0.00106956	0.00139576	0.000939957	0.00054503	0.000785221	0.00189533	0.00139899	0.00101807	0.000742346	0.000747396	0.000393898	0.000642356	0.00133622	3.02998e-05
d3_9	0.00811351	0.00205802	0.00230684	0.00131624	0.00107354	0.00134309	0.00135555	0.00125025	0.000377773	0.00101088	0.000749691	0.00130982	0.000912025	0.000512343	0.00100244	0.00108473	0.000662867	0.000712046	0.000442378	0.00212099
d3_10	0.00737173	0.00118674	0.00215607	0.00246285	0.00222545	0.0016451	0.00261432	0.000764864	0.00165782	0.00112858	0.00112955	0.00142063	0.000898823	0.00139033	0.00118624	0.00121719	0.00118975	0.000984045	0.000493454	0.00137561
d3_11	0.00904828	0.00125441	0.001229	0.00132244	0.00189734	0.00101941	0.000885317	0.00104498	0.00204953	0.000486795	0.0012639	0.000799916	0.000707828	0.000915055	0.000766153	0.000609027	0.00103827	0.000745376	0.000917652	0.00145439
d3_12	0.00342994	0.00215719	0.00131718	0.000906465	0.0013358	0.00128269	0.00143086	0.00205451	0.00173408	0.000371678	0.000680881	0.000680766	0.000550447	0.000604306	0.000888739	0.000444975	0.000424198	0.000772213	0.000242399	0.00210281
d3_13	0.00412625	0.00129221	0.00106273	0.000651493	0.00119512	0.00146635	0.00105185	0.000570135	0.00154183	0.00230391	0.000744332	0.000298601	0.00124156	0.000812036	0.000500431	0.000309058	0.00010838	0.000572942	0.000924145	0.00162306
d3_14	0.00457926	0.00122274	0.00142484	0.00151784	0.00106466	0.000863945	0.000812004	0.00112401	0.00126304	0.00141544	0.000860082	0.000769274	0.000393898	0.00121199	0.00106655	0.00116957	0.00123277	0.000454498	0.000563577	0.00157559
d3_15	0.0042031	0.000809711	0.000846476	0.000421178	0.000870904	0.000745687	0.000314016	0.00167084	0.00114192	0.000802312	0.000887352	0.000310501	0.000268659	0.000633267	0.00126855	0.00119381	0.000857052	0.00107867	0.000302998	0.00142409
d3_16	0.00306885	0.00114434	0.00178903	0.00117642	0.000510624	0.000901059	0.000640434	0.0011618	0.000680303	0.000951415	0.000987775	0.00113529	0.000642356	0.000779716	0.000475008	0.000424198	0.000957475	0.000399958	0.000630237	0.00209069
d3_17	0.00206749	0.000579363	0.0008741	0.00123387	0.000949968	0.000932773	0.000980134	0.00097349	0.000800191	0.000730226	0.000702257	0.000269669	0.00208059	0.000896875	0.000484797	0.000242399	0.000593877	0.00101807	0.000787796	0.00239975
d3_18	0.00274271	0.000725674	0.000548155	0.000574696	0.00156862	0.000468415	0.00124069	0.000283862	0.000559537	0.000426218	0.000145439	0.000941315	0.000515097	0.00137215	0.000315118	0.000545397	0.000666596	0.00149378	0	0.00202403
d3_19	0.00232356	0.000525929	0.000670388	0.000133486	0.00073239	0.00106814	0.000558304	0.000435867	0.00111884	0.000766153	0.000316633	0.00185796	0.000461856	0.000484797	0.000818096	0.000412078	0.00127259	0.000181799	0.000939295	0.00185435
d3_20	0.00440121	0.00225583	0.00297678	0.000782768	0.00240695	0.00217553	0.00224649	0.0020557	0.00391532	0.00396149	0.00425296	0.00545556	0.00459892	0.00466574	0.00432015	0.00756962	0.00823549	0.00664432	0.00806726	0.0359018
