	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41
d3_0	0	0.0668724	0.0475064	0.0451284	0.0321643	0.0290579	0.0263794	0.0185793	0.016982	0.01332	0.0146781	0.0107041	0.00797614	0.00877373	0.00614575	0.00662887	0.00338083	0.00382539	0.00475492	0.00220221	0.00261456	0.00278565	0.00150088	0.0022752	0.000878471	0.000735528	0.0003552	0.00155659	0.000449835	0.000406243	0.000330718	8.34746e-05	2.78249e-05	0.000222599	2.78249e-05	0	0	0	0.000278249	8.34746e-05	0	0
d3_1	0.00634681	0.00252582	0.00293567	0.00250755	0.00292415	0.00194289	0.00331872	0.00208499	0.00180242	0.002782	0.00149013	0.00138672	0.00198575	0.000860084	0.000978072	0.000892909	0.00111933	0.000863954	0.00182425	0.00068621	0.000878806	0.0021488	0.000741532	0.000139124	0.000414193	0.000155819	0.000145087	0.000475408	0.000542585	0.000369673	0	0	0.000222599	6.35997e-05	0.000222599	0	0	0	0	0.000222599	0	0
d3_2	0.00592219	0.00203987	0.00221723	0.00231863	0.00170493	0.00231165	0.00158537	0.00205933	0.0020852	0.00102707	0.00216542	0.00154853	0.00110363	0.000677549	0.00167558	0.00105695	0.00151682	0.000617742	0.000629881	0.000878124	0.000316741	0.000599067	0.000175133	0.000862571	0.000177682	0.000194774	0.000194774	0.000769821	0.000277422	0.000353376	5.56497e-05	2.78249e-05	0.000222599	8.34746e-05	8.34746e-05	0.000445198	0	8.34746e-05	0	0	0	0
d3_3	0.00414396	0.00226811	0.00124451	0.00117481	0.00247974	0.00253472	0.00220494	0.00148587	0.00211175	0.00239222	0.00153254	0.000591748	0.000894117	0.000733744	0.000539173	0.00103711	0.00161558	0.00125582	0.00124004	0.000336235	0.000623795	0.000549607	0.000494752	0.000745309	0.000374034	0.000836733	0.00135189	0	0.000166949	0.000562062	0.000267119	0.000389548	0.000333898	5.56497e-05	4.17373e-05	0.000224454	0	2.78249e-05	0	5.56497e-05	0	0.000166949
d3_4	0.00346118	0.00147431	0.00165787	0.00193535	0.00145088	0.00139392	0.00151527	0.00209471	0.00153131	0.0017922	0.000938971	0.00151997	0.00106354	0.000889337	0.00101681	0.00121381	0.000968014	0.000856119	0.000402144	0.00147188	0.000588388	0.000761728	0.000285404	0.000163703	0.00114097	0.00042519	0.00116732	0.000606835	0.000333898	1.90799e-05	0	0.000350593	0.000709534	0.000267119	0.000445198	0.000111299	0.000166949	0.000166949	0	5.56497e-05	0.000166949	0
d3_5	0.00252863	0.00123787	0.00172848	0.00154282	0.00143251	0.00198289	0.00106805	0.00147347	0.00139025	0.000695655	0.00111973	0.00128504	0.00137098	0.00111692	0.000647355	0.00060713	0.000424635	0.0011446	0.00040133	0.00144093	0.000275172	0.000312036	0.000585117	0.000300508	0.000787199	0.000400931	0.000403063	0.000157674	0.000183644	0.000166949	0.000648319	0.000314023	0	0.000445198	0	0.000389548	0	0	0	0	0	0
d3_6	0.00261111	0.00172358	0.00168884	0.0015416	0.00105516	0.0016647	0.00150889	0.00118507	0.0015726	0.00132767	0.00107111	0.00168004	0.00119109	0.000919196	0.000885238	0.00120046	0.000296819	0.0010761	0.000423191	0.000470838	0.000624339	0.000374993	0.000851838	0.000327936	0.000333898	0.000211469	0.000794996	0.000573192	0.000617712	0.000361723	0.000656667	0.000194774	0.000414193	0.000389548	0.000166949	0	0.000166949	5.56497e-05	5.56497e-05	0.000166949	0	0.000389548
d3_7	0.00242597	0.00124144	0.00081699	0.00148703	0.00163198	0.00150359	0.000745328	0.0016353	0.000854628	0.00118887	0.000518852	0.00201836	0.000632669	0.00098908	0.00145475	0.00063163	0.0011273	0.000347907	0.00136244	0.00113579	0.00054768	0.00046164	0.000145087	0.000433679	0.000263694	0.000119249	0.000516217	0.000166949	0.000183644	0.000400678	0.000194774	0	0.000194774	0	0.000166949	0.000166949	0	0.000178079	0	0	5.56497e-05	0
d3_8	0.00148098	0.00134842	0.00126312	0.000686791	0.00159523	0.00167236	0.0017433	0.00115942	0.000697785	0.00214247	0.00152555	0.000653906	0.000691488	0.000350162	0.000642112	0.000745668	0.00115841	0.00055557	0.000761052	0.000358543	0.000446013	0.000672434	0.000508797	0.00131572	0.000612147	0.000445198	0.000397498	0.000333898	1.11299e-05	0.000573192	0.000675747	0	0.000222599	0.000250424	0.000166949	0.000500847	5.56497e-05	0.000166949	5.56497e-05	0.000166949	0	0
d3_9	0.00161094	0.00169766	0.000580144	0.000954211	0.000995494	0.000626062	0.000803257	0.000871782	0.000979859	0.00128182	0.000883885	0.00135532	0.000924896	0.00077988	0.00104674	0.0012163	0.00116034	0.000824229	0.000353347	0.00119131	0.000372608	0.00115433	0.000385772	0.000189209	0.000234656	0.000667797	1.11299e-05	0.000736961	0.000601017	5.56497e-05	0.000461893	0.000239294	0.000473023	0.000667797	0.000333898	5.56497e-05	0.000417373	5.56497e-05	0.000222599	0.000166949	0.000250424	0.000500847
d3_10	0.00163459	0.00054984	0.000345875	0.00102278	0.000590811	0.000831499	0.00109998	0.000360139	0.00148516	0.000739698	0.00145538	0.000378575	0.00102393	0.000617033	0.000723787	0.00150573	0.000467145	0.000739705	0.000992998	0.000614348	0.00072606	0.00058101	0.000450365	0.00074617	0.000606582	0.000183644	0.00144993	0.000312036	8.34746e-05	0.00054711	0.000100169	0.00102395	0.000144689	0.000222599	5.56497e-05	0.000389548	0	9.14245e-05	0.000211469	6.35997e-05	0.000100169	0.000445198
d3_11	0.00190331	0.000723715	0.0010563	0.000753896	0.00044228	0.000938664	0.000282703	0.000964022	0.00152343	0.00111958	0.000644204	0.000909263	0.000778105	0.000912274	0.00105266	0.000514967	0.000967199	0.000155289	0.000468518	0.000601977	0.00109908	0.000160457	0.0013507	0.00043314	0.00112373	0.00091822	0.00119925	0.000166949	0.000330718	0.000473023	0.000765184	0.00050363	0.000528672	5.56497e-05	0.000211469	0.000222599	0.000100169	0.000278249	0.000194774	0.000222599	0.000417373	0
d3_12	0.000565451	0.000314905	0.000839784	0.000434822	0.000858331	0.000356753	0.00145699	0.000810157	0.000582976	0.000635468	0.000137685	0.000844225	0.000698638	0.000505978	0.00101301	0.000431946	0.000853304	0.000950173	0.00159569	0.000907906	0.000782597	0.000235584	0.000294943	0.000589887	0.000480973	0.000573192	0.000500847	0.000100169	0	0.000341848	0.000306073	0.000700259	0.00121316	0.000333898	0.000517542	0.00104343	0.000639972	0.000434068	0	0.000166949	0.000333898	0
d3_13	0.000620143	0.000188609	0.000347527	0.000484439	0.000539417	0.000381309	0.000585521	0.000698849	0.000194556	0.0005043	0.000359359	0.000679574	0.000587489	0.00029152	0.000675218	0.000814519	0.000444403	0.000467327	0.00059453	0.000205348	0.000392848	0.000333256	0.000778554	0.000811844	0.000489718	0.00111856	0.000431285	0.000586177	0.000818051	0.000581142	0.000639972	0.000194774	0.000361723	0.000194774	0.000806921	0.000222599	0.000667797	0.000333898	0.000473023	0	0.000166949	0.000222599
d3_14	0.00127751	0.00052193	0.00059294	0.000310239	0.000204956	0.000420994	0.000373524	0.000830374	0.000916153	0.000718257	0.000605763	0.00109428	0.000856842	0.000946498	0.000653387	0.000981352	0.000317203	0.000800958	0.000268974	0.000710349	0.000377623	0.000378568	0.000464278	0.000372211	0.00092935	0.000517542	0.000904308	0.000400678	0.000964595	0.000620097	0.000389548	0.000626059	0.000473023	0.000445198	0.000306073	0.000333898	0.000222599	4.45198e-05	0.000545367	0.000294943	0.000389548	0.000166949
d3_15	0.000251174	0.000261553	0.000440175	0.000306939	0.000119308	0.000205629	0.000713136	0.000203399	0.000389548	0.000160135	0.000434055	0.000878529	0.000579685	0.000125212	0.000383586	0.000468915	0.000333898	0.000965523	0.000719471	0.000433155	0.000562845	0.000177152	0.00111856	0.000173454	0.000779096	0.000487718	0.000331369	1.05999e-05	0.000899809	0.000751271	0.000333898	0.000420155	0	0.000352978	0.000406243	0.000306073	0.000667797	0.000612147	0.000389548	0.000333898	0.000166949	0
d3_16	0.000475604	0.000558033	9.90222e-05	0.000275679	0.000575176	0.000834731	0.000110364	0.00114923	0.000987177	0.0011598	0.000832846	0.000222762	0.000371663	0.000819871	0.000574373	0.0017739	0.000737359	0.000862571	0.000161936	0.0002141	0.000669905	0.000322768	0.000740141	0.000225381	0.000264336	0.000714171	0.000476733	0.000250424	0.000250424	0.000166949	0.000806921	0.000283814	0.000723446	0.000639972	0.000851441	0.000239294	0.000528672	0	0.000769821	0.000278249	0	0.000500847
d3_17	0.000430378	0.000269557	0.000106324	0.000183299	1.70687e-05	0.000334742	0.000636372	0.000289205	0.000280467	0.000668989	0.000717359	0.000358344	0.000493101	0.000118737	0.000182108	0.00140322	0.000542711	0.000336039	0.000666201	0.00101128	0.000361723	0.000565772	0	0.000667797	0.000747561	0.00140237	0	0.000133559	0.000139124	0.000352448	0.000111299	0.000612147	0.000946045	0.000823616	0.000767966	0.000166949	0.000500847	0.000842696	0	0	0.000222599	0.000333898
d3_18	0.000175189	9.1047e-05	0.000243192	3.48325e-05	0.000233895	0.000483524	0.000671075	5.09822e-05	0.000183644	0.000317328	8.00515e-05	0.000380803	0.000250424	0.000265447	0.000948828	0.000179651	0.000250424	0.000237969	0.000708462	0.000341318	0.000284994	0.000304748	0.000397498	0.000283064	0	0.0010503	0.00046653	0.000771002	3.92078e-05	0.00088483	0.000647922	0.00100169	0.000389548	0.000709534	0.000333898	0.000222599	0.000166949	8.34746e-05	0.000667797	0.000389548	0.000166949	0.000584322
d3_19	0.000145395	3.4699e-05	0.000279728	6.15803e-06	0.0001075	0.000176112	1.05476e-05	0.000321951	0.000146333	0.000463151	2.61305e-05	0.000334907	0.00059044	0.000678782	0.000484153	0.000296798	0.000146544	0.000358543	0.000108517	0.00117353	0.00163425	0.000703041	0.000389548	0.00136342	0.000473023	0.000617712	0.000330718	0.000575047	0.000333898	0.00100726	0.000639972	0.000166949	0.00108517	0.00090709	0.000667797	0.00159158	0.000701186	0.000834746	0.000612147	0.000389548	0.000333898	0.000389548
d3_20	3.18358e-05	2.24157e-05	0.000103946	0.000395566	0.000161161	0.000129549	2.14319e-05	0.00016029	0.000370534	0.000301404	0.000115226	0.000497876	0.000440002	0.000686347	0.00141761	0.000520873	0.000737491	0.000654944	0.00223992	0.00176157	0.00231727	0.00144318	0.00109259	0.00220293	0.00225249	0.000495282	0.00237624	0.00148823	0.00257102	0.00260441	0.00233704	0.00422938	0.00313308	0.00339145	0.00287948	0.00476362	0.0044798	0.00417373	0.00587105	0.00422938	0.00609364	0.0154873
