	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41
d3_0	0	0.0594826	0.0312483	0.016485	0.0116833	0.00514053	0.00318331	0.00106431	0.00113556	0.000404755	0.000256526	0.000386395	2.69228e-05	0	0	0	1.2758e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_1	0.0303397	0.0319612	0.0265469	0.0213433	0.0152348	0.0111872	0.00803391	0.0067215	0.00313004	0.00228858	0.00136083	0.000491162	0.000482594	0.000393268	0.000821027	1.32305e-05	4.13453e-05	4.13453e-06	0	3.96915e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_2	0.00718022	0.0133975	0.0149597	0.0156124	0.0140361	0.0128581	0.0112524	0.00645424	0.00528553	0.00503857	0.00289983	0.00173642	0.00190093	0.000684434	0.000468726	0.000222982	3.20238e-05	0.000286582	9.92287e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_3	0.00138587	0.00443921	0.00531424	0.00713428	0.00801033	0.00936191	0.00873742	0.00674228	0.00558542	0.00424191	0.0052215	0.00322647	0.00234548	0.00273018	0.00111707	0.000404371	0.000691984	0.000520478	9.66191e-05	7.44215e-05	8.8597e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_4	0.000581789	0.00132481	0.00342758	0.00390585	0.00557108	0.00635062	0.00557706	0.00810632	0.00555903	0.00627956	0.00523948	0.0056933	0.00328158	0.0025581	0.00148269	0.00224944	0.0015117	0.000658317	0.000464103	0.000344465	0.000326843	0.000248072	5.64658e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_5	8.41225e-05	0.000359668	0.000623782	0.0019437	0.00265491	0.0044258	0.00455189	0.00404984	0.00619438	0.00553895	0.00658592	0.00480014	0.00565806	0.00341872	0.00223174	0.00236944	0.00286576	0.000601861	0.00101488	0.000467439	0.00100872	0.000543503	0.000223265	0.000155931	9.92287e-05	3.96915e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_6	4.30069e-05	6.67986e-05	0.00026863	0.000728483	0.00112186	0.00201053	0.00246613	0.00203337	0.00256068	0.00413553	0.00370309	0.00375371	0.00341879	0.00456496	0.00356342	0.00283148	0.00185267	0.00185123	0.00074574	0.000855834	0.000776819	0.000616546	0.000754009	0.000101935	0.000570565	0.000223265	0.000148843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_7	0	1.27189e-05	0.000336481	0.000308438	0.00080863	0.000765212	0.000888382	0.00169777	0.00234504	0.0020248	0.00203557	0.00310144	0.0033203	0.00317742	0.00333101	0.00348853	0.00178951	0.000938177	0.00202393	0.00233223	0.00129459	0.00234262	0.000620415	0.000854419	0.000446529	0	1.70106e-05	0.000198457	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_8	0	0	9.24485e-06	8.26906e-06	0.00012703	0.000305063	0.000371934	0.000696235	0.000958438	0.00157705	0.00138322	0.00128277	0.00204246	0.00261202	0.00257373	0.00245132	0.00377293	0.00203766	0.00272489	0.00194676	0.00166019	0.00214771	0.00131443	0.00161625	0.000599979	0.00014589	0.000652074	0.000396915	9.92287e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_9	0	0	0	1.70106e-05	1.43118e-05	0.000301367	0.000128954	0.00035997	0.000617847	0.00127064	0.00100692	0.00110318	0.0022627	0.00192529	0.00213067	0.00188792	0.00261204	0.00237705	0.00239889	0.00286699	0.00183456	0.00209656	0.000948106	0.00180029	0.00113534	0.00179817	0.000808714	0.000823598	0.000620179	0.000486221	0.000262956	0.000362185	0	0	0	0	0	0	0	0	0	0
