	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d3_0	0	0.0568191	0.0444114	0.0324762	0.029412	0.0263724	0.0215073	0.0185609	0.0162787	0.0136374	0.0128949	0.0115152	0.00858128	0.00662561	0.00372806	0.00432962	0.00298567	0.00189918	0.00152875	0.00262701
d3_1	0.0193497	0.00270617	0.00201487	0.00186329	0.00237068	0.00259601	0.00170739	0.00245329	0.00193003	0.0015391	0.000643278	0.000646901	0.0010866	0.000810957	0.000763905	0.000238368	0.000805457	0.000552135	0.000354824	0.0013008
d3_2	0.0173161	0.00195648	0.00248936	0.00163631	0.00165665	0.00103728	0.000805278	0.00180657	0.00094693	0.00145054	0.00106487	0.000961725	0.000886404	0.000857277	0.000904912	1.87316e-05	0.000864016	0.000596139	0.000910562	0.00040585
d3_3	0.0157956	0.00222197	0.00247471	0.00255391	0.00215025	0.00090753	0.0015795	0.00137205	0.00140364	0.00107682	0.00148173	0.000901991	0.00130138	0.000956954	0.000797488	0.000462775	0.00168435	0.00115511	0.000564677	0.00158861
d3_4	0.013426	0.00276224	0.00260638	0.0017503	0.000985737	0.00175377	0.00102665	0.00156476	0.00129063	0.00063451	0.000644564	0.000680405	0.000534295	0.000836068	0.00122497	0.00130318	0.000450003	0.000684742	0.000176909	0.00043707
d3_5	0.0127805	0.00169865	0.00183869	0.00312335	0.00200556	0.00220717	0.00181915	0.00205084	0.000766309	0.00100065	0.00142193	0.000882316	0.000800583	0.00118549	0.000646685	0.000920968	0.000594206	0.00113861	0.00110992	0.000892871
d3_6	0.0144856	0.00158696	0.00101257	0.00126526	0.00153597	0.00144055	0.00115828	0.00098723	0.00132141	0.00128234	0.00115437	0.000618276	0.00108772	0.00108138	0.00117384	0.000605208	0.000619702	0.00125814	0.000789401	0.000945497
d3_7	0.0102963	0.00175584	0.00213598	0.00125593	0.000941191	0.00122885	0.00161627	0.00131177	0.00206483	0.000839514	0.00115468	0.00109171	0.000363481	0.000217643	0.000964067	0.000705555	0.000719878	0.00140578	0.00108019	0.00193559
d3_8	0.0100637	0.00228102	0.00157315	0.0010765	0.000251207	0.00158586	0.000739826	0.00250475	0.00084588	0.00132626	0.0023546	0.000694628	0.000865094	0.000680134	0.000593166	0.000277851	0.000408972	0.000481668	0.00051101	0.00108019
d3_9	0.0105402	0.00298484	0.00145736	0.00156092	0.00127758	0.000850181	0.000346197	0.0015292	0.000969247	0.00140136	0.00128038	0.000907802	0.00131605	0.00103811	0.000777359	0.00082031	0.000415937	0.000801331	0.000200123	0.00185783
d3_10	0.00589163	0.00166982	0.00148027	0.00203808	0.000875971	0.0011832	0.000265972	0.00147063	0.000840263	0.00142279	0.00103096	0.000718043	0.00116875	0.000177504	0.00114291	0.000462045	0.00131361	0.000624385	0.000770075	0.000549459
d3_11	0.00816602	0.000988032	0.000957766	0.000891271	0.00137097	0.000768439	0.00105243	0.00126436	0.00118517	0.00162424	0.00159946	0.00110818	0.00116451	0.000248335	0.000713211	0.000711515	0.000499508	0.00047037	0.00132013	0.00224734
d3_12	0.0059534	0.00167209	0.000855819	0.000729037	0.000569751	0.000802335	0.000844156	0.000947395	0.000312193	0.00172843	0.00107527	0.00098523	0.00159218	0.000308625	0.000883059	0.000102578	0.000633305	0.000905358	0.000920248	0.00149852
d3_13	0.00649941	0.00239739	0.00144155	0.000737838	0.00124902	0.00117306	0.000372209	0.000527765	0.0010678	0.000910116	0.00125009	0.00152791	0.0011172	0.000660064	0.0011027	0.000991211	0.000664524	0.000831324	0.000874139	0.00131121
d3_14	0.00492569	0.00138991	0.00178651	0.00102949	0.000905999	0.00127381	0.00128701	0.00100662	0.000644678	0.000620584	0.00163127	0.000918441	0.000536788	0.000839798	0.000468289	0.000779589	0.000530727	0.000530727	0.000674336	0.00307822
d3_15	0.00415568	0.00143549	0.00120123	0.000980621	0.00116275	0.00159756	0.00115058	0.000999597	0.00160325	0.000908044	0.00100387	0.000549459	0.00168852	0.00106502	0.000686824	0.00179216	0.00116119	0.000621263	0.000280973	0.00149852
d3_16	0.00282622	0.00027586	0.000536525	0.000557027	0.00127089	0.00145327	0.000608179	0.000795461	0.0004417	0.000668092	0.000301786	0.000748871	0.00128964	0.000875774	0.00118484	0.000330924	0.00124234	0.00107394	0.00125918	0.00132682
d3_17	0.00482857	0.000934431	0.00122087	0.00209034	0.000407522	0.00108622	0.0015085	0.00158093	0.00101333	0.000830432	0.000362143	0.000927658	0.000261647	0.00064936	0.000749262	0.00134243	0.000999016	0.000974041	0.000423541	0.00134243
d3_18	0.00218097	0.00160054	0.00101906	0.000796537	0.000306232	0.00115681	0.00024351	0.000952471	0.000573448	0.000714475	0.000758182	0.000633305	0.00112858	0.000268486	0.000858813	0.000517348	0.0003336	0.000424582	0.000499508	0.00198416
d3_19	0.00297818	0.000750923	0.000253099	0.000876518	0.000452589	0.000496706	0.000817944	0.00117221	0.000580678	0.000416554	0.000922658	0.00148812	0.00164525	0.000549459	0.00101775	0.00108671	0.000312193	0.000549459	0.00118633	0.00251627
d3_20	0.0051266	0.00137008	0.00167147	0.00165542	0.00195691	0.00215548	0.00331175	0.00312637	0.00501604	0.00410845	0.00461858	0.00395859	0.00382034	0.00408422	0.00432907	0.00550172	0.00542799	0.00723662	0.00967172	0.0407505
