	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d2_0	0	0.0173033	0.0127101	0.0104843	0.00693121	0.00622333	0.00530766	0.0039058	0.00324695	0.00190713	0.00233651	0.00112684	0.000810656	0.00116721	0.000134907	0.000355417	0.00022717	0.00030524	0.000278948	8.21253e-05
d2_1	0.0838903	0.00408973	0.00343316	0.00254199	0.00253872	0.00204706	0.001036	0.00158984	0.00124913	0.000581469	0.000357775	0.000502544	0.000420629	0.000159191	0.000136021	0.000288094	0.000221164	0.000132512	9.14329e-05	0
d2_2	0.0626288	0.00540275	0.00410707	0.00231678	0.00205047	0.00272844	0.00263557	0.00121132	0.00117884	0.000707285	0.000928922	0.000982346	0.000622013	0.000503494	0.000427981	0.000176485	0.000306411	0.000109052	5.19419e-06	0.000144541
d2_3	0.0467828	0.0043936	0.00294687	0.00207907	0.00219506	0.00220103	0.00106601	0.00120559	0.000717953	0.000644239	0.00086903	0.000584443	0.000748668	0.000189851	0.000388046	0.000279271	0.000302934	0	0.000296485	0.00026593
d2_4	0.0376251	0.00349169	0.0037741	0.00207571	0.00167936	0.00169012	0.00188336	0.00120416	0.000713582	0.00100326	0.000871646	0.00126505	0.000526972	0.000436078	0.000249854	0.000130931	0.000395118	0.000204445	4.3731e-05	0.000183961
d2_5	0.0311764	0.00312967	0.00249575	0.00145396	0.00171145	0.00153817	0.00152064	0.00156615	0.00130094	0.000655541	0.00115316	0.000578812	0.00045373	0.000361253	0.000312012	0.000338456	0.000159871	4.00174e-05	0.000134905	0.000212212
d2_6	0.0243912	0.00295982	0.00301424	0.0015937	0.00157482	0.00133855	0.00113314	0.0014576	0.00161413	0.00139368	0.00135863	0.000802296	0.000934494	0.000443624	0.000108193	0.00012758	0.000283049	2.00554e-05	5.44993e-05	0.000402414
d2_7	0.020078	0.00256043	0.00247262	0.00183907	0.00182705	0.00100716	0.00110301	0.00141146	0.00152975	0.000993701	0.00141262	0.000612591	0.000760281	0.000336147	0.000521124	0.000409467	3.01126e-05	5.29982e-05	0.000105777	0
d2_8	0.0142775	0.00302893	0.00138559	0.00169375	0.00119383	0.00122186	0.000826488	0.00117416	0.000861974	0.000412413	0.00123273	0.000775613	0.000226984	0.000977118	0.000225899	0.000390862	0.000214511	0.000294009	1.64251e-05	5.25602e-05
d2_9	0.0118147	0.00249222	0.00176644	0.00100497	0.00104766	0.00142976	0.00132356	0.00122952	0.000809898	0.00108624	0.00192596	0.000675934	0.000715647	0.000695908	0.000400241	0.000393654	0.000633186	0.00014182	4.62092e-05	0.000282511
