	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d1_0	0	0.126824	0.0717399	0.0370058	0.0230291	0.0124312	0.00645727	0.00510654	0.00516751	0.00219052	0.00116663	0.000642338	0.000594757	6.715e-05	0	0	0	0	0
d1_1	0.0133776	0.014546	0.0122883	0.00889077	0.00886813	0.0060465	0.00361293	0.0042909	0.00265553	0.00090776	0.00092385	0.000461962	0.000429376	0.00014773	0.000906589	0.00016116	0	0	0
d1_2	0.0106246	0.010482	0.00852606	0.00858504	0.00775111	0.00506978	0.0036267	0.00210487	0.00206907	0.00237042	0.00073008	0.00114768	0.00029546	0.000473631	0	2.686e-05	0.00016116	0	0
d1_3	0.00573866	0.00796752	0.00709792	0.00586888	0.00460659	0.00405916	0.00536769	0.00409032	0.00212867	0.00190309	0.00120627	0.000790599	0.000650907	0.000650012	0.000232787	7.5208e-05	0	0	0
d1_4	0.00445215	0.00565443	0.0057757	0.00630291	0.00495986	0.00486948	0.00364782	0.00350245	0.00151904	0.00163653	0.00170892	0.000780731	0.00031925	0.000392156	9.6696e-05	8.058e-05	0	0	0
d1_5	0.00427973	0.00616322	0.00621189	0.00459537	0.00347113	0.0037274	0.0037911	0.00230821	0.00297733	0.00317031	0.00135002	0.000492178	0.000766747	0.000926286	0.0010744	2.686e-05	0.00037604	0	0
d1_6	0.00282313	0.00417444	0.00528302	0.00295922	0.00408976	0.00494263	0.00354345	0.00181862	0.00126988	0.00111373	0.00141729	0.00137653	0.000692988	0.00091631	0.00042976	0.0004029	8.058e-05	0.00016116	0.00016116
d1_7	0.00341658	0.00325035	0.00372389	0.00444069	0.00449312	0.0031979	0.00210923	0.0023944	0.00363671	0.00189566	0.00175831	0.00191174	0.00163968	0.00158474	0.00107977	0.00075208	0	0	0
d1_8	0.00248133	0.00340952	0.0038212	0.00337935	0.00393034	0.00226008	0.0027242	0.00246889	0.0019108	0.00219551	0.00154423	0.00105416	0.000989855	0.000875636	0.00139941	0.0002686	0	0.00064464	0
d1_9	0.00100632	0.0014529	0.00276256	0.00286943	0.00283742	0.00102742	0.00314866	0.00209661	0.00246947	0.00168591	0.00241382	0.00258739	0.00135912	0.00177813	0.0014397	0.00099382	0.00032232	0.0004029	0.00016116
d1_10	0.0009017	0.00145557	0.0019879	0.00308049	0.0034455	0.00368767	0.00243384	0.0042337	0.00243444	0.00176777	0.00181641	0.00116769	0.00185334	0.000488852	0.00115498	0.00069836	0.00056406	0	8.058e-05
d1_11	0.000376491	0.00158485	0.000866135	0.00144352	0.00223732	0.00204668	0.00117679	0.00223852	0.00179113	0.00189424	0.00177224	0.00197714	0.00176432	0.00119987	0.00183185	0.0018426	0.00085952	0.000437434	0.00059092
d1_12	0.000507501	0.00100552	0.000788623	0.00190387	0.00245545	0.00329383	0.00176344	0.00220387	0.00192585	0.00159804	0.00304963	0.000958007	0.0010767	0.000786614	0.00150953	0.00140439	0.00064464	0.00037604	0.00048348
d1_13	0.00081523	0.000651156	0.000642019	0.00132574	0.000939591	0.00170039	0.00121434	0.00135959	0.00103399	0.00133715	0.00128631	0.00111431	0.00127009	0.00195004	0.00096696	0.000799661	0.00118184	0.00069836	0.00037604
d1_14	6.34317e-05	0.000204872	0.000904873	0.000509881	0.00159693	0.00132427	0.00144604	0.000486294	0.00116365	0.00319685	0.00170854	0.00135488	0.00151183	0.00139941	0.000607036	0.000961588	0.00166532	0.00083266	0.00032232
d1_15	0.000147624	0.000170976	0.000339753	0.000407983	0.000631433	0.00122542	0.000735625	0.00115219	0.00213187	0.000955053	0.00124016	0.00232032	0.00165496	0.00202524	0.00159448	0.00171328	0.00096696	0.000633896	0
d1_16	2.3739e-07	0.000292292	0.000168641	0.000302479	0.000534731	0.000951785	0.000807689	0.00118037	0.000937038	0.00151835	0.00108514	0.00231265	0.00241857	0.000891752	0.00112505	0.00207359	0.00112812	0.0012087	0.00056406
d1_17	1.17724e-08	2.3711e-06	0.000459124	0.000123684	0.000302989	0.00076858	0.000845451	0.000771777	0.000826776	0.00170618	0.00132292	0.00161927	0.00143495	0.00215647	0.00267526	0.00198764	0.00114424	0.00179962	0.00088638
d1_18	7.52876e-06	0.000165742	7.2522e-05	0.000369931	0.000619439	0.000143778	0.000661126	0.00037847	0.00127025	0.000462248	0.00115677	0.00231712	0.00139365	0.00227338	0.00244426	0.00195541	0.00206822	0.00260542	0.00123556
d1_19	0	0	3.45343e-05	0	6.13943e-05	3.64102e-05	0.000531828	0.00033575	0.000611513	0.00205503	0.00236661	0.00214036	0.0014585	0.0027653	0.00517861	0.00565672	0.0106066	0.0114692	0.015928
