	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d3_0	0	0.227889	0.103937	0.0577198	0.0355812	0.0234712	0.0148252	0.013464	0.00710707	0.00579276	0.00289366	0.0026047	0.00181755	0.00137697	0.00103127	0.000339235	8.14164e-05	0.000135694	0.000180925
d3_1	0.0131685	0.0043233	0.00435133	0.00299241	0.00291347	0.00186238	0.00152267	0.00160655	0.00174857	0.000885457	0.00034462	0.000413544	0.000924658	0.000361851	4.97545e-05	0.000248772	4.52313e-05	0	0
d3_2	0.00518638	0.00462737	0.00357126	0.00244886	0.00297352	0.00203003	0.00145917	0.00175732	0.00130255	0.000974843	0.000883519	0.000669424	0.00037542	0.000565392	0.000226157	0.000429698	0	0.000135694	0
d3_3	0.00390181	0.00349983	0.00383044	0.00278431	0.00193761	0.00256904	0.00279393	0.00258409	0.00127692	0.000431959	0.00087975	0.000398036	0.000588007	0.000214849	0.00038899	0.00015831	4.52313e-05	4.52313e-05	0
d3_4	0.00385161	0.00252303	0.00294047	0.0024462	0.00228723	0.0027976	0.00130121	0.0010221	0.0016407	0.000803826	0.000693978	0.00110364	0.00125743	0.000180925	0.000384466	2.26157e-05	0.000361851	0.000271388	0
d3_5	0.00443552	0.00371858	0.00270847	0.00334422	0.00215293	0.00224222	0.00162263	0.00147251	0.00146587	0.00167926	0.000858874	0.00110817	0.000683972	0.000565392	5.44832e-05	0.000113078	0.000135694	0	0.000135694
d3_6	0.00298724	0.00255892	0.00315409	0.00265319	0.00185915	0.0024303	0.00149321	0.000930689	0.000889136	0.00137546	0.0013396	0.000588007	0.000701086	0.000390928	0.000294004	0.000113078	0.000407082	0.000135694	0
d3_7	0.00345737	0.00228031	0.00230968	0.00215107	0.00153657	0.00143115	0.00120005	0.00170526	0.00130945	0.00102696	0.00121898	0.000441006	0.000827734	0.000361851	0.000339235	0.000633239	8.14164e-05	0	0.000135694
d3_8	0.00267186	0.00293701	0.00203908	0.00212449	0.00182593	0.00197586	0.00178254	0.0012206	0.00112034	0.00167636	0.000845826	0.00162154	0.000479452	0.00109912	0.000398036	0.000180925	0.000316619	0.000316619	0
d3_9	0.00209199	0.00221252	0.00199832	0.00176649	0.00141937	0.00157743	0.000940648	0.00114906	0.000776902	0.000755902	0.000456837	0.000591131	0.000667162	0.000502068	0.000352804	0.000578961	0.000135694	4.52313e-05	0.000271388
d3_10	0.00238336	0.0025465	0.00209929	0.0016652	0.00181612	0.00119618	0.0011174	0.000850878	0.00168092	0.0014327	0.00120909	0.000809318	0.000805118	0.000594469	0.000565392	0.000316619	0.000768933	0.000746317	0.000271388
d3_11	0.00182128	0.0010153	0.00113388	0.00190632	0.00115892	0.00118888	0.00144478	0.00115491	0.00075504	0.000663608	0.000587684	0.000542776	0.000488499	0.000316619	0.000226157	0.000452313	0.000271388	0.000135694	0.000135694
d3_12	0.00128082	0.0016984	0.00148472	0.00163326	0.00119735	0.00181197	0.00130167	0.00130632	0.00125862	0.00150362	0.000771194	0.000895581	0.00143125	0.00090915	0.000226157	0.000407082	0.000407082	0.000407082	0
d3_13	0.0011903	0.000972689	0.00139987	0.00143793	0.000800529	0.00109814	0.00152323	0.000781102	0.001435	0.00115566	0.00123762	0.00151073	0.000404497	0.000384466	0.000305312	0.000655855	0.000565392	0.000180925	0.000135694
d3_14	0.000946892	0.000935148	0.00129963	0.000581119	0.0008199	0.00126984	0.0010968	0.00153017	0.0014543	0.00101889	0.000795426	0.000615146	0.00083678	0.00128005	0.00037542	0.000135694	0.000859396	4.52313e-05	0.000135694
d3_15	0.0012858	0.000798202	0.00117715	0.000892933	0.0007309	0.00147274	0.00111377	0.00168024	0.00121696	0.00123869	0.000734686	0.00109707	0.000714655	0.000723702	0.000768933	0.000859396	0.000497545	0.000588007	0.000271388
d3_16	0.000638324	0.00107304	0.00109814	0.000405125	0.00106491	0.000477109	0.00178469	0.00140982	0.0011646	0.000596731	0.00115986	0.000633239	0.000633239	0.00135694	0.00067847	0.000488499	0.00067847	0.000135694	0
d3_17	0.000418485	0.000462098	0.000554936	0.000661568	0.000791744	0.000813848	0.00119123	0.000597054	0.000933597	0.00075461	0.000813841	0.00155144	0.00179568	0.00110817	0.000407082	0.000805118	0.00099509	0.000271388	0
d3_18	0.00070352	0.000729984	0.000311982	0.000921475	0.000565482	0.000792346	0.000597259	0.00125484	0.000793056	0.00075504	0.00101964	0.000467821	0.000843242	0.000814164	0.000805118	0.000465883	0	0.000588007	0.000452313
d3_19	0.000293452	0.000396758	0.000378049	0.000476898	0.000455418	0.000625971	0.00104519	0.000693214	0.000434221	0.000886534	0.00145796	0.000940812	0.000542776	0.000669424	0.000588007	0.000497545	0.00052016	0.000271388	0.000135694
d3_20	0.00101954	0.000978205	0.000546561	0.00114329	0.00201265	0.00237014	0.00215431	0.00324415	0.00321713	0.00584486	0.00519191	0.0070367	0.00497739	0.00825472	0.00835617	0.0107696	0.011344	0.0108917	0.00676209
