	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d2_0	0	0.176471	0.0659713	0.0288132	0.0158909	0.00850858	0.00396812	0.00201257	0.000906829	0.000403322	3.6332e-05	8.62116e-06	0	0	1.29317e-05	0	0	0	0
d2_1	0.0187684	0.0121631	0.00835329	0.00575547	0.00394605	0.00221062	0.00247015	0.00134977	0.000783499	0.000608305	0.000417511	8.84222e-06	6.46587e-05	0	0.000120696	1.29317e-05	0	0	0
d2_2	0.0153004	0.00914881	0.00680224	0.00624373	0.00366914	0.00264881	0.00150839	0.00127636	0.000253298	0.000250014	0.000154808	0.000193976	0	0	0	0	0	0	0
d2_3	0.0112018	0.00853013	0.00742028	0.0051434	0.00308475	0.0021012	0.00116982	0.0011547	0.00113136	0.000497872	0.000305333	3.44846e-05	0.000129317	5.1727e-05	0	0	0.000172423	0	0
d2_4	0.00947346	0.00679556	0.00402191	0.00339346	0.00303947	0.00243053	0.00199267	0.00199726	0.000770404	0.000486788	0.00021984	0.000359215	0.000571152	0	0	0	0	0	0
d2_5	0.00804431	0.00653883	0.00531062	0.003363	0.00409527	0.00262786	0.00133356	0.000870616	0.00136717	0.000928212	0.000398421	6.60956e-05	0	0	0	6.46587e-05	0	0	0
d2_6	0.00627554	0.00559692	0.0049467	0.00461295	0.00261838	0.0023882	0.00240084	0.00254833	0.000745507	0.00101577	0.000417818	0.000314672	0.000417716	0.000178581	0.000202597	0.000129317	0	0	0
d2_7	0.00476516	0.00423953	0.0043964	0.00318371	0.00271803	0.00228625	0.00139838	0.00196596	0.00129984	0.000756815	0.000394931	0.000353776	0.000286346	0.000172423	5.60376e-05	4.31058e-05	0	0	0
d2_8	0.00410359	0.00472426	0.00344825	0.00267348	0.00188586	0.0017847	0.00170539	0.00114493	0.000879957	0.000682191	0.000182394	0.000739265	0.000644124	0.000129317	0	0	0.000206908	0	0
d2_9	0.00321233	0.00335194	0.00276583	0.00325354	0.00164912	0.00153698	0.0018107	0.00132386	0.00146868	0.000863861	0.00045355	0.000407042	0.000633152	0.000379331	0.000289005	0	0.000301741	0	0
d2_10	0.0021697	0.00234211	0.00197881	0.00182284	0.00254634	0.00212756	0.00165898	0.00200575	0.000976757	0.00101473	0.000149844	0.000120696	0.0004483	0.000237082	0.000172423	0	0.000172423	0	0
d2_11	0.00222424	0.00278805	0.00204645	0.00272892	0.00152563	0.00178842	0.000864108	0.00153364	0.000971112	0.000605637	0.000349157	6.92772e-05	8.62116e-05	0	0	0	0	0	0
d2_12	0.00159165	0.00177689	0.00167097	0.00225583	0.00147341	0.00140738	0.00114645	0.0015018	0.0013879	0.00102284	0.000927801	0.000538823	4.31058e-05	0	0	0	0.000129317	0	0
d2_13	0.00148819	0.00153987	0.00293065	0.00155359	0.000970505	0.00115478	0.00111715	0.000590944	0.000871251	0.000310172	0.000971728	0.000116386	0.000120696	0.000458769	0	1.29317e-05	0	0	0
d2_14	0.0012682	0.00150407	0.00118907	0.00173356	0.000793914	0.0016579	0.000781232	0.00103926	0.000662399	0.000931188	0.000451585	0.000280188	0.000344846	0	0.000271567	0.000129317	0	0	0
d2_15	0.00140355	0.00083553	0.00158227	0.000886405	0.0010759	0.000973228	0.000761359	0.00210758	0.000421616	0.000941143	0.000385489	0.000288809	0.000910969	0.000409505	6.46587e-05	0.000344846	4.31058e-05	0	0
d2_16	0.000949413	0.000841128	0.00120404	0.0010971	0.00108542	0.00128385	0.00121378	0.00160513	0.00200277	0.00150655	0.000452611	0.000372557	0.000689693	0.000301741	0.000187202	4.31058e-05	0	0	0
d2_17	0.000805579	0.000684984	0.00119013	0.000626855	0.00119148	0.00171135	0.000691264	0.00120049	0.00094802	0.000748912	0.000454458	0.000349157	0.000737109	0.000551754	8.62116e-06	0.000258635	0	0.000129317	0
d2_18	0.000616188	0.000703515	0.000586669	0.00105842	0.000882722	0.00141256	0.000490277	0.00123827	0.00100785	0.000337765	0.00107765	0.00074573	0.000314672	0.000280188	0.000355623	0.000366399	5.60376e-05	0	0
d2_19	0.000756678	0.000801173	0.00107164	0.000896068	0.000841171	0.00104049	0.00138844	0.000525779	0.000503927	0.000652196	0.000848466	0.000528046	0.00039411	6.46587e-05	0.000323294	4.31058e-05	0	0	0
d2_20	0.000758773	0.000362861	0.00112807	0.000981942	0.000866001	0.0012992	0.000663861	0.000546921	0.000641359	0.000993692	0.000840153	0.000926775	0.000793147	0.000738957	0.000392263	0.000625034	0.000129317	0.000129317	0
d2_21	0.000458448	0.000837309	0.000821084	0.000854779	0.000702158	0.00133504	0.00120671	0.00154686	0.00114097	0.000989278	0.00045374	0.000478782	0.000202597	0.000650898	0.000172423	0.000193976	0.000258635	4.31058e-05	0
d2_22	0.000381054	0.000518566	0.000359375	0.000450002	0.000820087	0.000324494	0.000814604	0.000784936	0.00127654	0.000775597	0.000754352	0.00016996	0.000810389	0.000431058	0.000327604	0.000387952	0.000258635	0.000129317	0.000129317
d2_23	0.00036864	0.000460798	0.00031098	0.000523667	0.000904562	0.000588085	0.000539326	0.000946564	0.000775597	0.000395958	0.000458769	0.000702625	0.000191513	0.000775905	0.000258635	0.000193976	4.31058e-05	0	0
d2_24	0.000210537	0.000637137	0.00019883	0.000759433	0.000524833	0.000426083	0.00097895	0.000568499	0.00042448	0.000901107	0.000664137	0.000952023	0.000228461	0.00102592	0.000573307	2.15529e-05	0.000301741	0	0
d2_25	0.000225688	0.000226199	0.000556305	0.000311301	0.000650077	0.000639241	0.00123189	0.000564276	0.000575668	0.00102499	0.00113769	0.000962696	0.000581928	0.000754352	0.000172423	2.15529e-05	0.000301741	0	0.000129317
d2_26	0.000134872	0.000198919	0.000420958	0.000643196	0.000187671	0.000862092	0.000766565	0.000332419	0.000317546	0.00102807	5.54218e-05	0.000932933	0.000351004	0.000508649	0.000357778	0.000357778	0.000258635	0	0.000172423
