	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d2_0	0	0.0333888	0.00697951	0.00135635	0.000200111	0.000294362	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0760691	0.0323998	0.0120242	0.00359732	0.000934725	0.000208167	0.000127585	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0358041	0.0288281	0.0136328	0.00702835	0.00224411	0.000672609	0.000104912	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0178566	0.0224661	0.014472	0.00605491	0.00353418	0.00163498	9.61777e-05	0.000132774	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.010792	0.017354	0.0149402	0.00913411	0.00460549	0.0014705	0.00069917	0.000545939	0.000161883	0	0	0	0	0	0	0	0	0	0
d2_5	0.00705995	0.0124866	0.0117952	0.0084277	0.00461221	0.00276952	0.000887083	0.000949491	1.97164e-05	0	0	0	0	0	0	0	0	0	0
d2_6	0.00393256	0.00828346	0.0115079	0.00730908	0.007222	0.00372383	0.00174297	0.000743865	0.000387776	2.12915e-05	0	0	0	0	0	0	0	0	0
d2_7	0.00224034	0.00505186	0.00757279	0.00799035	0.00570745	0.00416052	0.00133682	0.0011751	0.000749394	0.000177484	2.91166e-06	0	0	0	0	0	0	0	0
d2_8	0.00074849	0.00330975	0.00661447	0.00717177	0.0074005	0.00473555	0.00311976	0.00107093	0.000772996	0.000176302	0.000335386	3.25568e-05	2.36572e-05	0	0	0	0	0	0
d2_9	0.000630721	0.00242373	0.00518895	0.00663556	0.00526589	0.00472538	0.00327265	0.00172786	0.0010668	0.000451741	8.51659e-05	3.78515e-05	1.41943e-05	0	0	0	0	0	0
d2_10	0.00018654	0.00200873	0.00417073	0.00467445	0.00500927	0.00394219	0.00292368	0.00257313	0.00183709	0.00127404	8.67431e-05	2.45726e-05	0.000227109	0	0	0	0	0	0
d2_11	0.000432936	0.000762444	0.00310839	0.00434524	0.00554976	0.00384364	0.00336365	0.00227428	0.00168133	0.000952381	0.000777871	0.000126172	0.000333021	0	9.27733e-07	0	0	0	0
d2_12	0.000199109	0.000955532	0.00212949	0.00231879	0.00419781	0.00533309	0.0039755	0.00235451	0.00157501	0.00152408	0.00054005	4.88915e-05	2.36572e-05	0	0	0	0	0	0
d2_13	4.8103e-05	0.000100967	0.000536656	0.0018623	0.00326872	0.00326387	0.0035885	0.0024481	0.00199296	0.00176006	0.000551612	0.00017236	0.000189258	2.36572e-05	0	0	0	0	0
d2_14	0.000230263	0.000136291	0.00108499	0.00264576	0.00328293	0.0034746	0.00478121	0.00227875	0.0023757	0.00147374	0.000967241	0.000496801	9.46288e-05	0.000141943	0	2.36572e-05	0	0	0
d2_15	6.96157e-05	0.000244785	0.000498957	0.000980439	0.00196962	0.00271098	0.00262028	0.00328289	0.00196635	0.00202401	0.00124358	0.000402172	0.000473144	9.46288e-05	1.07216e-05	0	0	0	0
d2_16	0	0.000189258	0.000311824	0.00118159	0.00121303	0.00284878	0.00245429	0.00337797	0.00219406	0.00141296	0.0017983	0.000394399	0.000605624	0.000118286	1.18286e-05	0	0	0	0
d2_17	0	2.52343e-05	0.000106119	0.000449009	0.00146332	0.00189887	0.00220143	0.00345084	0.00284944	0.00184461	0.00119044	0.000882751	6.81553e-05	1.41943e-05	1.06457e-05	9.46288e-06	0	0	0
d2_18	1.41943e-05	0	0.000258079	0.000167843	0.0011181	0.0011941	0.00171921	0.0028735	0.0020682	0.00306682	0.00162208	0.000942785	0.000868219	0.000581967	0.000141943	0	0	0	0
d2_19	0	0	0	0.000382571	0.000318895	0.000919166	0.00145514	0.00252737	0.00277826	0.00187804	0.00200455	0.00120032	0.000792516	0.000423679	0.00055831	0.000241303	0	4.73144e-05	0
d2_20	0	2.12915e-05	0	0	0.000611247	0.00107673	0.0018156	0.00143599	0.00372665	0.00137706	0.0013567	0.00150077	0.00103551	0.000581967	0.000494773	0	0	0	0
d2_21	0	0	0	9.46288e-05	0.000468075	0.000634013	0.00111198	0.00164767	0.00166716	0.00232867	0.00341699	0.000700253	0.00106424	0.000662402	0.000328497	1.41943e-05	0	0	0
d2_22	0	0	3.78515e-05	0.000314856	0.000648207	0.000673892	0.000775168	0.00119705	0.00154617	0.0023255	0.00178533	0.00143823	0.000776745	0.000586698	7.09716e-05	0.000141943	0	0	0
d2_23	0	0	0	9.46288e-06	0.000378515	0.00070183	0.000449487	0.000872613	0.00180572	0.00238228	0.00151879	0.00217646	0.0014619	0.000615087	0.000473144	0	0.000141943	0	0
d2_24	0	0	0	0	0	0.00027172	9.17171e-05	0.000738105	0.00111347	0.00146156	0.00188942	0.00211225	0.00138597	0.000809076	0.000882076	0.000307544	2.36572e-05	0	0
d2_25	0	0	0	0	3.04164e-05	0	0.000392709	0.00043732	0.00109769	0.00109736	0.00135995	0.0020602	0.00224946	0.00130115	0.000678624	0.000700253	0	0.000141943	0
d2_26	0	0	0	0	0	2.36572e-05	0.000574532	0.00059143	0.000806372	0.00129912	0.0010639	0.00237045	0.00114298	0.00127783	0.000875316	0.000375811	0.000236572	0	0
d2_27	0	0	0	0	0	0.000189258	5.9143e-05	0.000775618	0.00113081	0.000936825	0.00127478	0.00151136	0.00264014	0.00171008	0.00132953	0.00107877	0.000189258	1.41943e-05	0.000141943
d2_28	0	0	0	0	0	0	0.000228686	4.73144e-05	0.000212915	0.000676596	0.00131737	0.000842196	0.00177159	0.00122071	0.00158503	0.000402172	9.46288e-05	0	0
