	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d2_0	0	0.0349231	0.00795833	0.00212935	0.000715382	0.000108182	1.68338e-05	5.76653e-06	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0730601	0.0333286	0.0126265	0.00391464	0.00150532	0.000335248	8.34879e-05	3.08159e-05	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.033742	0.0287714	0.0159463	0.00617705	0.00209913	0.000863218	0.000102315	0.000251177	0	1.12225e-05	1.57116e-05	0	0	0	0	0	0	0	0	0
d2_3	0.017927	0.0190857	0.0158756	0.00772655	0.00329079	0.00168052	0.000269151	0.000139437	1.34671e-06	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.0114443	0.0143141	0.0142362	0.00970269	0.00548163	0.00244372	0.00102231	0.000581809	0.000148716	0.000101003	0	0	0	0	0	0	0	0	0	0
d2_5	0.00552172	0.0109647	0.0112732	0.0101673	0.00528666	0.00327802	0.00138017	0.000338998	0.000384614	0.000112916	6.59886e-05	4.71347e-05	0	0	0	0	0	0	0	0
d2_6	0.0034617	0.0103872	0.009481	0.00960156	0.00600103	0.00307117	0.00128386	0.000651117	0.000284875	0.000268668	0.000212106	0	0	0	0	0	0	0	0	0
d2_7	0.00163281	0.00498087	0.00741667	0.00793757	0.0055598	0.0046704	0.00199881	0.000856825	0.000766938	0.000176672	0	0	0	3.03009e-05	0	0	0	0	0	0
d2_8	0.00135121	0.00393183	0.00615254	0.0064767	0.00679243	0.00489039	0.0029682	0.00153292	0.000728248	0.000346879	0.000147524	3.48072e-05	0	2.35673e-05	0	0	0	0	0	0
d2_9	0.000915381	0.00213872	0.00365659	0.00604851	0.00627456	0.00474026	0.00342036	0.00198479	0.000835352	0.000883515	0.000485151	2.35673e-05	0	0	0	0	0	0	0	0
d2_10	0.000542802	0.00183311	0.00296743	0.0048321	0.00465848	0.00603644	0.00294744	0.00279799	0.00128635	0.000178162	0.000262597	0.000212106	0.00027081	2.57098e-06	0	0	0	0	0	0
d2_11	0.000181014	0.000746368	0.00265751	0.00455563	0.00510073	0.00412342	0.00240752	0.00343535	0.00219976	0.00118731	0.00064193	7.38271e-05	4.27579e-05	9.42694e-05	0	0	0	0	0	0
d2_12	0.000139433	0.000594523	0.00220648	0.0026183	0.00404649	0.00387671	0.00362142	0.00287629	0.00246945	0.0008324	0.000908343	0.000571901	0.000271024	4.71347e-05	0	0	0	0	0	0
d2_13	2.82808e-05	0.000270796	0.000844492	0.00137454	0.00208415	0.0037286	0.00290194	0.00276358	0.00247102	0.00227915	0.000408715	0.000396268	0.000101003	3.95536e-06	2.82808e-05	4.71347e-05	0	0	0	0
d2_14	0	0.000153188	0.00118947	0.0021236	0.00194697	0.00343936	0.00407017	0.00237781	0.00301371	0.00266983	0.0010192	0.00065865	0.000713754	2.35673e-05	0	0	0	0	0	0
d2_15	0	0.000118864	0.00106879	0.000563326	0.00158906	0.00206582	0.00278122	0.00221846	0.00299504	0.00189852	0.00149509	0.000648653	0.000503461	0.000575257	0	0	0	0	0	0
d2_16	0	4.60787e-05	0.000266953	0.000774699	0.00140521	0.00177624	0.00215226	0.00245624	0.00312162	0.0021096	0.00222149	0.00046192	0.000706684	0.000435996	0.00010841	0	0	0	0	0
d2_17	0	4.71347e-06	7.54155e-05	0.000190559	0.00194128	0.00217705	0.00170044	0.0018787	0.00222572	0.00281095	0.00134603	0.000861106	0.000633962	0.000556067	0	0	0	0	0	0
d2_18	0	0	0.000122659	0.000252198	0.000545059	0.00168898	0.00193828	0.00262721	0.00222463	0.00200468	0.00183707	0.00160538	0.00107051	0.000407378	0.000249814	0	0	0	0	0
d2_19	0	0	0	2.39808e-05	0.000870869	0.00131856	0.00140104	0.00167542	0.00163411	0.00169078	0.00181613	0.00276163	0.00151302	0.000572013	0.00010841	2.35673e-05	5.89184e-05	0	0	0
d2_20	0	8.60208e-05	0	0.000170919	0.000315757	0.000691166	0.000923054	0.00116443	0.00185138	0.00212104	0.00271012	0.00106557	0.00133391	0.00169539	0.000438353	0.000221533	0	0.000188539	0	0
d2_21	0	0	0.000141404	0	0.000250365	0.000657529	0.00180557	0.00148869	0.00127432	0.00256817	0.00202612	0.00162502	0.00076044	0.000603661	0.000530265	0.000164971	0.000188539	0	0	0
d2_22	0	0	0	3.77077e-05	0	0.000168563	0.000888152	0.00158529	0.00251699	0.00189796	0.000987686	0.00139519	0.00120586	0.000777722	0.000405358	0.000367651	3.77077e-05	0	0	0
d2_23	0	0	0	7.0702e-05	5.18482e-05	0.000249814	0.000670884	0.00071207	0.00146791	0.00204183	0.00162817	0.00152481	0.00173927	0.00122517	0.00108881	0.000183825	0.000282808	0	0	0
d2_24	0	0	0	0	1.21203e-05	4.71347e-05	0.000617464	0.00100285	0.000556189	0.000869091	0.00171256	0.00168978	0.00109005	0.000862565	0.0013127	0.00108342	0.000188539	0	0	0
d2_25	0	0	0	0	5.38682e-05	0.000131977	0.000344083	0.000541712	0.000500974	0.00193724	0.00112416	0.00188539	0.00143289	0.000713754	0.000975351	0.00115009	0.000400645	0.000311089	0	0
d2_26	0	0	0	0	0	0	0.000480774	0.000254527	0.000704327	0.00117915	0.00089511	0.00234024	0.00100666	0.00147229	0.000869298	0.000664599	2.35673e-05	0.00070702	0	0
d2_27	0	0	0	0	0	0	0	0.000565616	0.000492221	0.00046192	0.00156959	0.00212779	0.00131977	0.00237559	0.00176688	0.000721161	0.00106053	0.000282808	0.000188539	0
d2_28	0	0	0	0	0	0	2.35673e-05	0	0.000188539	0.000141404	0.0010841	0.00168473	0.00148474	0.00120822	0.00137364	0.000777722	0.000377077	2.35673e-05	0	0
d2_29	0	0	0	0	0	4.71347e-05	4.71347e-05	0.000141404	0.000622178	0.000657192	0.000344083	0.00148474	0.00128678	0.00137869	0.00137633	0.00150831	0.00109824	0.000886132	0	0
d2_30	0	0	0	0	0	0	0	4.71347e-05	0	0.000282808	0.00044778	0.000966261	0.00161672	0.000853138	0.00161672	0.00206921	0.00143761	0.000471347	0	0
d2_31	0	0	0	0	0	0	0	0.000188539	0.000141404	0.000188539	1.61605e-05	0.000532622	0.000916433	0.000542049	0.00207393	0.00169685	0.00172042	0.000683453	0.000424212	0.000188539
d2_32	0	0	0	0	0	0	0	0	0	0.000282808	0.000612751	0.000329943	0.000542049	0.000871992	0.0017864	0.00144232	0.00123964	0.00109824	0.000485487	0
d2_33	0	0	0	0	0	0	0	0	0	0	0.000188539	0.000141404	0.000249814	0.000989828	0.00147532	0.00149888	0.00187596	0.00152245	0.000282808	0
d2_34	0	0	0	0	0	0	0	0	0	0	0.000188539	0.000141404	0.000249814	0.00046192	0.00131034	0.00123224	0.00180526	0.00141404	0.00070702	0.000188539
