	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d3_0	0	0.110515	0.0268613	0.00818727	0.00222301	0.000818125	0.000143116	0	2.92546e-05	0	0	0	0	0	0	0	0	0	0
d3_1	0.124044	0.0591825	0.0277553	0.0134959	0.00542273	0.00270689	0.000596288	0.000401212	8.5182e-05	1.18847e-05	0	0	0	0	0	0	0	0	0
d3_2	0.0307879	0.032341	0.0248267	0.0148289	0.00823228	0.00523481	0.00213753	0.00109319	0.000819585	0	4.24452e-06	0	0	0	0	0	0	0	0
d3_3	0.0100259	0.0161206	0.0172277	0.0142767	0.0096399	0.00501557	0.0050297	0.00157094	0.000656958	0.000250158	0.00022231	3.86723e-05	0	0	0	0	0	0	0
d3_4	0.00366705	0.00902547	0.0094878	0.0124257	0.00911451	0.00696569	0.00362454	0.00272513	0.00157414	0.000510442	0.000365878	0.000139683	0	5.94233e-05	0	0	0	0	0
d3_5	0.00140652	0.00262725	0.00662301	0.00715324	0.00840078	0.00631392	0.00563587	0.00389606	0.00256996	0.00105246	0.000951811	0.000117526	0.000148841	5.94233e-05	0	0	0	0	0
d3_6	0.000767105	0.002846	0.00270601	0.00486528	0.00684176	0.00623268	0.00591621	0.00396893	0.00353375	0.00239211	0.0005682	0.000317207	0.000388232	0	8.9135e-05	0	0	0	0
d3_7	0.00015821	0.00130783	0.00157544	0.0036045	0.00384374	0.00449783	0.00375048	0.00475846	0.00446872	0.0021745	0.00170819	0.000579708	8.12119e-05	0.000445392	0.000138654	0	0	0	0
d3_8	0.000102402	0.000211535	0.0015824	0.00184689	0.00327961	0.00367102	0.0048431	0.00477178	0.00277573	0.00311182	0.00212566	0.00121744	0.00128298	0.000533867	0.000237316	1.27336e-05	0	0	0
d3_9	2.3152e-05	2.27318e-05	0.00055042	0.000922043	0.00207073	0.0025954	0.00251779	0.00381331	0.00352984	0.00290758	0.00184873	0.00178854	0.00116941	0.000538772	0.000399551	1.18847e-05	0	0	1.98078e-05
d3_10	0	0	5.82582e-06	0.000568961	0.000906418	0.00158008	0.00184324	0.00306538	0.00406048	0.0031231	0.00378281	0.00276715	0.00105604	0.000937568	0.000374084	0.000138654	9.90389e-05	0	0
d3_11	0	0	3.11265e-05	0.000173168	0.00052434	0.00058084	0.00185222	0.00183929	0.00184411	0.0020619	0.00180364	0.00256784	0.00194582	0.00159953	0.000954735	0.000198078	0.000277309	0	0
d3_12	0	0	5.94233e-05	7.92311e-06	1.98078e-05	0.00083004	0.00134156	0.00112112	0.00146238	0.00282336	0.00179308	0.00314548	0.002753	0.00222215	0.00155265	0.000895312	0.000822023	0	0
d3_13	0	0	0	1.32052e-05	0.000211283	0.00035654	6.73465e-05	0.00074449	0.00113433	0.00211771	0.0026165	0.0034308	0.00163782	0.00207982	0.00130901	0.000824004	0.000465483	0.00035654	3.16924e-05
d3_14	0	0	0	0	0	5.94233e-05	0.000447656	0.000231091	0.000619701	0.00173658	0.00248135	0.0017329	0.00349013	0.00235713	0.00296721	0.00143804	0.000831927	0.000633849	0.000118847
d3_15	0	0	0	0	0	3.96156e-05	0.00022977	5.94233e-05	0.000784011	0.000190155	0.00140833	0.00181552	0.00255256	0.00229742	0.00314151	0.00171535	0.00167574	0.000118847	1.98078e-05
d3_16	0	0	0	0	0	7.1308e-05	0	0.000130731	0.00017827	0.000118847	0.000396156	0.00124525	0.00120827	0.00181439	0.00314944	0.00334751	0.00134693	0.00128751	0.000237693
d3_17	0	0	0	0	0	0	0	0	0.000118847	0.000198078	0.000150539	0.00076458	0.00215905	0.000707138	0.00219074	0.00270574	0.00352975	0.00182232	0.000772503
d3_18	0	0	0	0	0	0	0	0	5.94233e-05	0	0.000396156	0.000475387	0.00066158	0.00136674	0.000923043	0.00249578	0.0025552	0.00285232	0.0017827
d3_19	0	0	0	0	0	0	0	0	0	0	0	0.00017827	0	0.000285232	0.000982466	0.00165593	0.0017827	0.00332771	0.00309001
d3_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118847	0.000118847	0.00071308	0.00174308	0.00225809	0.00415963
