	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d3_0	0	0.0549709	0.0200042	0.00605089	0.00314386	0.000871816	0.000121525	3.93513e-05	3.53677e-05	0	0	0	0	0	0	0	0	0	0
d3_1	0.056534	0.045924	0.0274365	0.0161218	0.00608367	0.0031558	0.00138792	0.000454421	0.000166963	0.000312627	0	0	0	0	0	0	0	0	0
d3_2	0.0200277	0.0305754	0.0234178	0.0147256	0.0123296	0.00456594	0.00261016	0.0015866	0.000443303	0.000106104	0.000105598	0	0	0	0	0	0	0	0
d3_3	0.00939176	0.0180108	0.0220667	0.0169935	0.0106777	0.00801371	0.00492053	0.00311477	0.00109738	0.000972972	0.000633358	0	1.3263e-05	0.000238733	0	0	0	0	0
d3_4	0.00463555	0.00814785	0.0124507	0.0132045	0.0120839	0.00821743	0.00495209	0.00268346	0.00267102	0.00143039	0.000821661	0.000113683	0.000371363	0.000159156	0	0	0	0	0
d3_5	0.00205996	0.00540599	0.00669483	0.00902638	0.00852049	0.00861021	0.0066515	0.0045839	0.00292742	0.00204528	0.00128454	0.000561707	0.000103072	0.000148545	0	0	0	0	0
d3_6	0.00041452	0.00321431	0.00600877	0.00678074	0.00589857	0.00722854	0.00627953	0.00670004	0.00373659	0.00276415	0.00105991	0.000465846	0.000346605	0.000281175	0	0	0	0	0
d3_7	0.000200151	0.000843755	0.00157676	0.00540819	0.00500354	0.00720604	0.0049016	0.00704703	0.00420606	0.00314813	0.00289421	0.00180869	0.000410773	2.65259e-05	0.000159156	7.95778e-05	5.30519e-05	0	0
d3_8	0.000353083	0.00070892	0.00152151	0.00193267	0.0034936	0.00613381	0.00766812	0.00608263	0.00723905	0.00442718	0.00383291	0.00167871	0.00095367	0.000164461	2.65259e-05	0.000254649	2.65259e-05	2.65259e-05	0
d3_9	0	3.71363e-05	0.000556548	0.00100783	0.00249868	0.00404446	0.00342798	0.00516185	0.00562182	0.00349652	0.00344921	0.00298532	0.00222729	0.00142444	0.000893924	0.000318311	0	0	0
d3_10	0	0	4.42099e-05	0.000460043	0.00189823	0.00227265	0.00317565	0.00407478	0.00522115	0.00449375	0.00374205	0.00343864	0.00244304	0.00100799	0.00127324	7.95778e-05	7.95778e-05	0	0
d3_11	0	7.57884e-06	0.00013263	0.000594686	0.00114652	0.00207067	0.00282438	0.00304687	0.0032593	0.00260585	0.00420442	0.00333267	0.00221681	0.0016393	0.000981459	0.000235702	0.000159156	0	0
d3_12	0	0.000136514	0	0.000212207	9.55053e-05	0.000207521	0.000979312	0.00203808	0.00325879	0.0037173	0.0051358	0.00402057	0.00416684	0.00290459	0.00169766	0.000822304	0.000663148	0.000318311	0.000159156
d3_13	0	0	1.06104e-05	0	0.000238733	0.000254134	0.000661885	0.00176006	0.00204464	0.00273924	0.00251693	0.00428633	0.00261811	0.0029944	0.00185682	0.00222818	0.000159156	0	0
d3_14	0	0	4.24415e-05	9.54933e-05	4.42099e-06	0.000212207	0.000360753	0.000387279	0.000620707	0.00163324	0.00220696	0.0030664	0.00266169	0.00246691	0.00179846	0.000901882	0.00213799	0.00114061	5.30519e-05
d3_15	0	0	0	0	0	0.000130218	0.000153471	0.000228123	0.000748031	0.00117472	0.00142179	0.00158095	0.00307398	0.00284888	0.00146423	0.00223879	0.0018462	0.00108756	0.000530519
d3_16	0	0	0	0	0	0.000212207	0.000431994	0.000106104	0.00046913	0.000596336	0.00124672	0.00120958	0.00189622	0.002764	0.00351203	0.00261546	0.00190987	0.00128916	0.000689674
d3_17	0	0	0	0	0	0.000265259	0	0	0.000318311	0.000456625	0.000318311	0.00135282	0.00175071	0.00264198	0.0021486	0.00400542	0.00488077	0.00265259	0.000663148
d3_18	0	0	0	0	0	0	0	0	0	0	0	0.000758642	0.000591149	0.000663148	0.00305048	0.00238733	0.0034749	0.00334227	0.00137935
d3_19	0	0	0	0	0	0	0	0	0	0.000159156	0	0.000159156	0.000318311	0.000875356	0.00114061	0.00322555	0.00289133	0.00551739	0.00456246
d3_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000318311	0.000424415	0.00212207	0.00408499	0.00291785
