	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d2_0	0	0.134252	0.0359518	0.0134089	0.00494174	0.00238762	0.000576534	0.000221934	8.60692e-05	0.000263047	4.27025e-06	0	0	0	0	0	0	0	0	0
d2_1	0.0499837	0.0238907	0.0126712	0.00727175	0.00411077	0.00180177	0.000749726	0.000560793	0.000282017	0.000159423	0	0	0	0	0	0	0	0	0	0
d2_2	0.0291382	0.0167071	0.0099785	0.00671454	0.00364549	0.00200077	0.00106654	0.000602102	0.000376898	0.000126209	0.000222044	9.01496e-06	0	4.27025e-06	0	0	0	0	0	0
d2_3	0.0223675	0.0139126	0.00915056	0.00689715	0.00339087	0.00302973	0.00167221	0.000399621	0.00024413	0.000227177	9.78361e-05	0.000199278	0	0	0	0	0	0	0	0
d2_4	0.0154025	0.0106361	0.0082115	0.00549341	0.00356928	0.00261631	0.00205826	0.00130139	0.000500261	0.000264923	6.97474e-05	6.90831e-05	0.000119567	0	2.56215e-05	0	0	0	0	0
d2_5	0.0117056	0.00940754	0.00731515	0.00578072	0.00447016	0.0029209	0.00204219	0.00111268	0.000705498	0.000421725	0.000269491	0.000211235	0	0	1.99278e-05	0	0	0	0	0
d2_6	0.00832656	0.00667556	0.00563303	0.00499081	0.00392147	0.00201492	0.00235057	0.000976835	0.00069272	0.00104812	0.000199278	5.7506e-05	0.000257069	0	0	0	0	0	0	0
d2_7	0.00596849	0.00470797	0.00492934	0.00469161	0.00373823	0.0023496	0.00208359	0.00117708	0.000920102	0.000291895	0.000372365	3.35926e-05	0	0	0	0	0	0	0	0
d2_8	0.00461446	0.00416894	0.0047068	0.00430098	0.00346909	0.00272187	0.00203037	0.00131524	0.00077749	0.000534065	0.00055389	5.99646e-05	0.000271018	0.000298917	0.00017935	0	0	0	0	0
d2_9	0.00271593	0.00349862	0.00290842	0.00406293	0.00305936	0.00207739	0.00227558	0.00193072	0.000944386	0.000859378	0.000756023	6.24405e-05	0.000221483	8.54049e-05	0	0	0	0	0	0
