	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d3_0	0	0.0518473	0.0434503	0.0351429	0.0292756	0.0287838	0.0227428	0.0211392	0.0164716	0.0113519	0.0133561	0.00870155	0.00569872	0.00684389	0.00385173	0.0023251	0.0026659	0.00314989	0.0023249
d3_1	0.0170687	0.00247251	0.00255244	0.00320634	0.00190643	0.00142397	0.00264656	0.00160713	0.00192516	0.00114999	0.00192417	0.0013935	0.000880213	0.00193072	0.0003304	0.0007023	0.000466072	0.000761586	0.00092576
d3_2	0.013952	0.00332718	0.0027538	0.00186863	0.00191076	0.00214203	0.00272255	0.0016056	0.00111952	0.000984386	0.000879031	0.00128313	0.000490903	0.000893992	0.000983382	0.000691203	0.000777432	0.00018225	0.000938529
d3_3	0.0135767	0.00183678	0.00191444	0.00255718	0.0012782	0.00227141	0.00154457	0.00119839	0.00118721	0.00119141	0.00162667	0.00114403	0.00090322	0.000480285	0.000342442	0.00166117	0.000439077	0.00158428	0.0011971
d3_4	0.013769	0.00210345	0.00111767	0.00251178	0.00259336	0.00212067	0.00153365	0.00152155	0.00141363	0.00165013	0.000680401	0.000158932	0.0019201	0.000855705	0.000353606	0.000525989	0.000990727	0	0.00128603
d3_5	0.0134814	0.00126707	0.00218727	0.00228779	0.00267955	0.00165203	0.000799428	0.000337585	0.000614874	0.00149161	0.00115803	0.000811224	0.00077033	0.00101676	0.00113645	0.000615653	0.000600438	0.000370304	0.000912991
d3_6	0.012493	0.00197552	0.00172628	0.00177565	0.00273907	0.00126052	0.00179436	0.00133606	0.0018696	0.00119338	0.00188922	0.00127524	0.000530498	0.000963113	0.000940371	0.000657711	0.000399656	0.000127691	0.00181283
d3_7	0.0113503	0.00301043	0.00181928	0.00220926	0.0011451	0.00126229	0.00132183	0.0024283	0.00135557	0.00104624	0.000953209	0.000977126	0.00142374	0.000794689	0.00096482	0.00088426	0.000751728	0.00150675	0.0010726
d3_8	0.00920011	0.0010575	0.00169934	0.00192798	0.00158995	0.00046128	0.00122165	0.00225125	0.00169185	0.000603767	0.00100921	0.000391213	0.00117283	0.000591939	0.000615653	0.000670378	0.00137326	0.000380171	0.000627814
d3_9	0.00936649	0.00147093	0.00188637	0.0009826	0.00142862	0.00217461	0.00128226	0.00113891	0.000709536	0.000759548	0.00101762	0.000438409	0.00255031	0.0017878	0.000785019	0.000328348	0.000760369	0.000980028	0.00158975
d3_10	0.00590078	0.000751867	0.00100847	0.00161566	0.00121892	0.00133539	0.00138331	0.0016436	0.00160799	0.00147612	0.00159136	0.00177005	0.000851425	0.0011701	0.000561288	0.00104213	0.000606532	0	0.0007853
d3_11	0.00627531	0.00180136	0.000974117	0.000639293	0.00177497	0.00185326	0.00255937	0.000743186	0.00128577	0.00103856	0.000246869	0.000605924	0.00131947	0.0014836	0.00102746	0.000255382	0.000989605	0.000446918	0.00155145
d3_12	0.00409517	0.00155824	0.00189867	0.00105936	0.00103001	0.000877702	0.00154571	0.000717952	0.000791251	0.000776186	0.00120985	0.00133747	0.000479601	0.000428009	0.000753377	0.00108218	0.000383073	0.00058373	0.00242187
d3_13	0.00574636	0.0026335	0.00143114	0.00147635	0.00165076	0.000904047	0.00149248	0.000872709	0.000897242	0.000926011	0.000930838	0.00167556	0.000755376	0.0005135	0.00023714	0.000976836	0.000833184	0.000709097	0.00258893
d3_14	0.00618837	0.000453605	0.00132792	0.00119622	0.000982195	0.000906618	0.000605339	0.00144671	0.00145841	0.00112109	0.00115397	0.000967373	0.000925594	0.000785402	0.00150066	0.000612474	0.000873675	0.000893837	0.00193452
d3_15	0.00354358	0.00108147	0.000944119	0.000952876	0.00180242	0.00122435	0.00124623	0.000670095	0.000843998	0.000980776	0.000483394	0.00061671	0.000419416	0.00056184	0.00187985	0.00056184	0.00145813	0.000319227	0.00222182
d3_16	0.00446676	0.000516317	0.000937856	0.000991468	0.00081543	0.000734808	0.00152641	0.000509831	0.000275099	0.00137858	0.000634807	0.000968627	0.0007023	0.00114283	0.00115834	0.0012981	0.000370304	0.000998726	0.00258422
d3_17	0.00437291	0.00200374	0.000611237	0.00163695	0.00013183	0.000854565	0.000655374	0.00101078	0.00130883	0.000846485	0.000676306	0.000931688	0.0007023	0.0010726	0.000510764	0.000950842	0.000872555	0.000379425	0.00165998
d3_18	0.00291249	0.000537201	0.000929478	0.000785819	0.00128895	0.000927273	0.000360696	0.00110341	0.00115244	0.000750019	0.00161215	0.000542977	0.00137268	0.000909798	0.000422976	0.000689531	0.000912991	0.00150037	0.00113645
d3_19	0.00226073	0.000857418	0.000765783	0.000671854	0.000284064	0.00147651	0.00077541	0.00117962	0.00188625	0.000196559	0.00039797	0.000613893	0.00143333	0.000590571	0.000414996	0.00139794	0.000734223	0.00102153	0.00241336
d3_20	0.00471935	0.00291173	0.00269654	0.00184172	0.00191835	0.00415821	0.00220868	0.00383058	0.00583281	0.00389265	0.0045709	0.0073021	0.0064373	0.0078416	0.00537596	0.00607672	0.00603339	0.0078457	0.0453203
