	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18
d1_0	0	0.0413762	0.0312865	0.0238434	0.0227744	0.0183659	0.0134317	0.0114691	0.0100089	0.00715094	0.0056231	0.00471471	0.00353091	0.00394014	0.00224243	0.00124995	0.00114434	0.00119412	0.00060024
d1_1	0.0578739	0.00635926	0.00359888	0.0044711	0.00405888	0.00420643	0.0031889	0.00206919	0.00212392	0.00213796	0.00115781	0.00067458	0.00109344	0.000860702	0.000920535	0.000827549	0.000724594	0.000307179	0.000163585
d1_2	0.0424764	0.00484733	0.00494837	0.00328504	0.00403595	0.00411165	0.00164833	0.00249829	0.00282373	0.00209205	0.00146845	0.00111546	0.00207146	0.000958141	0.00132399	0.000693692	0.00118915	0.000214353	0.00104034
d1_3	0.0341315	0.00394435	0.00272531	0.00414501	0.00306535	0.00218424	0.00147897	0.0013347	0.00138553	0.00133801	0.00220178	0.00202766	0.0016029	0.000367328	0.000180508	0.000935834	0.0006899	0.000894077	0.00127483
d1_4	0.0255862	0.00270869	0.00284022	0.0034518	0.00374506	0.00250094	0.00304293	0.00253463	0.00220807	0.00182769	0.000957259	0.000865637	0.00097626	0.00169501	0.000808524	0.00117332	0.0016885	0.000331871	0.00119121
d1_5	0.0221183	0.00316939	0.00405555	0.00248521	0.00270855	0.00244388	0.00237109	0.00140917	0.00209778	0.00152304	0.00141072	0.00100313	0.00167625	0.000859975	0.00197727	0.000502696	0.00115301	0.000420244	0.00137637
d1_6	0.0173833	0.00213091	0.00378711	0.00252176	0.00190219	0.00172025	0.00191333	0.00146305	0.00188035	0.00189866	0.00184829	0.00110789	0.0010833	0.0013725	0.00162348	0.000298966	0.00131205	0.000447038	0.0017304
d1_7	0.0142714	0.00280651	0.00227902	0.00180087	0.00263107	0.00238641	0.00192984	0.0015398	0.00177879	0.00207433	0.00252345	0.000425659	0.00092012	0.00084895	0.000952252	0.00126839	0.00121774	0.000699467	0.00118136
d1_8	0.0105745	0.00162293	0.00276715	0.00236484	0.00127448	0.00171354	0.0011976	0.00126914	0.00116266	0.00228266	0.00150059	0.0012547	0.00089393	0.00132589	0.000706585	0.00103792	0.000966724	6.4467e-05	0.00206375
d1_9	0.00780175	0.00176156	0.00218211	0.00112077	0.00105662	0.00222239	0.00140956	0.00219786	0.00118674	0.000695841	0.000794019	0.00112296	0.0014685	0.00252845	0.000922851	0.00106074	0.00148032	0.000942024	0.00163585
d1_10	0.00637366	0.00215678	0.00214344	0.00181884	0.00159915	0.00232771	0.00185702	0.00165183	0.000581768	0.000830168	0.000934108	0.00143761	0.00103228	0.00195093	0.000680127	0.000778439	0.000942024	0.000665622	0.00149483
d1_11	0.0060422	0.00083994	0.00109067	0.00126239	0.00121837	0.00180089	0.000780235	0.00152845	0.00175764	0.00220756	0.00100595	0.00066645	0.00105766	0.000882392	0.000575657	0.00118364	0.00106048	0.000510498	0.00174867
d1_12	0.00404102	0.00102563	0.00165178	0.00124881	0.00106599	0.000836203	0.0016865	0.000400355	0.00214595	0.00185128	0.0016771	0.000823049	0.00115315	0.00142714	0.00136469	0.000865469	0.000967005	0.0010911	0.002899
d1_13	0.00373898	0.000847823	0.001587	0.000170288	0.00173533	0.00145248	0.000949688	0.000905358	0.00177552	0.00153391	0.00139571	0.00116202	0.000846129	0.000643461	0.00135622	0.00126597	0.00180508	0.000648699	0.00304284
d1_14	0.00315766	0.0003939	0.00117634	0.000757634	0.00222109	0.00109433	0.001077	0.00123918	0.000665622	0.00137622	0.00133648	0.00103093	0.00100931	0.000658638	0.00114485	0.0011451	0.00176841	0.000485114	0.00327976
d1_15	0.00261001	0.000472611	0.00135058	0.00110279	0.000825983	0.00128048	0.000646538	0.000341272	0.000507678	0.000874334	0.000648699	0.00072203	0.00139893	0.00116137	0.00164995	0.00124381	0.00104034	0.000919461	0.00340144
d1_16	0.00232833	0.0010347	0.000592748	0.00099709	0.000273582	2.56403e-06	0.00105228	0.000919461	0.00124663	0.000904418	0.000430586	0.000806643	0.000454346	0.000496396	0.00145212	0.00126919	0.000705108	0.000874334	0.00523472
d1_17	0.00140932	0.000307024	0.000945315	0.000910596	0.000958947	0.000684962	0.000975869	0.000541523	0.000750235	0.0011451	0.00110561	0.000769575	0.000603572	0.00187841	0.00126919	0.00126919	0.00116202	0.000910596	0.00423065
d1_18	0.000471213	7.33312e-05	0.000408963	0.000617272	0.000747414	0.000457313	0.000366656	5.64086e-05	0.000239737	0.00114892	0.000947665	0.000592291	0.000904418	0.00177687	0.00130546	0.00126919	0.000282043	0.00219994	0.00735568
d1_19	0.000502977	0.000270761	0.000366656	0.0005246	0.000679724	0.00115074	0.000863052	0.000958947	0.00134817	0.000970228	0.00170918	0.00112817	0.00203071	0.00273582	0.00402193	0.00191789	0.00310247	0.00448449	0.0213281
