	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d2_0	0	0.0219904	0.0057126	0.00151324	0.000548585	0.000274973	1.87179e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0486909	0.0255025	0.0120175	0.00291096	0.000682885	0.000173535	0.000591945	2.65493e-05	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0289719	0.0252206	0.013569	0.00509402	0.00249421	0.000492325	0.000216016	6.07431e-05	1.08936e-05	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0167122	0.0191953	0.0162464	0.00805629	0.00506423	0.00209915	0.000412865	0.000367966	3.08013e-05	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.0105418	0.0151398	0.0154265	0.00819682	0.00412444	0.00193148	0.0009416	0.000362535	1.22218e-05	8.74242e-06	0	0	0	0	0	0	0	0	0	0
d2_5	0.00598984	0.0130026	0.0134967	0.0103991	0.00527554	0.00309558	0.0012817	0.00117357	0.000326701	5.72388e-05	0	0	0	0	0	0	0	0	0	0
d2_6	0.00390726	0.0077131	0.0107228	0.00842272	0.00660808	0.00291405	0.00112202	0.00129779	9.81049e-05	0.000210713	1.16195e-05	8.51382e-06	0	0	0	0	0	0	0	0
d2_7	0.00194792	0.00623599	0.00629681	0.00864623	0.00680083	0.00481563	0.0026121	0.00119302	0.000601379	0.000311923	8.17022e-06	6.6022e-06	0	0	0	0	0	0	0	0
d2_8	0.000891963	0.0028295	0.00674441	0.00400414	0.00632774	0.00445169	0.00304452	0.00230405	0.000764511	0.000562883	7.3706e-05	1.03749e-05	0.000299575	0	0	0	0	0	0	0
d2_9	0.000376515	0.00219571	0.00488782	0.0064331	0.00562409	0.00539596	0.00512404	0.00172309	0.0018447	0.000605826	2.70166e-05	0.000250293	0	0	0	0	0	0	0	0
d2_10	0.000297571	0.00187975	0.00420839	0.00603535	0.00407103	0.00642058	0.00373344	0.00267275	0.00165121	0.000747364	0.000223708	0.000101647	2.45107e-05	0	0	0	0	0	0	0
d2_11	0.000160533	0.00104974	0.00305989	0.00345774	0.00366595	0.00439673	0.00342959	0.00267909	0.00139777	0.000681565	0.000464535	0.000220207	4.08511e-05	0.000177021	0	0	0	0	0	0
d2_12	9.02625e-05	0.000876046	0.00124103	0.00279591	0.00423257	0.00470306	0.00456567	0.00300445	0.00261665	0.000759255	0.000756083	0.000763942	0.000391643	5.44681e-05	0.000108936	0	0	0	0	0
d2_13	0.000261695	0.000521193	0.0010501	0.00154091	0.00382781	0.00421504	0.00336853	0.00413927	0.0026104	0.000862972	0.000595648	0.000781229	0.000229285	0.000206979	0.00011166	0	0	0	0	0
d2_14	0	0.000583758	0.000693211	0.00186195	0.00169346	0.00417651	0.00535118	0.00426715	0.00193279	0.00299376	0.000876407	0.000400199	0.000324734	0.000286205	0	0	0	0	0	0
d2_15	4.55942e-08	0	0.00037353	0.00210887	0.00223226	0.00263249	0.00353266	0.00322394	0.00336034	0.00232117	0.00170367	0.00156387	0.000405399	1.03749e-05	0	0	0	0	0	0
d2_16	0	9.53193e-05	0.000171907	0.000599486	0.00133701	0.00211531	0.00265007	0.0038629	0.00272004	0.00293069	0.00261352	0.000912698	0.000399952	3.73903e-05	8.17022e-05	0	0	0	0	0
d2_17	3.85577e-05	0	9.64108e-05	0.00084904	0.00242117	0.000888713	0.00217189	0.00287821	0.00291921	0.00228888	0.0014277	0.000987041	0.000515579	0.000285329	4.59089e-05	0	0	0	0	0
d2_18	0	0.000291012	0.000264378	0.0003184	0.000546627	0.00175177	0.00175366	0.0024253	0.00282896	0.00207731	0.0020059	0.00261914	0.000496586	0.00044625	0.000163404	9.80427e-05	0	0	0	0
d2_19	0	0	2.45107e-05	5.44681e-05	0.000762434	0.000653366	0.00112916	0.00327949	0.00298066	0.00214046	0.00201203	0.00228367	0.000824025	0.000324085	0.00033044	7.08164e-05	0	0	0	0
d2_20	0	0	0	0	0.000124369	0.000710809	0.00179095	0.00178435	0.00216549	0.00272299	0.00262247	0.00103801	0.00206576	0.00049566	0.00046246	0.000370383	0	0.000163404	0	0
d2_21	0	0	0.000261447	5.44681e-05	0.000234149	0.000312621	0.000873021	0.00190585	0.00146469	0.00232786	0.00195761	0.00131618	0.00154417	0.00164948	0.000851519	1.08936e-05	0.00013617	0	0	0
d2_22	0	0	0	0	0	0.000550128	0.000296462	0.000557909	0.00194023	0.00193881	0.00184193	0.00224261	0.00255456	0.000853983	0.000657768	0.000653618	5.44681e-05	0	0	0
d2_23	0	0	0	0	6.22493e-05	0.000408511	0.000337561	0.000445342	0.00228766	0.00204256	0.00143083	0.00264624	0.00213541	0.0012551	0.00129323	0.000272341	0	0.000163404	0.000163404	0
d2_24	0	0	0	0	0	3.03465e-05	0.000493969	0.000547405	0.000841533	0.000693172	0.00183532	0.00233668	0.00206434	0.00140217	0.000686299	0.00113294	0.000326809	0	0	0
d2_25	0	0	0	0	4.01909e-05	1.86748e-05	3.50152e-05	0.000381277	0.000633646	0.00171808	0.00218962	0.0019982	0.00349919	0.00176658	0.00125277	0.000675405	0.000326809	4.35745e-05	0	0
