	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41
d3_0	0	0.101917	0.0434175	0.0212036	0.0112858	0.00564199	0.00312423	0.00148269	0.000907891	0.000667644	7.42874e-05	0.00019545	0.000147149	2.61081e-05	0	8.34132e-05	1.56114e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_1	0.0480346	0.0463768	0.0337852	0.0244091	0.0163562	0.0110827	0.00616536	0.00391386	0.00232926	0.00145598	0.00158843	0.000411616	0.000484812	0.000385382	0.000210031	9.64416e-05	0.000123286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_2	0.0110114	0.0164172	0.0174694	0.0153689	0.0127271	0.0111088	0.0099983	0.00728482	0.00413695	0.00422911	0.00213568	0.00178483	0.00152062	0.00109818	0.000456302	0.000312651	0.000167208	0.000304239	7.95395e-06	0.00021078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_3	0.00260126	0.00492867	0.00770904	0.0084662	0.00821602	0.00899004	0.00675039	0.00605815	0.00520214	0.0056712	0.0033189	0.0016816	0.00172026	0.00141443	0.00153451	0.000872186	0.000446394	0.000154297	0.000129536	7.15855e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_4	0.00051208	0.00154016	0.00245908	0.00418771	0.00578592	0.00625603	0.00611658	0.00529365	0.00495217	0.00380962	0.00413546	0.003888	0.00274649	0.00235859	0.00218883	0.00104671	0.000955315	0.000167064	0.000408578	9.28908e-05	7.72669e-05	0.00010075	6.39157e-05	5.92759e-05	8.52209e-05	0.000105106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_5	7.80646e-05	0.000401095	0.000902418	0.00192087	0.00207812	0.00304524	0.00360932	0.00339068	0.00351013	0.00365053	0.00353514	0.00410832	0.00255117	0.00244302	0.00273325	0.00219128	0.00184862	0.00127943	0.000272825	0.000586604	0.000206519	0.000262684	0.000428093	0	1.19309e-05	0.000132566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_6	1.84549e-05	0.000156346	0.00034174	0.000509919	0.00166356	0.00116825	0.00210241	0.00297903	0.00283296	0.00338154	0.00373741	0.00300345	0.00287614	0.00249848	0.00290174	0.00324184	0.00293247	0.00188456	0.00172678	0.00110494	0.000848129	0.00067136	0.000298273	0.000311908	0.000443149	0.000160783	6.56201e-05	0.000238618	0	0.000159079	0	0	0	0	0	0	0	0	0	0	0	0
d3_7	1.59079e-05	3.39912e-07	5.67265e-05	0.000176709	0.000224288	0.000608152	0.000608582	0.00155927	0.00213671	0.00158072	0.00339981	0.00219531	0.00181251	0.00281064	0.00281329	0.00278444	0.00280353	0.00142492	0.00215857	0.00151217	0.00125616	0.000827107	0.000971604	0.000266079	0.000582343	0.000159079	0.000264185	0.000167033	0	7.95395e-05	0	0	0	0	0	0	0	0	0	0	0	0
d3_8	0	0	5.50658e-06	1.70442e-05	0.000240925	0.000354922	0.00070181	0.000977507	0.00115269	0.000735478	0.000715875	0.00148397	0.00176635	0.00193915	0.00255206	0.00202706	0.0029128	0.00137521	0.00223088	0.00193507	0.00114376	0.00102937	0.000682809	0.000793028	0.000504224	0.000288047	0.000286342	0.000202826	0.000198849	0.000127263	2.55663e-05	0	0	0	0	0	0	0	0	0	0	0
d3_9	0	0	0	3.21946e-05	0	2.13052e-06	3.43396e-05	0.000467759	0.000684449	0.000692593	0.00061991	0.00103839	0.00221198	0.000893738	0.00198106	0.00223713	0.00229714	0.00180886	0.00190515	0.0018354	0.00199399	0.00103505	0.00133779	0.000996232	0.00106924	0.000297705	0.000403	0.000542573	0.000397697	7.15855e-05	0.000190895	1.98849e-05	0	0.000119309	1.98849e-05	0	0	0	0	0	0	0
d3_10	0	0	0	0	0	6.95971e-05	7.95395e-05	1.40259e-05	0.00028407	0.000169732	0.000430541	0.000551772	0.000878335	0.000747189	0.000584201	0.000763396	0.00144449	0.00111119	0.00140672	0.000997747	0.00191453	0.00161437	0.00106356	0.00154146	0.000628362	0.00108676	0.000565014	0.000318158	0.000369859	0.000614159	0.00040139	0.000178964	3.97697e-05	0.000159079	0	0	0	0	0	0	0	0
d3_11	0	0	0	0	0	1.59079e-05	0	2.65132e-06	0.000178996	1.80772e-05	6.69457e-05	0.000472982	0.000320715	0.000611507	0.000804485	0.000577505	0.000626373	0.000816321	0.00108202	0.00159524	0.00106356	0.00178131	0.00167715	0.00128655	0.00135956	0.00215685	0.00116298	0.00141353	0.000438793	0.00120502	0.000641997	0.000369859	0.000250549	0.000119309	0.000298273	0	0	0	0	0	0	0
d3_12	0	0	0	0	0	0	1.98849e-05	0	1.98849e-05	0.000108704	5.22688e-05	0.00019686	0.000331903	0.000294477	0.000258684	0.000367411	0.000491257	0.000433206	0.000862341	0.000554125	0.00128447	0.00100362	0.00137404	0.00148114	0.00101915	0.0020561	0.00118912	0.00194076	0.000999925	0.00088232	0.000719832	0.00026248	0.000230665	0.000417582	0.000318158	0.000238618	0	0.000119309	0	0	0	0
d3_13	0	0	0	0	0	0	0	0	3.97697e-06	1.98849e-05	0	0	0.000100302	0	0.000230665	0.000198849	0.000252254	0.000725798	0.000178964	0.000823415	0.000485191	0.000834218	0.00137404	0.00172601	0.00131808	0.00133229	0.00158284	0.00167999	0.00135416	0.000950497	0.00109367	0.00200837	0.000437467	0.00111753	0.000636316	0.000218734	0.000159079	3.97697e-05	0	0	0	0
d3_14	0	0	0	0	0	0	0	0	1.98849e-05	0	0	1.80772e-06	0.000177156	0	0.00044741	1.98849e-05	0.000207844	0.000411333	0.000315885	0.000459056	0.000520984	0.000723809	0.000918681	0.00110162	0.000715855	0.00189702	0.00202598	0.00110162	0.00127263	0.000960155	0.000801076	0.00106583	0.00104594	0.00127263	0.00085505	0.000556776	0.000159079	0.000556776	0	0	0	0
d3_15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.97122e-06	0	0.000258503	4.26104e-06	0	0.000278388	5.17007e-05	0.000182941	0.00041531	0.000151125	0.000377813	0.000837153	0.000616431	0.00138171	0.000690005	0.000437467	0.00120701	0.000894819	0.00085505	0.000688017	0.000536892	0.000656201	0.000596546	0.000139194	0.000278388	0.000119309	0	0
d3_16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.97697e-05	0	0	0	3.97697e-05	0.000310204	1.98849e-05	0.000385767	0.000481214	0.000797564	0.00135615	0.000688017	0.000914704	0.00128456	0.000779487	0.00135217	0.00145557	0.00143171	0.00132433	0.0013124	0.000556776	0.000159079	0.000119309	0
d3_17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.97697e-05	0	0	3.97697e-05	0.000194209	0.000517007	0.000517007	0.000532915	0.000636316	0.000318158	0.00112548	0.00135217	0.00077551	0.00125275	0.000528938	0.0015709	0.000847096	0.000954474	0.000695971	0.000556776	0.000238618
