	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d3_0	0	0.0859335	0.0716831	0.0548724	0.0353778	0.0273644	0.0232787	0.0168295	0.0124384	0.00880479	0.00994359	0.00484707	0.00408124	0.00373369	0.00239836	0.00193735	0.000904237	0.000960876	0.000998107	5.54504e-05
d3_1	0.016542	0.00411196	0.00310984	0.00422786	0.00236755	0.00260932	0.00234696	0.00175184	0.00138586	0.00165495	0.00142138	0.00141451	0.000604937	0.00116723	0.000881265	0.000200798	0.000266162	0.000160806	0.00139418	0.000166351
d3_2	0.0129011	0.0035107	0.00287947	0.00250969	0.00209067	0.00204787	0.00196755	0.00255053	0.00285594	0.00167623	0.0013721	0.00119878	0.000928254	0.000964045	0.00057906	0.000388153	0.000388153	0.000388153	0.000199621	0.000460238
d3_3	0.0109426	0.00359185	0.00270896	0.00375768	0.00331088	0.00225114	0.00219883	0.00180446	0.00150428	0.00124284	0.00107924	0.00114953	0.000833889	0.000724684	0.000637679	0.000299188	0.000126744	0.000166351	0	0.000582229
d3_4	0.0103268	0.00167931	0.00370673	0.00280534	0.00259124	0.00314203	0.000958477	0.00227369	0.00249455	0.00112615	0.00104154	0.000970778	0.000845222	0.000292963	0.00063199	0.000332702	0.000526779	0.000185363	5.54504e-05	0.000338247
d3_5	0.00890928	0.0025323	0.00255419	0.00152611	0.00229689	0.000937591	0.000871797	0.00154416	0.00178496	0.00124433	0.00168609	0.000878625	0.00102319	0.000876116	0.000848643	0.00136646	0.000166351	8.31756e-05	0.000499053	0
d3_6	0.0094278	0.0016513	0.00285964	0.00264011	0.00198913	0.00188885	0.00257591	0.00157796	0.00219964	0.00076892	0.000868275	0.001426	0.000383136	0.000427496	0.000432513	0.000460238	0.000612727	0.000249527	0	0.000637679
d3_7	0.00749204	0.00255626	0.00281877	0.00339518	0.00345706	0.00221454	0.00256828	0.00160026	0.00162492	0.0014895	0.00119839	0.0011502	0.00156029	0.000421819	0.00118664	0.000515689	0.000822514	0.000349337	0.000221802	0.000568366
d3_8	0.00666609	0.00201126	0.00133335	0.00193133	0.00155732	0.00184373	0.00172072	0.00136781	0.002719	0.000878885	0.00112564	0.000995719	0.000563746	0.0010286	0.000615499	0.00069313	0.000887206	0.000166351	0.000194076	0.000471328
d3_9	0.0042616	0.00255272	0.00228268	0.00189606	0.00303339	0.00112745	0.00181865	0.00188611	0.00137055	0.00114651	0.00105341	0.0010842	0.00141821	0.0011469	0.000664765	0.000604013	0.000914931	0.000221802	0.000942657	0.000887206
d3_10	0.00517159	0.00127978	0.00216884	0.0022421	0.000785315	0.00174582	0.0016349	0.00343126	0.000913157	0.00121436	0.00136923	0.000686397	0.00259693	0.00119733	0.000876116	0.000221802	0.000831756	0.000720855	0.000166351	0.000499053
d3_11	0.00476864	0.00223257	0.00138352	0.00236287	0.001744	0.00144912	0.00150738	0.00155169	0.000594111	0.00160543	0.00102306	0.00085234	0.00097223	0.000887206	0.000221802	0.00109237	0.000709765	0.000942657	0.000554504	0.000166351
d3_12	0.00323385	0.00133497	0.00107408	0.00166424	0.0022504	0.0010616	0.00130958	0.00113738	0.00128036	0.00131865	0.000449148	0.00130348	0.00105039	0.0010591	0.000582229	0.0007264	0.000792941	0.000166351	0.000554504	0.000415878
d3_13	0.00346796	0.000794671	0.00155637	0.0022969	0.00121822	0.0024329	0.000766722	0.0017438	0.00125978	0.00138176	0.00146944	0.00129754	0.0016441	0.00127536	0.000609954	0.00159697	0.00144963	0.000970382	0.000776305	0.000443603
d3_14	0.00285891	0.000406165	0.000944738	0.00088417	0.000686782	0.000700721	0.000868303	0.000351318	0.00123193	0.00108114	0.000909386	0.00172411	0.00132724	0.00111203	0.00129384	0.000304977	0.000820666	0.00113673	0	0.000931567
d3_15	0.00126549	0.00137652	0.000597884	0.000427289	0.00152591	0.000857357	0.0014276	0.00112809	0.000762047	0.00137121	0.000570215	0.000784227	0.000769836	0.000256656	0.00031884	0.000920476	0.000332702	0.000998107	0.000277252	0.000998107
d3_16	0.00145585	0.000431675	0.000466128	0.000699971	0.00106501	0.000826067	0.000476729	0.00104787	0.00125938	0.000859481	0.00104801	0.00161189	0.00144171	0.000360428	0.00153228	0.000776305	0.000720855	0.000942657	0.000487963	0.000887206
d3_17	0.00209587	0.000483923	0.00037635	0.000642077	0.000672063	0.000818672	0.000896245	0.000937088	0.00105039	0.000962064	0.00113119	0.000717686	0.000526779	0.00070422	0.000967213	0.00177441	0.00113911	0.000637679	0.000987017	0.00105356
d3_18	0.00157402	0.000374554	0.000563651	0.000813953	0.00077855	0.000700721	0.000940784	0.000858465	0.0009585	0.0013716	0.00104247	0.00170853	0.00102583	0.000913611	0.000970382	0.000249527	0.000551335	0.000332702	0.000388153	0.000831756
d3_19	0.00127745	0.00190436	0.000443723	0.000316563	0.000182599	0.000697344	0.00114317	0.000736698	0.00105078	0.000889583	0.00110307	0.0010393	0.000987017	0.000826211	0.000817893	0.000329534	0.00138626	0.000277252	0.00130308	0.00163579
d3_20	0.000869558	0.00148741	0.00151784	0.00111167	0.00184662	0.0022934	0.00285859	0.00261409	0.00291075	0.0048931	0.00277806	0.00361537	0.00487409	0.00598825	0.00502381	0.0062548	0.00848945	0.00933415	0.00645997	0.0160529
