	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d3_0	0	0.015997	0.00728598	0.00373431	0.00287496	0.00235819	0.00148109	0.000437528	0.00115808	0.00102678	1.45953e-05	0.000404343	5.48021e-05	2.72564e-07	1.68301e-07	1.15745e-06	0	1.6393e-06	0	0
d3_1	0.136213	0.00667292	0.00663448	0.00400413	0.0041019	0.00315408	0.00173649	0.00120682	0.000924871	0.000492303	0.000415843	1.43571e-05	4.40735e-05	4.15871e-06	0.000125264	1.63625e-06	3.20539e-05	0.000397909	0	0
d3_2	0.0369974	0.00692533	0.0078993	0.00575153	0.00539719	0.00667558	0.0044637	0.00121174	0.00163729	0.0010103	0.000977775	0.00042052	0.000213675	0.000146844	1.1725e-06	1.50871e-05	6.88991e-05	0	0	0
d3_3	0.0171426	0.00748914	0.0105928	0.00577558	0.00411725	0.00293938	0.00275481	0.0036865	0.00185611	0.00350422	0.000662174	0.000514722	0.00135146	0.000220206	0.000530441	0.000442356	2.08787e-06	0.00018379	0	0
d3_4	0.0123439	0.00583484	0.00711103	0.00615511	0.00403516	0.00363037	0.00406554	0.00215783	0.00243088	0.00199593	0.00142006	0.000868474	0.000333556	0.00019728	0.00014144	0.000342994	8.91183e-05	0.000281533	2.37732e-07	0
d3_5	0.00658882	0.00562932	0.00470531	0.00498773	0.00385432	0.00442932	0.00504019	0.00538995	0.00272997	0.00254943	0.00154549	0.00156733	0.000894243	0.00124381	0.000324861	0.000824818	0.000388273	0	0	0
d3_6	0.00446289	0.00486417	0.00465739	0.00314392	0.00277962	0.00337028	0.00264198	0.00300119	0.00376265	0.00391374	0.00220921	0.000948931	0.000980421	0.00072866	0.000719288	0.00046591	0.000226064	0.000381248	0.000114996	0
d3_7	0.00299285	0.00261443	0.00565591	0.00348658	0.00412566	0.00308941	0.00449967	0.00333413	0.00485961	0.00165485	0.00481626	0.00165143	0.00182054	0.00100027	0.000815894	0.00151347	0.00134066	0.000621305	2.3458e-05	0.000236815
d3_8	0.00134496	0.00176649	0.00171709	0.00339633	0.00353974	0.00467554	0.00255371	0.00434897	0.00393466	0.00251633	0.00283274	0.0030907	0.00180882	0.000762231	0.00166137	0.0015071	0.00142316	0.00100926	0.000123154	8.97691e-08
d3_9	0.000953663	0.00195943	0.00161537	0.00163592	0.00283685	0.00473077	0.00241843	0.00209727	0.00439161	0.00175924	0.00303707	0.00247052	0.0015539	0.00221491	0.000844057	0.00108954	0.000831603	0.00111365	0.000684564	0.000363841
d3_10	0.000634643	0.000510506	0.00139795	0.00133007	0.00159133	0.0024606	0.00261796	0.0028632	0.003775	0.00297554	0.00268347	0.0040577	0.00212522	0.00294253	0.0025756	0.00104382	0.000973213	0.000562843	0.000653255	0.000696419
d3_11	0.000453392	0.000506148	0.000836746	0.0007059	0.00156056	0.00159123	0.00131737	0.00196774	0.00271606	0.00292212	0.00134659	0.00411925	0.00222261	0.00212576	0.00436115	0.00191399	0.00152346	0.00128484	0.00187922	0.000260115
d3_12	1.08106e-06	0.000193263	0.000864652	0.0012321	0.00114337	0.00168681	0.000460519	0.00218829	0.00264537	0.00259345	0.00234267	0.00221989	0.00432391	0.00175803	0.00303798	0.00207724	0.00272647	0.00140219	0.00126445	0.000553366
d3_13	0.000443033	0	6.84192e-05	0.000911961	0.000754957	0.000542726	0.00120776	0.00097406	0.00121501	0.00213372	0.000969271	0.00374606	0.00272091	0.00270633	0.00131229	0.0027106	0.00213256	0.00412905	0.00151696	0.00205828
d3_14	0	8.5171e-07	5.27456e-08	3.42096e-05	0.000126886	0.000494074	0.000180606	0.000539664	0.000440278	0.00124514	0.00263165	0.0017402	0.00183937	0.00185061	0.00159009	0.000819936	0.000925328	0.00220531	0.0029406	0.00138148
d3_15	0	0	0	8.87118e-05	0.00042762	0.000206679	0.000694778	0.000282601	0.000932781	0.000536842	0.000859514	0.00216723	0.00294544	0.00259913	0.00248502	0.00221363	0.00179315	0.00283643	0.00338946	0.00226449
d3_16	0	0	0.000342096	0	0	0.000249241	6.54378e-07	0.000140096	0.000113339	0.000335254	0.00127895	0.00151295	0.00110143	0.00122116	0.00151883	0.00181112	0.00278847	0.0036781	0.00227989	0.00523803
d3_17	0	0	0.000136838	0	0.000205257	0.000225762	6.84192e-05	0.000718401	0.000425353	0.000486915	0.00162838	0.00042372	0.0019304	0.000991545	0.000410515	0.00174211	0.00228599	0.00518708	0.00319012	0.0055071
d3_18	0	0	0	0	0	0	0	0	3.42096e-05	0.00043079	0.000488057	0.000447005	5.47353e-05	0.00142312	0.00220683	0.00226752	0.00262113	0.00257238	0.00176044	0.0115297
d3_19	0	0	0.000205257	0	0	0	0	0	0	0.000205257	0.000109044	0.000359201	0.000364902	0.000433321	0.00101167	0.000974973	0.000964532	0.00156973	0.00198262	0.0222888
d3_20	0	0	0	0	0	0	0	0	0.000205257	0	0.000410515	0.000376305	0	0.000205257	0.000478934	0.000577653	0.000205257	0.00082103	0.00186784	0.0717541
