	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41
d3_0	0	0.11652	0.0476459	0.0222185	0.0112788	0.00565516	0.00289837	0.00152994	0.00112596	0.000895612	0.000406582	0.000143702	6.27001e-05	2.73526e-05	0	2.05788e-06	4.31174e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_1	0.0544226	0.0482619	0.0340853	0.0216887	0.0152013	0.00842531	0.00571987	0.00447373	0.00216725	0.00118266	0.000781822	0.000806365	0.000356393	0.000142354	9.02771e-05	5.59628e-05	8.66023e-05	2.26366e-05	0	0	0	9.05466e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_2	0.0104153	0.0176167	0.0186076	0.0156055	0.0121115	0.00936105	0.008486	0.007173	0.00581285	0.00313181	0.00242241	0.00194735	0.000647679	0.0010885	0.000543538	0.000294276	0.000380952	0.000216126	0.000164467	0	0.000113183	1.13183e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_3	0.00271342	0.00476257	0.00679876	0.00870765	0.00858464	0.00858257	0.00792478	0.00623336	0.00602858	0.00348075	0.00303851	0.002388	0.00158104	0.000828906	0.00121194	0.000549421	0.000279761	0.000123355	0.000142826	0.000124502	0.000169775	7.54555e-05	7.2631e-06	3.77277e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_4	0.000533103	0.00202731	0.00250925	0.00359432	0.00452605	0.00542706	0.00543862	0.00559103	0.00436015	0.00498224	0.00323283	0.00377182	0.00383291	0.00190503	0.00108343	0.00168787	0.000882089	0.00102534	0.000509423	0.000256383	0.000169775	0.000111027	0.000113183	0	1.7149e-06	2.05788e-06	5.65916e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_5	5.52493e-05	0.000554899	0.0017133	0.0015826	0.00168544	0.00247762	0.00354689	0.00447593	0.00445047	0.00368037	0.00392771	0.00305051	0.00366058	0.0016541	0.00210703	0.0024514	0.00150002	0.000826629	0.000717987	0.000554328	0.000301822	0.000544807	3.77277e-06	0.000220707	3.77277e-05	7.54555e-06	0	8.48874e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_6	3.06194e-05	0.000115182	0.000335939	0.000565916	0.000867254	0.00141522	0.00195975	0.00178491	0.00363559	0.0021668	0.00410552	0.00349427	0.00257953	0.00365299	0.00216108	0.00229843	0.00180754	0.00185181	0.000918671	0.00127473	0.000542673	0.000382398	0.000325259	0.00033955	0.000105638	0.000207503	0.000181093	0.000113183	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d3_7	0	2.66789e-05	0.000192689	0.00017741	0.000569846	0.000594518	0.000757373	0.00119368	0.00119414	0.00162249	0.0016915	0.00172857	0.00340362	0.00318683	0.00171916	0.00193255	0.00230205	0.00144434	0.00253523	0.00173611	0.00095127	0.00130286	0.00035699	0.000300205	0.000209389	0.000246488	0.000150911	0.000369732	3.3955e-05	0	0.000150911	0	0	0	0	0	0	0	0	0	0	0
d3_8	0	0	4.47365e-07	0.000116327	8.45824e-05	5.97872e-05	0.000659859	0.000625537	0.000277299	0.000759417	0.00176916	0.00144352	0.0014882	0.00183268	0.0025742	0.00183457	0.00258124	0.00191359	0.0014304	0.00197019	0.00116758	0.00171509	0.00050761	0.000895495	0.000859923	0.000709282	0.000501779	0.000390213	0.000377277	0.000445628	5.65916e-05	0.000150911	0	0	0	0	0	0	0	0	0	0
d3_9	0	0	2.64094e-05	7.5627e-05	0	2.51518e-06	0.000248734	0.000395444	0.000647988	0.000292355	0.000679716	0.000962997	0.000936582	0.0012273	0.00146459	0.00163728	0.00144157	0.00174647	0.0016355	0.00170843	0.00149912	0.00136402	0.00121582	0.00125256	0.00164062	0.00076776	0.000948583	0.000416892	6.79099e-05	1.13183e-05	1.88639e-05	0.000509325	0	7.54555e-05	0	0	0.000113183	0	0	0	0	0
d3_10	0	0	0	9.43194e-06	0	9.63992e-05	0	1.88639e-05	0.000134728	0.000320652	0.000292023	0.000717897	0.000891624	0.00105486	0.00115796	0.0010821	0.00173395	0.00168807	0.00121187	0.00143904	0.00230255	0.00241008	0.00158889	0.000833514	0.000928103	0.00124196	0.000915541	0.000622508	0.000571306	0.00056403	0.00040746	0.000120729	5.38968e-06	0.000188639	0	0	0	0	0	0	0	0
d3_11	0	0	0	0	0	0.000194028	7.54555e-06	0	6.1622e-05	2.32736e-05	0.000712889	2.5601e-05	0.000103751	0.000132047	0.000518218	0.000870972	0.00133479	0.00174374	0.00158358	0.0015048	0.00171032	0.0010668	0.00124034	0.00135406	0.00133368	0.000879057	0.00133951	0.000803601	0.00100167	0.000401531	0.00033955	0.000301822	6.79099e-05	0.00024523	0.000150911	0.000113183	3.77277e-05	0	0	0	0	0
d3_12	0	0	0	0	0	0	0	0	0	3.3955e-05	0.000150911	0.000199957	0.000579211	0.000282958	0.000269394	0.000482915	0.000618368	0.000869527	0.000813226	0.000604624	0.00146671	0.00100005	0.00133664	0.000954243	0.0016072	0.00162607	0.000735691	0.00139377	0.000733535	0.000718444	0.000821567	0.000622508	0.000282958	0.000105638	0.000226366	0.000113183	0	0	0.000169775	0	0	0
d3_13	0	0	0	0	0	0	0	0	0	0	0	0.000150911	1.49253e-05	5.0663e-05	0.000392369	0.000162229	0.000312601	0.000293378	0.000382667	0.000237685	0.000907083	0.000699311	0.00163173	0.00158268	0.000777192	0.00161286	0.00122992	0.000852647	0.00169398	0.0012655	0.000759945	0.000690418	0.000821567	0.000415005	0.000150911	0.000150911	0.000124502	0.000169775	3.77277e-05	0	0	0
