	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19
d2_0	0	0.0216418	0.0155319	0.0126771	0.00821473	0.00656188	0.00572675	0.00307302	0.00192865	0.00130802	0.000805706	0.000571852	0.000287021	0.000398639	0.000333223	5.5144e-05	7.83809e-05	0.000141009	5.48293e-06	0
d2_1	0.0614087	0.00606748	0.00453578	0.00439656	0.00272826	0.00135697	0.00164076	0.00136404	0.000845851	0.00102744	0.00112218	0.000597216	0.000296702	0.000454973	0.000168959	6.23967e-05	3.26818e-05	0	4.0796e-06	0
d2_2	0.0531212	0.0053608	0.00387259	0.00362508	0.00287707	0.0028798	0.00208962	0.00138192	0.000844934	0.000553787	0.00095009	0.00031034	0.000312175	6.90384e-05	0.000317576	2.65948e-05	0.000161646	9.72306e-05	0	0
d2_3	0.0363624	0.00513547	0.00424645	0.00320857	0.0027431	0.00311145	0.002808	0.00162944	0.00116529	0.00111177	0.00103383	0.00038766	0.000434138	0.000113625	0.000599194	4.45734e-05	2.02564e-05	9.72306e-06	0.000149318	0
d2_4	0.0315512	0.00582415	0.00455497	0.00306176	0.00344846	0.00243234	0.00131681	0.0021038	0.00136593	0.00127677	0.00063474	0.000593	0.00029832	0.000102482	0.000242983	0.000100683	4.53489e-05	0.000145846	2.20979e-05	0
d2_5	0.0270882	0.0044468	0.00296435	0.00198653	0.00319418	0.00224678	0.0017531	0.00120621	0.000941723	0.00061755	0.000770124	0.00070904	0.000455092	0.000249005	7.76841e-05	0.00017051	0.000153093	0.000241061	7.9868e-05	0
d2_6	0.0224042	0.00387225	0.00446498	0.00253919	0.00164822	0.00148533	0.00193706	0.00110979	0.00142314	0.00131586	0.00132284	0.000649624	0.000224522	0.000225822	0.000231607	4.86179e-05	7.20147e-05	0	0	0
d2_7	0.0167764	0.00366931	0.00296591	0.00285175	0.00235848	0.00176614	0.00251909	0.00113984	0.00168704	0.00131036	0.000742068	0.00081775	0.000360352	0.000272726	0.000508735	0.000149134	4.53743e-05	4.86153e-05	0.000136123	0
d2_8	0.0120391	0.00212707	0.00259132	0.00245495	0.00255344	0.00156858	0.00245547	0.00158491	0.00123368	0.000673539	0.000880938	0.000823537	0.000562169	0.000383482	0.000305815	0.000112741	0.000471818	5.46922e-05	5.59076e-05	0
d2_9	0.0100556	0.00230315	0.00194951	0.00288196	0.00130527	0.00208421	0.00182692	0.00143683	0.00131957	0.00129943	0.000499292	0.00118399	0.00088918	0.000605875	0.000517405	0.00018464	0.000123969	0.000561506	0.000182307	0
d2_10	0.0088315	0.00192329	0.00219448	0.00203476	0.00187471	0.00181302	0.0012506	0.000762727	0.00165619	0.00118051	0.000750801	0.000855729	0.00112279	0.000585814	0.000293527	0.000120786	0.000436593	0.000389056	0.000243076	0
d2_11	0.00559791	0.00184701	0.0022808	0.00249247	0.00146569	0.00178783	0.0023184	0.00085453	0.00138355	0.00113494	0.00108363	0.000473306	0.000565565	0.00114176	0.0013103	0.000220389	0.000148161	0.000201406	0.000145846	0.000243076
d2_12	0.00503082	0.00191536	0.00128632	0.00276514	0.00110568	0.000864818	0.00110712	0.00108119	0.00169525	0.000945592	0.000650499	0.000279313	0.00061452	0.000979153	0.000522267	0.000149523	0.000638944	0.000375553	0.000281969	0
d2_13	0.00490867	0.00217139	0.00288911	0.00120938	0.000821551	0.00206094	0.0012736	0.00187154	0.000900326	0.00133754	0.000601325	0.000850447	0.0011097	0.000590115	0.00146908	0.000371907	0.000189473	3.91132e-05	0.000233353	9.72306e-05
d2_14	0.00542607	0.00129522	0.00195704	0.000998122	0.00139312	0.00111049	0.0011846	0.00132025	0.000992602	0.000967889	0.000452592	0.000474336	0.000766622	0.000532106	0.000628758	0.000325259	0.000648319	0	0.000315999	0
d2_15	0.00403808	0.00154907	0.00128525	0.00128252	0.00172202	0.00092623	0.00141284	0.000627806	0.00112163	0.00141968	0.000653055	0.000534074	0.000784218	0.000162514	0.000324912	0.000930635	0.000507219	4.86153e-05	0.000486153	0
d2_16	0.00334845	0.00222003	0.00200343	0.00108805	0.00146019	0.00144385	0.000947807	0.00093978	0.00133662	0.000847647	0.000551089	0.000136586	0.000982029	0.000270625	0.000307897	0.000299545	0.000403507	0.000155008	0.000364615	0.000194461
d2_17	0.00216035	0.00131056	0.0013332	0.000675174	0.000641711	0.000424963	0.00110797	0.000922354	0.00155484	0.00133466	0.00123112	0.000688759	0.000858407	0.000427583	0.000607691	0.000608733	0.000338097	0.000337529	0.000379199	0.000306276
d2_18	0.00145078	0.000758416	0.00133847	0.000747265	0.00108434	0.000434546	0.00041242	0.00081483	0.000620192	0.00138137	0.00114663	0.000424226	0.00069871	0.000712088	0.000403854	0.000636397	0.00053199	6.07691e-05	0.000330584	0.000607691
d2_19	0.000971925	0.00094739	0.00116922	0.000547617	0.000358932	0.000722899	0.00089752	0.00138889	0.00102162	0.00105396	0.000500737	0.000824029	0.000995803	0.000243076	0.000958068	0.000289261	0.000991404	0.000111815	0.00030836	0.000461845
d2_20	0.00109425	0.000380227	0.00103294	0.00100124	0.000935476	0.0015333	0.000972286	0.000393202	0.000524698	0.00053198	0.000468201	0.00118668	0.000497959	0.000475146	0.000884451	0.000841044	0.000618687	0.000194461	0.000145846	0.000145846
