	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41
d3_0	0	0.253758	0.0914593	0.0529154	0.0386032	0.0270605	0.0216663	0.0132316	0.0139878	0.0118536	0.00834297	0.00779014	0.00612155	0.00523726	0.00322244	0.0029877	0.00217421	0.0019246	0.00192146	0.00205645	0.00137025	0.0011287	0.00111038	0.00109561	0.000126246	0.000587191	3.45309e-05	0.00012202	0.000453217	0.00048808	0.00012202	0.000631018	0.000139452	0	0.000139452	0.000139452	0	0	0	0	0	0
d3_1	0.00881457	0.00267123	0.00245009	0.00184772	0.00158958	0.00304654	0.00151885	0.00104646	0.000904799	0.00111668	0.00134417	0.000753073	0.0014556	0.00132371	0.000993377	0.000967521	0.00077484	0.000783917	0.000646125	0.000142938	0.000446245	0.000245534	0.000104589	0.00036606	0.00022113	0.000278903	0.000156883	0.00012202	0.000453217	0.000167342	0.000191746	0	0	0	0	0	0	0	0	0	0	0
d3_2	0.00529655	0.00216362	0.00207688	0.00229924	0.00126169	0.00145038	0.00178094	0.00169999	0.000976699	0.00137055	0.00130528	0.00071796	0.00172394	0.000837769	0.000641477	0.000831223	0.000700495	0.000460937	0.000499203	0.000398931	0.000866094	5.69427e-05	0.000219636	0.000324225	0.000240554	0.000174314	0.00027193	0.000104589	3.48629e-05	8.71572e-05	0	1.74314e-05	0.000156883	0.000209177	3.48629e-05	0	0	0	0	0	0	0
d3_3	0.0038667	0.00236593	0.00161613	0.0015109	0.0016038	0.001112	0.00133953	0.00144741	0.000902273	0.00112464	0.00116015	0.000805973	0.000634621	0.00106609	0.00103633	0.000609449	0.000690036	0.000674016	0.00026197	0.000462092	0.000382579	0.000590926	0.000601136	0.000174314	0.000174314	3.48629e-05	8.36709e-05	0.000104589	0.000104589	0	0.000209177	0	0	0.000139452	0	0.000209177	0	0.000104589	0	0	0	0
d3_4	0.00318226	0.00180205	0.0015211	0.000999211	0.00182366	0.00155057	0.00135145	0.00182431	0.000922912	0.00113212	0.000837538	0.000720171	0.00113775	0.000283876	0.000454417	0.00047265	0.000425908	0.000219387	0.000312147	0.000432715	0.000342569	0.000785577	0.000431296	0.000428813	0.000139452	2.78903e-05	6.27532e-05	0.00012202	7.84415e-05	0.000132479	0	1.74314e-05	0	0	0	0	0	0	0	0	0	0
d3_5	0.00243702	0.00172469	0.00184833	0.000987188	0.00226153	0.00121992	0.000931707	0.000883152	0.00161866	0.00139377	0.000378145	0.00065089	0.000800381	0.00019517	0.000484509	0.000594322	0.000543783	0.000959725	0.000639817	0.00052643	0.000248772	0.000423743	0.000440766	0.000700744	9.00625e-05	0.000202205	8.54141e-05	0.000174314	0.000104589	2.78903e-05	7.47062e-05	0.000341656	0.00024404	0	0.000139452	3.48629e-05	0	0	0	0.000104589	0	0
d3_6	0.00229337	0.00126083	0.00138157	0.00123494	0.00124869	0.001268	0.000690464	0.00152731	0.000487669	0.000670935	0.000565683	0.00098221	0.00100494	0.000496959	0.000778125	0.000650034	0.000557308	0.000855967	0.000275824	0.000419356	0.000426406	0.000463676	0.000510651	0.000322482	0.000376519	0.000339913	0.000369547	0.000270187	5.92669e-05	0.000153397	0.000359088	0.000104589	1.74314e-05	0.000139452	0	1.74314e-05	6.97258e-05	0.000209177	0	0	0	0
d3_7	0.00166778	0.00116648	0.00122176	0.000816939	0.000723701	0.000980846	0.000957049	0.00116651	0.000958187	0.000769073	0.00107899	0.000826373	0.000575047	0.000752296	0.000893147	0.000443838	0.00067791	0.000382488	0.00046434	0.000564937	0.000273583	0.000455625	0.000388472	0.000377681	0.000261472	0.000393951	0.000331197	0.00024404	4.35786e-05	5.22943e-05	0.000296335	8.71572e-05	0.000383492	3.48629e-05	0	0.000104589	0	0	0	0	0	0
d3_8	0.00130002	0.000731669	0.000748129	0.000647868	0.000716294	0.000995875	0.000721067	0.000557865	0.000762961	0.000702686	0.0010135	0.000372325	0.00066227	0.000483966	0.000682105	0.000782423	0.000318933	0.000967105	0.000445996	0.000421343	0.000430466	0.00101775	0.0004323	0.000600887	9.21376e-05	0.000226609	0.000463676	0.00036606	0.000283883	6.27532e-05	0.000348629	0.000104589	0.000202205	0.000278903	6.97258e-05	0.000104589	0	0.000104589	0	0	0.000104589	0
d3_9	0.00116534	0.000643845	0.000692318	0.000739622	0.000549176	0.00071155	0.00103075	0.000795713	0.000814838	0.000413713	0.000727683	0.000484447	0.000347535	0.000395245	0.00120401	0.000758849	0.000968758	0.0009769	0.000416113	0.000493149	0.00063218	0.000489575	0.000259479	0.000550585	0.000127831	0.000155389	0.000285627	0.00059931	0.000301315	0.000313766	0.000139452	3.48629e-05	0.000139452	0.000278903	6.97258e-05	0.000139452	0.000104589	0	0	0	0.000104589	0
d3_10	0.000889343	0.000807202	0.000576757	0.000525984	0.00104845	0.000851906	0.0010217	0.000566805	0.000590505	0.000525678	0.000371665	0.000430084	0.000927211	0.0010753	0.000508591	0.000582376	0.000381002	0.000728781	0.000251013	0.000478244	0.000334684	0.000392207	0.000393951	0.000259728	0.000746066	0.000174314	0.000444502	0.000289362	0.000732121	0.0006101	0.000139452	0	0	0.000202205	0.000104589	0.000313766	0.000139452	0.000348629	0.000104589	0	0.000104589	0
d3_11	0.000966345	0.000870885	0.000420156	0.000347468	0.00061503	0.000602708	0.000721496	0.00024373	0.000915639	0.000451402	0.000239309	0.000634033	0.00100145	0.00051548	0.000874768	0.000261804	0.000317937	0.000259326	0.000790557	0.000397769	0.000700744	0.000486088	0.00038233	0.000163856	0.000620559	0.000606033	0.000613587	0.000662395	0.000184773	4.00923e-05	0.00021615	0.000167342	0.000191746	0.000104589	0.000334684	0.000209177	0.000104589	3.48629e-05	0	0	0	0
